"행정구역","2021년_거주자 인구수","2021년_세대수","2021년_남자 인구수","2021년_여자 인구수"
"서울특별시  (1100000000)","9,401,888","4,347,242","4,563,718","4,838,170"
"서울특별시 종로구 (1111000000)","141,517","71,101","68,632","72,885"
"서울특별시 종로구 청운효자동(1111051500)","11,774","5,110","5,439","6,335"
"서울특별시 종로구 사직동(1111053000)","9,088","4,524","4,076","5,012"
"서울특별시 종로구 삼청동(1111054000)","2,391","1,178","1,139","1,252"
"서울특별시 종로구 부암동(1111055000)","9,367","4,116","4,476","4,891"
"서울특별시 종로구 평창동(1111056000)","17,786","7,282","8,301","9,485"
"서울특별시 종로구 무악동(1111057000)","8,188","3,020","3,807","4,381"
"서울특별시 종로구 교남동(1111058000)","9,923","4,376","4,585","5,338"
"서울특별시 종로구 가회동(1111060000)","3,965","1,889","1,831","2,134"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,579","4,711","3,950","2,629"
"서울특별시 종로구 종로5.6가동(1111063000)","4,983","3,297","2,651","2,332"
"서울특별시 종로구 이화동(1111064000)","7,094","4,199","3,341","3,753"
"서울특별시 종로구 혜화동(1111065000)","16,153","9,016","7,794","8,359"
"서울특별시 종로구 창신제1동(1111067000)","4,703","2,646","2,519","2,184"
"서울특별시 종로구 창신제2동(1111068000)","7,789","3,949","4,010","3,779"
"서울특별시 종로구 창신제3동(1111069000)","6,520","2,758","3,215","3,305"
"서울특별시 종로구 숭인제1동(1111070000)","5,761","2,915","2,769","2,992"
"서울특별시 종로구 숭인제2동(1111071000)","9,453","6,115","4,729","4,724"
"서울특별시 중구 (1114000000)","119,748","61,362","58,241","61,507"
"서울특별시 중구 소공동(1114052000)","2,183","1,243","1,046","1,137"
"서울특별시 중구 회현동(1114054000)","4,361","2,385","2,239","2,122"
"서울특별시 중구 명동(1114055000)","2,723","1,411","1,185","1,538"
"서울특별시 중구 필동(1114057000)","3,861","2,355","1,978","1,883"
"서울특별시 중구 장충동(1114058000)","4,499","2,686","2,298","2,201"
"서울특별시 중구 광희동(1114059000)","5,066","3,240","2,595","2,471"
"서울특별시 중구 을지로동(1114060500)","1,639","1,261","994","645"
