ko,en
깐뗄레,Cantele
코코,CoCo
엑시트,EXIT
는,neun
부비프,buvif
플랜잇,Planeat
앳모스피어,atmosphere
비어,Beer
참치 연,tuna dining
퀴진 라끌레,Cuisine La cle
쏘울푸드,SSoul Food
그레이스,Grace
해피블루,HappyBlue
스아게 K,Suage K
벤코크,vencoch
우노어,unor
비에이치씨남가좌디엠씨점,BHC
제뉴어리 퍼스트,January first
일커피 주식회사,iL coffee 선릉역점
이구펍4호점,29PUB
피포유,P4U
엔쓰커피,Nth coffee
엠,M
디맥,D-mack
제스티 살룬,zesty saloon
인덱스 카라멜 ,INDEX CARAMEL
춘뽕,choon bbong
오앤디,ond
마찌오래,Italian Dining
타스,tas
이알커피,ER coffee
씨오투,COⅡ
카페 430,CAFE 430
베비토레,Bevitore
이도비어,2도비어
소내장집,Bei Bei Niu ZaBao
컵스316,Cups316
제이엠티 생선구이,JMT 생선구이
티아트 커피 로스터스,TeaArt Coffee Roasters
라쿤,RACCOON
올비아,olvia
더 채리엇,THE CHARIOT
카페제이,J
대박식당,2
쿠스토,CUSTO
고수타코,GOSUTACO
디렉터아지트,Director Agit
하라고지페,haragogipe
꾸쁘,Coupe
돈오야 딜리버리,Delivery
카페페를,cafe perle
베이스 이즈 나이스,base is nice
로스트 피그,Roast pig
"콤마,카페","COMMA,CAFE"
제이엠디디,JMDD
노블레스,NB
리즈,LEEDS
구구가가,GoogooGaga
깊·골,SHEN XIANG
보타니코,BOTANICO
쏘핫,SO HOT
어반브루,URBAN BREW
질리,Gilli
조우,Jo Woo
르루이,Le Louis
247 바,247 bar
라시네,RACINE
쎈,ssen
카펫,CAPET
탠 커피&비어,TENN Coffee & Beer
컴스고스,comesgoes
꼬앙드 파리,coin de paris
로너클럽,Loner Club
에그드랍,Egg Drop
잼아웃,JAM OUT
더블유,FO
샐러드베이,Saladbay
벤더,bender
램스야,LAMBSYA
물감,MULGAM
킹스빈케이지아이티,KGIT
포웨이스탑,Four way stop
바람,BARAM
스크렘,Screme
레몬드,Lemoned
선데이사운즈,sunday sounds
레브온더힐,Reve on the hill
서브,SERVE
엑스투웰브,EXX twelv
플란츠앤플라,plantz N fla
퍼셉션,Perception
버텍스,Vertex
배배커피,BAEBAE COFFEE
컬렉팅더모먼츠,COLLECTING THE MOMENTS
인세인,Insane
옹기집,Ceramic House
일리카페 대학로점,illy CAFFE 대학로점
소울티,soul tea
솔트,salt
더 포터하우스,The Porterhouse
더,the
화이트버드,whitebird
도노,DONO
단테,Dante
머트 메이트,Mutt mate
플러터,Flutter
팔발라,FALBALAS
벤첸트,Benchent
솔트앤페퍼,salt and pepper
와이낫,Whynot
비비볼,BiBiBOWL
필프리,FEEL FREE
얼웨이즈데얼(얼쓰)[Always There,Alth
맨날맨날 커피,EVERYDAY COFFEE
올딧세,ALLDSE
비스트로331,Bistro331
제니스커피,Zenith Coffee
러브잇러브앳,"LOVEAT,LOVE'AT"
타이996,Thai 996
온샐러드&포케,ONSALAD&POKE
레스팅,Resting
써니스 피자,sunny's pizza
에이맨,A-man
뚜띠 한남,tutti hannam
보틀 컨비니언스,BOTTLE CONVENIENCE
유리스커피,Euryce Coffee
누볼라,NUVOLA
에이리셉션,A reception
이크이크,ikik
비에이치푸드,BHFOOD
카페오알,cafeOR
카라,KARA
씨마트,Sea mart
구테로이테,gute Leute
틱택 커피,tick-tack coffee
더티핑크,DIRTY PINK
뉴비어,New beer
더,the) 냄비(왕십리점
장군장어,2호점
비비큐,B.B.Q
참나무동산,OAK HILL
로프트가든344,LOFTGARDEN344
"커피,디저트,라이스#",Coffee Dessert Rice
반,BARN
카페20지,CAFE 20g
더구공탄,THE 구공탄
웨이브,Wave
원조마산할매아구찜,1호점
63뷔페파빌리온,63BUFFETPAVILION
아우라,AURA
백리향,BAEKNIHYANG
코피티암,KOPITIAM
슬로우 핸드,slowhand
칠삼,73
시저,caesar
피읻짜,P'eatzza
커피요리,COFFEEYORI
카페 블룸,Caffe Bloom
포쉬,POSH
에스,S
새암호프,TWO
갯마을,2호점
더 킹스 ,THE KING'S
파치비,PACHIBE
정그리다,JEONGGEURIDA
비일비재,B1비재
쿠,Koo
헬카페,HELL CAFE
에이스비어,ACE비어
엘라,ELLA
드림,Dream
미오,Mio
라뜰리에,Latelier
인디에어,In the AIR
타펠룬데,TAFELRUNDE
소엣,SOET
마띠에르,Matiere
인,IN
오육칠팔구공,56789공
이즈비,ISBY
자일,JAIL
제니스까페,Jenny's cafe
영 토스트,Young 토스트
봄,BOM
엠엠티에이치059,MMTH059
문바,MoonBar
미스터전,Mr.전
믹스드라인,Mixed Line
베스트 라이브,BEST LIVE
리버스커피,REVERSE COFFEE
베트남,VN
인카페,in cafe
맥쓰(,MEXX)명동점
빅히트,BigHit
러블리,lovely
르블랑,Le Blanc
아 비앙또,A bientot
비스,VIS
쉘브르,LP카페
제이,J
미테이,mitei
알밤,ALBAM
제노비아,zenovia
박소린두깜풍,BAKSO RINDU KAMPUNG
노머시버거,No Mercy Burger
휘버,FEVER
다운타우너,Downtowner
르셀,LeSel
젠트레이디,GENTLADY
스트릿커피,STREET COFFEE
더푸릇,THE FRUIT
엠커피,M.coffee
푼다리카,Pundarika
씨비스킷 커피,SEABISCUIT COFFEE
맛지고,Mattgigo
보니타,bonita
피엔씨,PNC
오케이,O.K
비비큐,BBQ
브이아이피,VIP
티원,T園
퀸,Queen
클레오,CLEO
미인심리상담카페,me;人심리상담카페
비에이치씨,BHC
슈치쿠,SHUCHIKU
워킹온더클라우드,WALKINGONTHECLOUD
해피모아,Happy more
피앤제이,P&J
엘마레,L'mare
그릴,Grill
비비큐,BBQ
스티머스,STEAMERS
237페이지,237page
엑스오,XO
더,THE
에이클라스,A-클라스
꿈&펀,fun
티티에이씨,TTAC
섹터,Sector
조커이즈,JOKER is
서스,SUS
팩피,FAGP
비원,B one
레스토랑 라피네,Restaurant Raffine
카페 프레싱,cafe pressin'
멜로워,Mellower
엠버,EMBER
모음,moeum
냥,NYANG
위,WE
다이닝후,Dining Hu
포88,Pho88
홍대 무라,MURA
자야바,JAYABAR
오컬트별,Occult The Star
서울바이닐,SEOUL VINYL
타코벳,TACO BET
페우관,Pheu Quan
"하이드 미, 플리즈","Hide me, Please"
시원,SEAONE
카페 파이카지,Cafe Paikaji
더블랙탑커피로스터즈,THE BLACK TOP COFFEE ROASTERS
비비큐,BBQ
녹스,NOX
이에프,2F
테이스트 오브 타이랜드,Taste of Thailand
이앤디,2ND
보원집,1호점
카페안,cafe A'n
화클럽,WHA
아포르,APor
숄로,XOLO
도어,Door
일일구,119
라운지,17층
문빔,moonbeam
차이,Chai
오늘은즉떡,2호점
주라,JURA
릿츠 케이크,LITS CAKE
지하실,B1
얼리크로우,early crow
청춘요리단,youth kitchen
티문도,TEA MUNDO
퀸,Queen
바 엘,bar L
호텔인나인,Hotel in 9
카페드세라,cafe de saera
어치브먼트,ACH!EVEMENT
파고,PAGO
스튜디오 25,studio 25
그림,GLEAM
옐로우피자,YELLOW PIZZA
레이더,radar
씨밀레,C밀레
샌드베리,Sand berry
빅보울,Big bowl
오리에,oriet.oriet.oriet
바비,barbie
베니르,benir
아잇코 컴퍼니,IEATCO
비엔비,B&B
프레스,pres
스타티스,STARTIS
아워즈,OURS
,
카페85도,Cafe 85도
콘피에르,Confier
스윗츠,SWWEETS
이한커피,ehan coffee
커피사오,COFFEE SAO
글렌,GLEN
안암,ANAM
하이놀리,HINOLY
에이치이에이,HEA
야키토리도토리,yakitori dotori
차이,Chai
크레이지 토마토,Crazy Tomato
스트리트 767,STREET 767
스팀,STEAM
두꺼비집,toad house
쿠들리,cooddly
어스,US
을지로브루잉,Craft beer
카페79페이지,Cafe 79 page
티제이 브런치앤그릴,TJ Brunch & Grill
쳐프트,chuffed
39이티씨,39etc
라이프푸드,Life food
더그릴630,the Grill630
더 키친 딜리버리,The kitchen delivery
포에트,poete
비에이치테이블,bh table
수정공원,SJ's. park
헤일우드,HALEWOOD
말랑,MALLANG
레스토랑 덱스터,RESTAURANT DEXTER
코노미,konomi
위위,"we,oui"
페어링지,pairinG
꽃,KKOT
룸피니,Lumpini
알리멘토,Alimento
원웨이,one way
고피자,GOPIZZA
카페 델라루즈,CAFE DELALUZ
428 레스토랑,428 Restaurant
엘더,Elder
서울앤쏘울,Seoul'n'Soul
