,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
14189,14190,3336032,ifez홍보관,인천경제자유구역청홍보관,ifez PR Office,Arts and Entertainment,Art Gallery,126.63427557030184,37.39609246778533,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,아트센터대로,175,24-4,2022-05-18 11:21:23,"종교,문화||문화시설||전시관",False
23913,23914,3418544,경인아라뱃길홍보관,경인아라뱃길여객선터미널홍보관,Gyeongin Ara Waterway Promotion Center,Arts and Entertainment,Art Gallery,126.60635682238984,37.558107466494704,대한민국,KOR,KOR,인천광역시,서구,,오류동,,정서진1로,41,1563,2021-12-23 15:49:18,"종교,문화||문화시설||전시관",False
33136,33137,20199732,선농원화랑,,Seonnongwon Gallery,Arts and Entertainment,Art Gallery,126.63293367726492,37.47367771667649,대한민국,KOR,KOR,인천광역시,중구,,용동,,참외전로,148-1,65-2,2021-12-23 15:49:18,"종교,문화||문화시설||갤러리,화랑",False
33748,33749,870608,미추홀참물홍보관,미추홀물홍보관,Michuhol Chammul Promotion Center,Arts and Entertainment,Art Gallery,126.74266010000095,37.45147170000367,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,백범로,26,666,2022-08-04 10:04:43,"종교,문화||문화시설||체험,홍보관",False
47387,47388,2604359,인천가족공원묘지 장사문화홍보관,인천가족묘지 장사문화홍보관,Incheon Family Park Cemetery Jangsa Culture Promotion Center,Arts and Entertainment,Art Gallery,126.71687388716192,37.477428112522695,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,평온로,61,768-376,2022-05-01 12:37:48,"종교,문화||문화시설||전시관",False
49486,49487,4458405,덕적친환경에너지홍보관,,Deokjeok Eco-Energy Promotion Center,Arts and Entertainment,Art Gallery,126.11514297035848,37.223084844707294,대한민국,KOR,KOR,인천광역시,옹진군,,덕적면,서포리,덕적남로,591,산134-7,2022-05-24 13:48:55,"종교,문화||문화시설||전시관",False
67351,67352,3246231,인천항갑문홍보관,갑문홍보관,Incheon Port Lock Gate Promotion Center,Arts and Entertainment,Art Gallery,126.60371912211885,37.46658400829567,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로,376,102-4,2022-05-01 12:37:48,"종교,문화||문화시설||전시관",False
75653,75654,3769208,월미문화관,,Wolmi Cultural Center,Arts and Entertainment,Art Gallery,126.60389429978783,37.476437900252655,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로,131-22,97-2,2022-05-01 12:37:48,"종교,문화||문화시설||전시관",False
76671,76672,20686470,인천국제공항 역사관,,Incheon International Airport History Hall,Arts and Entertainment,Art Gallery,126.4333643899608,37.467750992565286,대한민국,KOR,KOR,인천광역시,중구,,운서동,,제2터미널대로,444,2868,2022-05-01 12:37:48,"종교,문화||문화시설||전시관",False
88835,88836,1840207,부평구청향토사료전시관,부평구청사료전시관,Bupyeong-gu Office of Local History Museum,Arts and Entertainment,Art Gallery,126.72183049999992,37.50702599999981,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,168,879,2022-05-23 11:08:19,"종교,문화||문화시설||전시관",False
120254,120255,2799102,팔미도홍보관,,Palmido Public Relations Center,Arts and Entertainment,Art Gallery,126.51061981819072,37.3583581227338,대한민국,KOR,KOR,인천광역시,중구,,무의동,,팔미로,28,산373,2021-12-23 15:49:18,"종교,문화||문화시설||전시관",False
124714,124715,27215758,인천경제자유구역 IFEZ 홍보관,,Incheon Free Economic Zone IFEZ Promotion Center,Arts and Entertainment,Art Gallery,126.63414998883984,37.39608634154944,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,아트센터대로,175,24-4,2022-08-24 14:41:06,"종교,문화||문화시설||체험,홍보관",False
