,name,name_eng,problems
616,엄지당구장,thumb pool room,"[('당구', 'Billiard'), ('당구장', 'Billiard Hall')]"
765,MBC당구장,MBC billiard room,"[('당구장', 'Billiard Hall')]"
1862,스타당구장,star billiard room,"[('당구장', 'Billiard Hall')]"
3660,포커스당구장,focus billiard room,"[('당구장', 'Billiard Hall')]"
4332,가브리엘 당구장,Gabriel Billiard Room,"[('당구장', 'Billiard Hall')]"
4640,구슬치기당구장,bead billiard room,"[('당구장', 'Billiard Hall')]"
5115,백마당구장,Baekmadang Stadium,"[('당구', 'Billiard'), ('당구장', 'Billiard Hall')]"
8522,AKI당구장,AKI billiard room,"[('당구장', 'Billiard Hall')]"
13257,샘당구장,Sam billiard room,"[('당구장', 'Billiard Hall')]"
13816,레포츠당구장,sports billiard room,"[('당구장', 'Billiard Hall')]"
15139,도깨비당구장,goblin billiard room,"[('당구장', 'Billiard Hall')]"
23404,정당구장,party ballpark,"[('당구', 'Billiard'), ('당구장', 'Billiard Hall')]"
24493,그린당구장,green billiard room,"[('당구장', 'Billiard Hall')]"
24718,플러스당구장,plus billiard room,"[('당구장', 'Billiard Hall')]"
25215,Y2K당구장,Y2K billiard room,"[('당구장', 'Billiard Hall')]"
26866,코빌당구장,coville billiard room,"[('당구장', 'Billiard Hall')]"
28772,럭셔리당구장,luxury billiard room,"[('당구장', 'Billiard Hall')]"
29444,킹카당구장,king car billiard room,"[('당구장', 'Billiard Hall')]"
29771,드림당구장,dream billiard room,"[('당구장', 'Billiard Hall')]"
30754,귀빈당구장,VIP billiard room,"[('당구장', 'Billiard Hall')]"
31344,스카이당구장,Sky Billiard Room,"[('당구장', 'Billiard Hall')]"
32567,용당구장,dragon billiard room,"[('당구장', 'Billiard Hall')]"
33255,세븐당구클럽,Seven billiard room,"[('클럽', 'Club')]"
36576,SBS당구장,SBS billiard room,"[('당구장', 'Billiard Hall')]"
36597,큐당구장,cue billiard room,"[('당구장', 'Billiard Hall')]"
36956,빌텍당구장,Biltech billiard room,"[('당구장', 'Billiard Hall')]"
37185,구리구리Q 당구장,Guri Guri Q Billiard Room,"[('당구장', 'Billiard Hall')]"
39403,cc당구장,cc billiard room,"[('당구장', 'Billiard Hall')]"
40637,포커스당구장,focus billiard room,"[('당구장', 'Billiard Hall')]"
41696,비트당구장,beat billiard room,"[('당구장', 'Billiard Hall')]"
42283,미스터큐당구장,Mr. Q Billiard Room,"[('당구장', 'Billiard Hall')]"
43276,KTB당구장,KTB billiard room,"[('당구장', 'Billiard Hall')]"
44164,나인당구장,Na individual ballpark,"[('당구', 'Billiard'), ('당구장', 'Billiard Hall')]"
44445,거북당구장,turtle billiard room,"[('당구장', 'Billiard Hall')]"
45141,에이스당구장,ace billiard room,"[('당구장', 'Billiard Hall')]"
46965,프로당구장,professional billiard room,"[('당구장', 'Billiard Hall')]"
48121,sbs당구장,sbs billiard room,"[('당구장', 'Billiard Hall')]"
48301,SBS당구장,SBS billiard room,"[('당구장', 'Billiard Hall')]"
49407,킹당구장,king billiard room,"[('당구장', 'Billiard Hall')]"
54659,프로당구장,professional billiard room,"[('당구장', 'Billiard Hall')]"
55065,VIP당구장,V I P Billiard Room,"[('당구장', 'Billiard Hall')]"
56859,더당구장,the billiard room,"[('당구장', 'Billiard Hall')]"
57185,프렌드당구장,friend billiard room,"[('당구장', 'Billiard Hall')]"
57662,샤방샤방당구장,shabang shabang billiard room,"[('당구장', 'Billiard Hall')]"
59678,메카당구장,mecca billiard room,"[('당구장', 'Billiard Hall')]"
59999,엠비씨당구장,MBC billiard room,"[('당구장', 'Billiard Hall')]"
60094,빅박스당구장,big box billiard room,"[('당구장', 'Billiard Hall')]"
60365,두손당구장,two-handed billiard room,"[('당구장', 'Billiard Hall')]"
60815,존케이지 빌리어즈 당구장,John Cage Billiards Billiards,"[('당구장', 'Billiard Hall')]"
62359,캐빈당구장,cabin billiard room,"[('당구장', 'Billiard Hall')]"
63590,VIP당구장,V I P Billiard Room,"[('당구장', 'Billiard Hall')]"
66980,황금당구장,golden billiard room,"[('당구장', 'Billiard Hall')]"
70277,만프로당구장,manpro billiard room,"[('당구장', 'Billiard Hall')]"
72510,K&B당구장,K&B billiard room,"[('당구장', 'Billiard Hall')]"
74524,MBC당구장,MBC billiard room,"[('당구장', 'Billiard Hall')]"
75560,SBS당구장,SBS billiard room,"[('당구장', 'Billiard Hall')]"
75839,J당구장,J billiard room,"[('당구장', 'Billiard Hall')]"
76229,챔피언당구장,champion billiard room,"[('당구장', 'Billiard Hall')]"
77052,제우스당구장,Zeus Billiard Room,"[('당구장', 'Billiard Hall')]"
80503,허슬러당구장,hustler billiard room,"[('당구장', 'Billiard Hall')]"
81942,프로당구장,pro billiard room,"[('당구장', 'Billiard Hall')]"
87107,에이스당구장,ace billiard room,"[('당구장', 'Billiard Hall')]"
87827,SBS당구장,SBS billiard room,"[('당구장', 'Billiard Hall')]"
88122,버팔로당구장,buffalo billiard room,"[('당구장', 'Billiard Hall')]"
88613,프로당구장,pro billiard room,"[('당구장', 'Billiard Hall')]"
97158,돌려당구장,round billiard room,"[('당구장', 'Billiard Hall')]"
97748,나인당구장,Na individual ballpark,"[('당구', 'Billiard'), ('당구장', 'Billiard Hall')]"
98448,M당구장,M billiard room,"[('당구장', 'Billiard Hall')]"
99027,연도당구장,year billiard room,"[('당구장', 'Billiard Hall')]"
