,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1284,1285,27184978,킹락볼링장,,King Rock Bowling Alley,Arts and Entertainment,Bowling Alley,126.73309739695893,37.50840450153829,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,14,462-1,2022-05-01 12:37:48,"레져,체육||구기||볼링장",False
5148,5149,157380,효성볼링센타,,Hyosung Bowling Center,Arts and Entertainment,Bowling Alley,126.70985977390787,37.5206997666687,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,안남로,423,396-13,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
8398,8399,51067,왕궁볼링장,,Royal Palace Bowling Alley,Arts and Entertainment,Bowling Alley,126.73150917376692,37.54743888158093,대한민국,KOR,KOR,인천광역시,계양구,,임학동,,계양산로,140,36,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
16414,16415,838346,인천볼링장,,Incheon Bowling Alley,Arts and Entertainment,Bowling Alley,126.66864257132988,37.45260715935056,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로,287,717-1,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
17913,17914,27120933,신공항볼링장,,New Airport Bowling Alley,Arts and Entertainment,Bowling Alley,126.48846675194268,37.49275397269823,대한민국,KOR,KOR,인천광역시,중구,,운서동,,흰바위로,31,2793-1,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
19583,19584,760316,아주볼링장,,Ajou Bowling Alley,Arts and Entertainment,Bowling Alley,126.72318749988096,37.50952500109158,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,갈월서로,26,374,2022-08-12 13:15:03,"레져,체육||구기||볼링장",False
19696,19697,27388716,영스타볼링장 인천점,,Young Star Bowling Alley Incheon Branch,Arts and Entertainment,Bowling Alley,126.7211887132418,37.46430809360096,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,호구포로,920,1114,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
26380,26381,979026,산곡볼링장,산곡볼링센터,Sangok Bowling Alley,Arts and Entertainment,Bowling Alley,126.7006897487529,37.5132198566626,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,,,51-4,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
27132,27133,3143170,현광볼링장,,Hyungwang Bowling Alley,Arts and Entertainment,Bowling Alley,126.68382219979888,37.46532150129877,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,염창로,92,32-1,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
30982,30983,1265314,B2볼링장,B2BOWLING,B2 Bowling Alley,Arts and Entertainment,Bowling Alley,126.71109949999996,37.46083709999979,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,석산로,171,153-8,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
34700,34701,27062997,GBS볼링장,지비에스볼링장,GBS Bowling Alley,Arts and Entertainment,Bowling Alley,126.6795770801189,37.46076648219117,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석바위로,58-1,206-10,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
36200,36201,27157821,마스터볼링장,,master bowling alley,Arts and Entertainment,Bowling Alley,126.74765157680093,37.42458428153747,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,서창남순환로215번길,17,691-2,2022-08-12 13:15:03,"레져,체육||구기||볼링장",False
36506,36507,27198056,카보드볼링장,,Kabod Bowling Alley,Arts and Entertainment,Bowling Alley,126.7258272399649,37.537487715794605,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산로,121,965,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
37426,37427,27057141,지젤락볼링장,,Giselle Rock Bowling Alley,Arts and Entertainment,Bowling Alley,126.65573390821692,37.53360695628111,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라에메랄드로,99,165-12,2022-08-24 14:41:06,"레져,체육||구기||볼링장",False
37777,37778,2603165,락온볼링센터,,Lock on Bowling Center,Arts and Entertainment,Bowling Alley,126.67158039997288,37.546387600534096,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,승학로271번길,15,325-23,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
38992,38993,27157650,무지개볼링센타,,Rainbow Bowling Center,Arts and Entertainment,Bowling Alley,126.67925395488191,37.5439694314175,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,탁옥로,89,282,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
39396,39397,767805,신한볼링장,,Shinhan Bowling Alley,Arts and Entertainment,Bowling Alley,126.73726739359894,37.46146836326039,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수서로,101,6-43,2022-09-06 15:18:26,"레져,체육||구기||볼링장",False
39802,39803,27191168,큐비카 락볼링센터,,Cubica Rock Bowling Center,Arts and Entertainment,Bowling Alley,126.67722740266288,37.41764235271148,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,벚꽃로,106,496-4,2022-08-16 16:52:33,"레져,체육||구기||볼링장",False
40566,40567,270535,이삭볼링센터,,Isaac Bowling Center,Arts and Entertainment,Bowling Alley,126.66934289999588,37.404617200001255,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,먼우금로63번길,13,942,2022-08-18 12:00:50,"레져,체육||구기||볼링장",False
