,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
26526,26527,3238971,소래역사관,,Sorae History Museum,Arts and Entertainment,History Museum,126.73747731690396,37.398130303374366,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,아암대로,1605,680-2,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||역사박물관",False
26558,26559,2515316,인천개항박물관,개항박물관,Incheon Open Port Museum,Arts and Entertainment,History Museum,126.62055985051084,37.473279515193774,대한민국,KOR,KOR,인천광역시,중구,,중앙동1가,,신포로23번길,89,9-2,2022-07-19 20:20:05,"종교,문화||문화시설||박물관||역사박물관",False
37491,37492,1274082,강화역사박물관,,Ganghwa History Museum,Arts and Entertainment,History Museum,126.4355204999998,37.77384249999992,대한민국,KOR,KOR,인천광역시,강화군,,하점면,부근리,강화대로,994-19,350-4,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||역사박물관",False
38909,38910,5733584,문학산역사관,미추홀구역사관,Munhaksan History Museum,Arts and Entertainment,History Museum,126.67711251615088,37.43118306632456,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,,,산59-2,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||역사박물관",False
53286,53287,20091202,인천도시역사관,도시역사관,Incheon City History Museum,Arts and Entertainment,History Museum,126.63589749999991,37.392843699999766,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,인천타워대로,238,24-7,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||역사박물관",False
65379,65380,1269178,부평역사박물관,,Bupyeong History Museum,Arts and Entertainment,History Museum,126.73782399999996,37.512137199999806,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,굴포로,151,451-1,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||역사박물관",False
101123,101124,377916,인천서구 녹청자 박물관,인천서구 녹청자 도요지사료관,Incheon Seo-gu Nokcheongja Museum,Arts and Entertainment,History Museum,126.65624343095396,37.55826706583103,대한민국,KOR,KOR,인천광역시,서구,,경서동,,도요지로,54,209-3,2020-01-14 23:42:49,"종교,문화||문화시설||박물관||유물,유적박물관",False
103039,103040,405934,인천광역시역사자료관,역사자료관,Incheon Metropolitan City History Museum,Arts and Entertainment,History Museum,126.62277289828182,37.474304434409184,대한민국,KOR,KOR,인천광역시,중구,,송학동1가,,신포로39번길,74,2-2,2022-08-12 13:15:03,"종교,문화||문화시설||박물관||역사박물관",False
118682,118683,5701450,계양산성박물관,,Gyeyang Fortress Museum,Arts and Entertainment,History Museum,126.7270315999999,37.54801929999981,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양산로,101,548-14,2022-07-19 20:20:05,"종교,문화||문화시설||박물관||유물,유적박물관",False
120598,120599,4581328,인천근대박물관,,Incheon Modern Museum,Arts and Entertainment,History Museum,126.61923151915484,37.47428632622196,대한민국,KOR,KOR,인천광역시,중구,,선린동,,차이나타운로55번길,16,14-2,2022-08-12 13:15:03,"종교,문화||문화시설||박물관||역사박물관",False
122174,122175,26785676,인천시선사박물관(2026년예정),,Incheon City Prehistory Museum (planned in 2026),Arts and Entertainment,History Museum,126.68311356722889,37.60360863607552,대한민국,KOR,KOR,인천광역시,서구,,불로동,,,,645,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||유물,유적박물관",False
129533,129534,1266980,인천광역시검단선사박물관,인천시검단선사박물관,Incheon Metropolitan City Geomdan Prehistory Museum,Arts and Entertainment,History Museum,126.69868749999688,37.594415400000734,대한민국,KOR,KOR,인천광역시,서구,,원당동,,고산후로121번길,7,824-11,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||유물,유적박물관",False
