,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
13834,13835,3589812,아펜젤러비전센터,아펜젤러센터,Appenzeller Vision Center,Arts and Entertainment,Live Music,126.62815466846884,37.47331199673907,대한민국,KOR,KOR,인천광역시,중구,,내동,,개항로53번길,21,166,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||공연장",False
17028,17029,3080930,부평생활문화센터공감168,부평문화센터공감168,Bupyeong Living Culture Center Empathy 168,Arts and Entertainment,Live Music,126.7038621999999,37.48302749999979,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,아트센터로,168,186-408,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||공연장",False
49199,49200,2417883,부평아트센터달누리극장,부평아트센터해누리극장,Bupyeong Art Center Dalnuri Theater,Arts and Entertainment,Live Music,126.70476812528587,37.48234855205026,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,아트센터로,166,186-22,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
50287,50288,3556372,중구문화회관,,Jung-gu Cultural Center,Arts and Entertainment,Live Music,126.62973119999992,37.44050359999978,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,축항대로296번길,81,39-24,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
52757,52758,20062556,인천문화예술회관,인천예술회관,Incheon Culture and Arts Center,Arts and Entertainment,Live Music,126.69996249976488,37.44780610129548,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로,149,1408,2022-08-12 13:15:03,"종교,문화||문화시설||공연장||공연장",False
54407,54408,3030737,아라인천여객터미널수상무대,,Araine Stream Passenger Terminal Floating Stage,Arts and Entertainment,Live Music,126.60541827260784,37.557097786433374,대한민국,KOR,KOR,인천광역시,서구,,오류동,,정서진남로,95,1564,2022-06-13 10:44:13,"종교,문화||문화시설||공연장||공연장",False
55419,55420,2417651,인천서구문화회관 대공연장,서구문화회관대공연장,Incheon Seo-gu Cultural Center Grand Theater,Arts and Entertainment,Live Music,126.67993433576687,37.515627151309815,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로,190,430-21,2020-01-14 23:37:20,"종교,문화||문화시설||공연장||공연장",False
72342,72343,27358223,청라호수공원 야외음악당,,Cheongna Lake Park Outdoor Music Hall,Arts and Entertainment,Live Music,126.63446653671036,37.528328018095095,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라대로,88,106-2,2022-06-29 11:25:35,"종교,문화||문화시설||공연장||공연장",False
73490,73491,2417735,인천학생교육문화회관 대공연장,인천학생문화회관대공연장,Incheon Student Education and Culture Center Grand Theater,Arts and Entertainment,Live Music,126.62938519970785,37.47602020042967,대한민국,KOR,KOR,인천광역시,중구,,인현동,,자유공원로,12,5,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
80405,80406,27136550,올래공연장,,Ollae Theater,Arts and Entertainment,Live Music,126.74191480164096,37.48472404553279,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로1104번길,24,328-5,2022-08-16 16:52:33,"종교,문화||문화시설||공연장||공연장",False
81308,81309,20203444,청라복합문화센터블루노바홀,청라복합문화센터BlueNovaHall,Cheongna Complex Cultural Center Blue Nova Hall,Arts and Entertainment,Live Music,126.63402794383084,37.5239034566449,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라대로,20,106-2,2022-08-16 16:52:33,"종교,문화||문화시설||공연장||공연장",False
81907,81908,2511245,문학야구장연극공연장,문학야구장공연장,Munhak Baseball Stadium Theater Performance Hall,Arts and Entertainment,Live Music,126.69241550044681,37.43735010098656,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로,618,482,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
83767,83768,3668917,부평문화사랑방,,Bupyeong Culture Sarangbang,Arts and Entertainment,Live Music,126.72561798192793,37.510769410069685,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,173,365-1,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
91046,91047,1855075,남동소래아트홀,소래아트홀,Namdong Sorae Art Hall,Arts and Entertainment,Live Music,126.72473909999792,37.38752650000016,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,아암대로1437번길,32,767-4,2022-08-08 10:29:42,"종교,문화||문화시설||공연장||공연장",False
92637,92638,27017118,연수문화예술회관(2025년3월예정),,Yeonsu Culture and Arts Center (Scheduled for December 2023),Arts and Entertainment,Live Music,126.69127559999951,37.418738299999646,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,,,581-2,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
101051,101052,2735778,부개문화사랑방,부평문화사랑방,Bugae Culture Sarangbang,Arts and Entertainment,Live Music,126.73689898236493,37.48486314672197,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,동수로162번길,11,257-6,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||공연장",False
101904,101905,4458544,엘림아트센터,청라엘림아트센터,Elim Art Center,Arts and Entertainment,Live Music,126.63684750785193,37.53210053447992,대한민국,KOR,KOR,인천광역시,서구,,청라동,,크리스탈로,78,152-14,2022-08-12 13:15:03,"종교,문화||문화시설||공연장||공연장",False
107248,107249,1132128,인천서구문화회관 소공연장,서구문화회관소공연장,Incheon Seo-gu Cultural Center Small Concert Hall,Arts and Entertainment,Live Music,126.6800650360289,37.51576345085278,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로,190,430-21,2020-01-14 23:37:20,"종교,문화||문화시설||공연장||공연장",False
119047,119048,724486,인천문화예술회관소공연장,인천종합문화회관소공연장,Incheon Culture and Arts Center Performance Hall,Arts and Entertainment,Live Music,126.69962500006388,37.44715960121788,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로,149,1408,2020-05-19 23:00:14,"종교,문화||문화시설||공연장||공연장",False
119375,119376,27147684,중앙환희아트홀,,Jungang Hwanhee Art Hall,Arts and Entertainment,Live Music,126.62950459999983,37.465684899999765,대한민국,KOR,KOR,인천광역시,중구,,신생동,,인중로,119,38-5,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
123335,123336,27103693,인천서구문화재단,,Incheon Seo-gu Cultural Foundation,Arts and Entertainment,Live Music,126.67994889999994,37.51582449999981,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로,190,430-21,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
130563,130564,20483299,송도웰카운티1단지아파트공연장,,Songdowell County Apartment Complex 1,Arts and Entertainment,Live Music,126.64919682703388,37.37809401815023,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,해송로,143,9-31,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
136765,136766,2417737,인천문화예술회관야외공연장,인천종합문화회관 야외공연장,Incheon Culture and Arts Center outdoor performance hall,Arts and Entertainment,Live Music,126.6995113999919,37.44563340040678,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로,125,1408-2,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연장",False
139768,139769,2408967,인천문학경기장문학시어터,인천문학경기장연극공연장,Incheon Munhak Stadium Munhak Theater,Arts and Entertainment,Live Music,126.6924179999999,37.43684559999976,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로,618,482,2018-11-27 19:36:52,"종교,문화||문화시설||공연장||공연장",False
