,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
10790,10791,1254004,한국이민사박물관,이민사박물관,Korean Immigration History Museum,Arts and Entertainment,Museum,126.60019989982985,37.47025969985885,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로,329,102-2,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||박물관-일반",False
14066,14067,996207,인천시립박물관,인천시립박물관,Incheon City Museum,Arts and Entertainment,Museum,126.65316179999988,37.42075019999975,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,청량로160번길,26,525,2022-06-07 17:23:36,"종교,문화||문화시설||박물관||공립박물관",False
18395,18396,3895163,강화자연사박물관,강화박물관,Ganghwa Natural History Museum,Arts and Entertainment,Museum,126.43451749999956,37.77472139999943,대한민국,KOR,KOR,인천광역시,강화군,,하점면,부근리,강화대로,994-33,814,2022-08-24 14:41:06,"종교,문화||문화시설||박물관||자연사박물관",False
18899,18900,27179267,야구박물관,,Baseball Museum,Arts and Entertainment,Museum,126.67833475924796,37.44667411157007,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,553-67,1313-9,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||박물관-일반",False
21144,21145,1009594,강화화문석문화관,화문석문화관,Ganghwa Hwamunseok Culture Center,Arts and Entertainment,Museum,126.4547613999998,37.79570839999992,대한민국,KOR,KOR,인천광역시,강화군,,송해면,양오리,장정양오길,413,630-1,2021-12-23 15:49:18,"종교,문화||문화시설||박물관||민속박물관",False
21410,21411,3927539,국립세계문자박물관 (2023년5월예정),국립세계박물관,National Museum of World Characters  (planned in May 2023),Arts and Entertainment,Museum,126.63767880037123,37.394897301106155,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,,,24-8,2022-05-01 12:37:48,"종교,문화||문화시설||박물관||국립박물관",False
23110,23111,2889375,국제성서박물관,성서박물관,International Bible Museum,Arts and Entertainment,Museum,126.67836954147992,37.45929602485799,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로349번길,9,193-3,2022-08-18 12:00:50,"종교,문화||문화시설||박물관||종교박물관",False
23942,23943,3643132,백령기독교역사관,기독교역사관,Baengnyeong Christian History Museum,Arts and Entertainment,Museum,124.65165439996544,37.92786479999917,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,연화리,중화길,230-13,333,2017-09-29 10:10:10,"종교,문화||문화시설||박물관||종교박물관",False
32140,32141,27104572,초연다구박물관,,Choyeon Dagu Museum,Arts and Entertainment,Museum,126.62558329928684,37.472658727567065,대한민국,KOR,KOR,인천광역시,중구,,송학동3가,,신포로39번길,8-1,5-38,2022-08-16 16:52:33,"종교,문화||문화시설||박물관||박물관-일반",False
36539,36540,27099509,기차왕국박물관카페,,Train Kingdom Museum Cafe,Arts and Entertainment,Museum,126.75580081298696,37.44990059539247,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,장자로6번길,112-7,793-11,2022-08-16 16:52:33,"종교,문화||문화시설||박물관||박물관-일반",False
