,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2385,2386,5035428,엔터테인먼트민들레,,entertainment dandelion,Arts and Entertainment,Other Arts and Entertainment,126.74980680056292,37.43879816393578,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,장아산로,129-20,549-3,2019-11-14 23:28:16,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
8595,8596,26821919,엠버엔터,,Ember Entertainment,Arts and Entertainment,Other Arts and Entertainment,126.71607899999889,37.43247779992707,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,남촌동로26번길,8-3,376-2,2022-05-18 1:21:41,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
24466,24467,27051323,이벤트락,,event lock,Arts and Entertainment,Other Arts and Entertainment,126.65964522993625,37.441617564793674,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로,338,721,2022-05-01 12:37:48,"산업,유통||전문,기술서비스||엔터테인먼트||연예기획사||연예기획사-일반",False
46657,46658,4040612,블랙리스트,,blacklist,Arts and Entertainment,Other Arts and Entertainment,126.64843405186288,37.36679488100502,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도미래로,30,214,2020-01-14 23:28:40,"산업,유통||전문,기술서비스||엔터테인먼트||연예기획사||연예기획사-일반",False
52825,52826,4329922,에이스엔터테이먼트,,ace entertainment,Arts and Entertainment,Other Arts and Entertainment,126.69523371882988,37.44964133050868,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로49번길,19,1344-3,2021-12-23 15:49:18,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
74768,74769,27173008,이루다 엔터테인먼트 트레이닝센터,,Iruda Entertainment Training Center,Arts and Entertainment,Other Arts and Entertainment,126.55747998029479,37.48729924559717,대한민국,KOR,KOR,인천광역시,중구,,중산동,,하늘달빛로,94,1875-3,2022-09-06 15:18:26,"산업,유통||전문,기술서비스||엔터테인먼트||연예기획사||연예기획사-일반",False
77818,77819,4716651,비주얼아트연구소,,Visual Art Institute,Arts and Entertainment,Other Arts and Entertainment,126.47318799999984,37.68131039999988,대한민국,KOR,KOR,인천광역시,강화군,,불은면,두운리,강화동로549번길,74,310-2,2021-12-23 15:49:18,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
85794,85795,27552167,젠스포테인먼트,,Genspotainment,Arts and Entertainment,Other Arts and Entertainment,126.63924422490727,37.396178111716154,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,센트럴로,232,23-3,2022-09-06 15:18:26,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
85872,85873,4585558,요요이벤트,,yo-yo event,Arts and Entertainment,Other Arts and Entertainment,126.66834229999992,37.4855875999998,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,백범로810번길,10,589-6,2022-05-01 12:37:48,"산업,유통||전문,기술서비스||엔터테인먼트||연예기획사||연예기획사-일반",False
99542,99543,6003083,넥스트스튜디오스,,next studios,Arts and Entertainment,Other Arts and Entertainment,126.61944929999991,37.44874149999978,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,서해대로209번길,32,91-16,2022-06-15 11:04:55,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
120474,120475,27064661,ABM엔터테인먼트,,ABM Entertainment,Arts and Entertainment,Other Arts and Entertainment,126.7033713653179,37.46854180830999,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,아트센터로,8,524-6,2022-08-12 13:15:03,"산업,유통||전문,기술서비스||엔터테인먼트||연예기획사||연예기획사-일반",False
145422,145423,5034035,몬스터레코드,,monster record,Arts and Entertainment,Other Arts and Entertainment,126.74631620066096,37.5320343066896,대한민국,KOR,KOR,인천광역시,계양구,,서운동,,,,207,2022-08-08 10:29:42,"산업,유통||전문,기술서비스||엔터테인먼트||엔터테인먼트-일반",False
