,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
5330,5331,27021620,롯데문화홀 롯데백화점인천점,,Lotte Culture Hall Lotte Department Store Incheon,Arts and Entertainment,Performing Arts,126.70099807999992,37.44223661999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연,연극시설-일반",False
19151,19152,197080,학산소극장,,Haksan Small Theater,Arts and Entertainment,Performing Arts,126.66190908109385,37.44958979812538,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로,126,81-8,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||공연,소극장",False
28162,28163,27106815,극단 우주선,,extreme spaceship,Arts and Entertainment,Performing Arts,126.62512599999984,37.47200119999978,대한민국,KOR,KOR,인천광역시,중구,,관동3가,,신포로31번길,6,1-11,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연,연극시설-일반",False
37514,37515,27076979,수봉문화회관,,Subong Cultural Center,Arts and Entertainment,Performing Arts,126.66225337572892,37.46152695023109,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,수봉안길,78,7-5,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연,소극장",False
37801,37802,27071369,쥐똥나무 라이브카페,,Potato Live Café,Arts and Entertainment,Performing Arts,126.6814065702119,37.46119931640958,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로104번길,61,157-19,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||공연,연극시설-일반",False
57902,57903,1085284,인천광역시교육청학생교육문화회관,인천학생문화회관,Incheon Student Education and Culture Center,Arts and Entertainment,Performing Arts,126.62945365192996,37.47585038064025,대한민국,KOR,KOR,인천광역시,중구,,인현동,,자유공원로,12,5,2022-08-18 12:00:50,"종교,문화||문화시설||공연장||문화,예술회관",False
83388,83389,27429290,인천음악창작소,,Incheon Music Center,Arts and Entertainment,Performing Arts,126.71427509999975,37.493116199999776,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,,,449,2022-08-24 14:41:06,"종교,문화||문화시설||공연장||공연,연극시설-일반",False
90726,90727,171476,시연센소극장,,Siyeon Senso Theater,Arts and Entertainment,Performing Arts,126.65839886626192,37.452930443989175,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로77번길,42,181-2,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||공연,소극장",False
94341,94342,1067768,부평아트센터,,Bupyeong Art Center,Arts and Entertainment,Performing Arts,126.70479749999996,37.48251869999981,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,아트센터로,166,186-22,2022-08-24 14:41:06,"종교,문화||문화시설||공연장||공연,연극시설-일반",False
96876,96877,867181,서구문화회관,서구회관,Seogu Cultural Center,Arts and Entertainment,Performing Arts,126.67994889999588,37.515824499997,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로,190,430-21,2022-08-30 9:43:30,"종교,문화||문화시설||공연장||문화,예술회관",False
114165,114166,688216,강화문예회관,강화문화예술회관,Ganghwa Arts Center,Arts and Entertainment,Performing Arts,126.47473839981464,37.74519470077193,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,국화리,고비고개로19번길,12,239,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||문화,예술회관",False
126464,126465,1038985,계양문화회관,계양회관,Gyeyang Cultural Center,Arts and Entertainment,Performing Arts,126.71818480000192,37.54600830000263,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양산로35번길,11,724,2022-05-01 12:37:48,"종교,문화||문화시설||공연장||문화,예술회관",False
132026,132027,2156267,부평문화회관,,Bupyeong Cultural Center,Arts and Entertainment,Performing Arts,126.74185342812297,37.48651237392377,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로,1093-9,310-18,2021-12-23 15:49:18,"종교,문화||문화시설||공연장||문화,예술회관",False
