,name,name_eng,problems
59,음식나라조리학원 계양점,Food Nara Cooking School  Gyeyang Branch,"[('학원', 'Academy')]"
250,소라유치원,Sora Kindergarten,"[('유치원', 'Kindergarden')]"
297,인천고잔유치원,Incheon Gojan Kindergarten,"[('유치원', 'Kindergarden')]"
537,청천2동어린이집,Cheongcheon 2-dong Day care Center,"[('어린이집', 'Daycare')]"
942,송현유치원,Songhyeon Kindergarten,"[('유치원', 'Kindergarden')]"
1172,양지초등학교병설유치원,Kindergarten attached to Yangji Elementary School,"[('유치원', 'Kindergarden')]"
1241,해승유치원,Haesung Kindergarten,"[('유치원', 'Kindergarden')]"
1333,청학숲유치원,Cheonghak Forest Kindergarten,"[('유치원', 'Kindergarden')]"
1368,소담어린이집,Sodam Nursery School,"[('어린이집', 'Daycare')]"
1477,코끼리유치원,Elephant Kindergarten,"[('유치원', 'Kindergarden')]"
1518,연희유치원,Yeonhee Kindergarten,"[('유치원', 'Kindergarden')]"
1664,남양유치원,Namyang Kindergarten,"[('유치원', 'Kindergarden')]"
1727,토스어학원,Toss Language School,"[('학원', 'Academy')]"
1921,이튼유치원,Eaton Kindergarten,"[('유치원', 'Kindergarden')]"
1928,인천동부초등학교 병설유치원,Incheon Dongbu Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
1932,신석초등학교병설유치원,Kindergarten attached to Shinseok Elementary School,"[('유치원', 'Kindergarden')]"
1962,삼성중장비운전학원,Samsung Heavy Equipment Driving School,"[('학원', 'Academy')]"
2182,에이스화인유치원,Ace Fine Kindergarten,"[('유치원', 'Kindergarden')]"
2296,여성의광장어린이집,women's square Day care Center,"[('어린이집', 'Daycare')]"
2323,김혜리 국어학원,Hyeri Kim Korean Language School,"[('학원', 'Academy')]"
2346,쇼팽심포니음악학원,Chopin Symphony School of Music,"[('학원', 'Academy')]"
2415,꿈꾸는어린이집,dream nursery,"[('어린이집', 'Daycare')]"
2564,큰별유치원,Big Star Kindergarten,"[('유치원', 'Kindergarden')]"
2569,부평사임당 어린이집,Bupyeong Saimdang Day care Center,"[('어린이집', 'Daycare')]"
2573,꿈동산유치원,Dream Garden Kindergarten,"[('유치원', 'Kindergarden')]"
2603,에벤에셀영수학원,Ebenezer English Academy,"[('수학', 'Math')]"
2666,경서초등학교병설유치원,Kindergarten attached to Gyeongseo Elementary School,"[('유치원', 'Kindergarden')]"
2779,정철어학원주니어 논현캠퍼스,Jeongcheol Language School Junior Nonhyeon Campus,"[('학원', 'Academy')]"
2885,아이랑어린이집,child and nursery,"[('어린이집', 'Daycare')]"
3125,꽃뜰어린이집,Flower Garden Nursery,"[('어린이집', 'Daycare')]"
3126,해나라어린이집,Haenara Nursery School,"[('어린이집', 'Daycare')]"
3230,별꽃어린이집,Star Flower Nursery,"[('어린이집', 'Daycare')]"
3288,엄지어린이집,thumb nursery,"[('어린이집', 'Daycare')]"
3358,예쁜무지개어린이집,Pretty Rainbow Nursery School,"[('어린이집', 'Daycare')]"
3460,행복한유치원,happy kindergarten,"[('유치원', 'Kindergarden')]"
3747,원투영수학원,One Two Young Water Academy,"[('수학', 'Math')]"
3850,부개초등학교병설유치원,Kindergarten attached to Bugae Elementary School,"[('유치원', 'Kindergarden')]"
4018,리더스영수학원,Leaders Young Academy,"[('수학', 'Math')]"
4258,E3원어민어학원,E3 Native Language School,"[('학원', 'Academy')]"
4361,꿈터어린이집,Dreamteo Nursery,"[('어린이집', 'Daycare')]"
4439,경희대어린이집,Kyunghee University Nursery School,"[('어린이집', 'Daycare')]"
4581,EiE어학원 인천논현캠퍼스,EiE Language School Incheon Nonhyeon Campus,"[('학원', 'Academy')]"
4630,정상어학원 청라캠퍼스,Jeongsang Language School Cheongna Campus,"[('학원', 'Academy')]"
4880,루시드어학원,Lucid language school,"[('학원', 'Academy')]"
5008,초록나무어린이집,Green Tree Nursery,"[('어린이집', 'Daycare')]"
5099,꿈에그린어린이집,Dream Nursery School,"[('어린이집', 'Daycare')]"
5270,창영초등학교병설유치원,Kindergarten attached to Changyeong Elementary School,"[('유치원', 'Kindergarden')]"
5363,프라임예지유치원,Prime Yeji Kindergarten,"[('유치원', 'Kindergarden')]"
5404,해마루유치원,Haemaru Kindergarten,"[('유치원', 'Kindergarden')]"
5504,동부동심유치원,Eastern Concentric Kindergarten,"[('유치원', 'Kindergarden')]"
5571,인기자동차운전전문학원,Popular Auto Driving School,"[('학원', 'Academy')]"
5614,아이랑어린이집,child and nursery,"[('어린이집', 'Daycare')]"
5658,이노필유치원,Innopil Kindergarten,"[('유치원', 'Kindergarden')]"
5767,리틀마리보나어린이집,Little Maribona Nursery School,"[('어린이집', 'Daycare')]"
5845,꾸미어린이집,Decorating Nursery,"[('어린이집', 'Daycare')]"
6037,한국직업능력전문학원,Korea Vocational Competency College,"[('학원', 'Academy')]"
6064,비상학원,emergency school,"[('학원', 'Academy')]"
6204,The즐거운어린이집,The Joyful Nursery,"[('어린이집', 'Daycare')]"
6214,루원대성학원,Luwon University,"[('학원', 'Academy')]"
6453,삼성영어 남동초교실,Samsung English Namdong Elementary School,"[('교실', 'Class')]"
6718,동심어린이집,Concentric Nursery,"[('어린이집', 'Daycare')]"
6721,채송화어린이집,Chae Songhwa Nursery School,"[('어린이집', 'Daycare')]"
6753,영수원칙 학원,Receipt principle school,"[('학원', 'Academy')]"
6765,송도류궈링중국어학원,Songdo Liu Guoling Chinese Language School,"[('학원', 'Academy')]"
6831,한얼학원,Korean language school,"[('학원', 'Academy')]"
6835,새싹어린이집,Sprout Nursery,"[('어린이집', 'Daycare')]"
6862,아띠어린이집,Atti Nursery,"[('어린이집', 'Daycare')]"
6909,소리엘어린이집,Soriel Nursery School,"[('어린이집', 'Daycare')]"
6916,한솔빛어린이집,Hansol Bit Nursery,"[('어린이집', 'Daycare')]"
6944,은행나무어린이집,Ginkgo Nursery,"[('어린이집', 'Daycare')]"
6971,베베어린이집,Bebe Nursery School,"[('어린이집', 'Daycare')]"
6981,꾸러기어린이집,Naughty Kindergarten,"[('어린이집', 'Daycare')]"
7008,마리보나어린이집,Maribona Nursery School,"[('어린이집', 'Daycare')]"
7015,인천예송유치원,Incheon Yesong Kindergarten,"[('유치원', 'Kindergarden')]"
7121,검단11국공립유치원(2023년3월예정),Geomdan 11th National Public Kindergarten (planned in March 2023),"[('유치원', 'Kindergarden')]"
7221,이보영토킹클럽제임스영수학원,Boyoung Lee Talking Club James Youngsu Academy,"[('수학', 'Math')]"
7251,미르국어학원,Mir Language School,"[('학원', 'Academy')]"
7707,에코꿈나무어린이집,Eco Dream Tree Nursery,"[('어린이집', 'Daycare')]"
7854,미일유치원,US-Japan Kindergarten,"[('유치원', 'Kindergarden')]"
7883,송수학학원,Songsoo Academy,"[('수학', 'Math')]"
7896,푸른산어린이집,Blue Mountain Nursery,"[('어린이집', 'Daycare')]"
8129,삼성영어서흥초교실,Samsung English Seoheung Elementary School,"[('교실', 'Class')]"
8275,사랑나무 어린이집,Love Tree Nursery,"[('어린이집', 'Daycare')]"
8354,인천화전유치원,Incheon Hwajeon Kindergarten,"[('유치원', 'Kindergarden')]"
8437,연세숲어린이집,Yonsei Forest Day care Center,"[('어린이집', 'Daycare')]"
8500,큰사랑어린이집,big love nursery,"[('어린이집', 'Daycare')]"
8704,토마토어린이집,Tomato Nursery,"[('어린이집', 'Daycare')]"
8813,위브긍정어린이집,We've Positive Nursery School,"[('어린이집', 'Daycare')]"
9448,리틀하버드유치원,Little Harvard Kindergarten,"[('유치원', 'Kindergarden')]"
9535,시온예능어린이집,Zion Entertainment Day care Center,"[('어린이집', 'Daycare')]"
9689,푸르미어린이집,Purmi Nursery School,"[('어린이집', 'Daycare')]"
9792,기분좋은학원,good school,"[('학원', 'Academy')]"
9932,해찬솔어린이집,Haechansol Nursery School,"[('어린이집', 'Daycare')]"
10007,보나유치원,Bona Kindergarten,"[('유치원', 'Kindergarden')]"
10022,논현유니랭스어학원,Nonhyeon University Language School,"[('학원', 'Academy')]"
10125,코끼리맘어린이집,Elephant Mom Nursery,"[('어린이집', 'Daycare')]"
