,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1305,1306,1259554,기원스프링,,origin spring,Etc,Etc,126.68065358769287,37.485444700257766,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,백범로718번길,34,289-3,2020-01-14 0:00:00,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
3787,3788,27205723,창일기계,,Changil Machinery,Etc,Etc,126.66536099647388,37.47862281026448,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,방축로,194,765-17,2022-08-18 12:00:50,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
7459,7460,4302852,트리플스트리트B동,,Triple Street B,Etc,Etc,126.66023577802395,37.380452436545056,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,33-2,174-3,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
13118,13119,1253020,대성정밀,,Daesung Precision,Etc,Etc,126.70989926895489,37.39783397673376,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,청능대로468번길,58-17,246-67,2021-12-23 15:49:18,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
15709,15710,1254067,남동공단산업용품상가A동,남동공단상가A동,Namdong Industrial Complex Building A,Etc,Etc,126.69356118819094,37.40719960092788,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,은청로,4-7,630,2022-08-08 10:29:42,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
18883,18884,217076,아종정밀,아종정밀(주),Subjong Precision,Etc,Etc,126.67291147748688,37.48766615051348,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가정로38번길,18,564-11,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
19326,19327,1262789,장승백이상가3동,,Jangseungbaek Sangga 3-dong,Etc,Etc,126.73496843280795,37.44616221993898,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승로,17,1080,2022-09-06 15:18:26,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
20921,20922,4302853,트리플스트리트A동,송트리A동,Triple Street Building A,Etc,Etc,126.65958020650395,37.38106348022227,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,33-1,170-1,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
22074,22075,3452828,검단공구상가D동,,Geomdan Tool Shopping Mall D,Etc,Etc,126.61320071317192,37.59362716294324,대한민국,KOR,KOR,인천광역시,서구,,오류동,,보듬5로,13,1640-2,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
23266,23267,5704595,한국가스스프링,가스스프링,Korea Gas spring,Etc,Etc,126.66705570587588,37.478208785486174,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,방축로,212,765-2,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
24640,24641,759299,삼흥정밀,(주)삼흥정밀,Samheung Precision,Etc,Etc,126.69882741819188,37.411648733083446,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,남동서로270번길,60,429-4,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
26049,26050,3112254,동안기계,,Dongan Machine,Etc,Etc,126.64749742641887,37.48658671019599,대한민국,KOR,KOR,인천광역시,동구,,송현동,,염전로,13,2-103,2020-01-14 23:42:17,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
28631,28632,5724098,신흥공구상가A동,신흥상가A동,Shinheung Tool Shopping Center Building A,Etc,Etc,126.63900757302886,37.464146620102056,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,도원로8번길,52,18-2,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
29701,29702,1253708,남동공단산업용품상가D동,남동공단상가D동,Namdong Industrial Complex Building D,Etc,Etc,126.69301081790984,37.40638024427504,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,은청로,4-19,631,2022-08-24 14:41:06,"쇼핑,편의||종합판매점||상가,아케이드||부속",False
30448,30449,4333695,미래테크,,Mirae Tech,Etc,Etc,126.7168976999999,37.47450859999979,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,만월로,110-1,1-151,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
31488,31489,27173126,서일테크놀로지,,Seoil Technology,Etc,Etc,126.65467213363888,37.48394129458777,대한민국,KOR,KOR,인천광역시,동구,,송림동,,방축로,82,294-10,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
32760,32761,3135799,동양스프링,,oriental spring,Etc,Etc,126.71594068961188,37.47542003094799,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,만월북로,105,1-144,2022-05-01 12:37:48,"산업,유통||제조업||기계,장비제조||기계부속품제조",False
