,name,name_eng,problems,category,subcategory
1801,짜&짬 본점,Jja & Jjam Main Store,"('본점', 'Main Branch')",Food,Chinese Food
1875,도미라마라탕,Domira Ramatang,"('마라탕', 'Maratang')",Food,Chinese Food
2124,화련 중화요리,Hualien Chinese Cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
2816,화영양꼬치,Hwayoung Yakitori,"('꼬치', 'Skewer')",Food,Chinese Food
3941,비룡반점,flying dragon spot,"('반점', 'Banjeom')",Food,Chinese Food
4457,중화요리미성각,Chinese cuisine taste,"('중화요리', 'Chinese Food')",Food,Chinese Food
4876,차이나타운 동화마을 연경,Fairytale Village Yeongyeong,"('차이나', 'China')",Food,Chinese Food
5368,샹그리라 마라탕 마라샹궈,Shangri-La Marathon Mara Shanguo,"('마라탕', 'Maratang')",Food,Chinese Food
6009,가나안반점,Canaan spot,"('반점', 'Banjeom')",Food,Chinese Food
9989,정통중화요리중국성,Authentic Chinese CuisineChinese,"('중국', 'China')",Food,Chinese Food
10773,중화반점,Chinese food spot,"('반점', 'Banjeom')",Food,Chinese Food
11096,미미일품양꼬치 본점,Mimi Fine Lamb Skewers Main Store,"('본점', 'Main Branch')",Food,Chinese Food
12319,도화반점,painting spot,"('반점', 'Banjeom')",Food,Chinese Food
12396,친친중화요리,Friendly Chinese cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
15551,보광반점,Bogwang Spot,"('반점', 'Banjeom')",Food,Chinese Food
17290,길림성중화요리,Jilin Provincial Chinese Cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
18534,옛날장가루중화요리,Old-fashioned Soybean Powder Chinese Cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
20173,홍예문중화요리,Hong Ye-mun Chinese Cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
21308,속초중앙시장해물짬뽕&홍리마라탕 이마트 연수점,Sokcho Jungang Market Seafood Jjambbong & Hongri Maratang E-Mart Yeonsu Branch,"('짬뽕', 'Jjamppong')",Food,Chinese Food
21576,마라영웅 사천식 마라탕&마라샹궈 전문점,Mara Hero Sichuan-style Mara Tang & Mara Xiangguo Specialty Store,"('마라탕', 'Maratang')",Food,Chinese Food
21907,포슈아&마라반점 서창점,Forshua & Maravan Branch Seochang Branch,"('반점', 'Banjeom')",Food,Chinese Food
22790,풍년반점,bountiful spot,"('반점', 'Banjeom')",Food,Chinese Food
22792,니뽕내뽕 인천구월점,Nippon Naepong  Guwol Branch,"('인천', 'Incheon')",Food,Chinese Food
23002,쪽짜장짬뽕 본점,Jjajang Jjajang Jjamppong Main Store,"('본점', 'Main Branch')",Food,Chinese Food
23123,바다반점,sea spot,"('반점', 'Banjeom')",Food,Chinese Food
23202,대성반점,Daeseong Spot,"('반점', 'Banjeom')",Food,Chinese Food
24870,홍콩반점0410 주안역점,Hong Kong Banjoom 0410 Juan Station Branch,"('반점', 'Banjeom')",Food,Chinese Food
25987,왕중국집,king chinese restaurant,"('중국', 'China')",Food,Chinese Food
26071,신중국성,new nationality,"('중국', 'China')",Food,Chinese Food
26963,중국성,Chinese,"('중국', 'China')",Food,Chinese Food
26988,덕성관 중화요리,Deokseong Guan Chinese Cuisine,"('중화요리', 'Chinese Food')",Food,Chinese Food
30267,금화반점,gold coin spot,"('반점', 'Banjeom')",Food,Chinese Food
30364,교동반점,gyodong spot,"('반점', 'Banjeom')",Food,Chinese Food
30539,궁중반점,palace spot,"('반점', 'Banjeom')",Food,Chinese Food
31397,덕교반점,Deokgyoban Branch,"('반점', 'Banjeom')",Food,Chinese Food
32962,동북반점,northeast spot,"('반점', 'Banjeom')",Food,Chinese Food
33269,굿모닝 중화요리 전문점,Good morning Chinese cuisine restaurant,"('중화요리', 'Chinese Food')",Food,Chinese Food
35367,중화요리금성,Chinese cuisine gold castle,"('중화요리', 'Chinese Food')",Food,Chinese Food
35560,루차이나,lucina,"('차이나', 'China')",Food,Chinese Food
36382,바람난탕수육 본점,Baramnantangsuyuk Main Store,"('본점', 'Main Branch')",Food,Chinese Food
36476,아성반점,ash spot,"('반점', 'Banjeom')",Food,Chinese Food
36770,황제탕수육,Emperor sweet and sour soup,"('탕수육', 'Tangsuyuk')",Food,Chinese Food
38217,짜우탕 본점,Chau Tang Main Store,"('본점', 'Main Branch')",Food,Chinese Food
38551,주안반점,main point,"('반점', 'Banjeom')",Food,Chinese Food
39459,탕수육주는 신의짬뽕 연수점,Sweet and sour soup at Sinui Jjamppong Yeonsu Branch,"('탕수육', 'Tangsuyuk')",Food,Chinese Food
39566,영화반점,movie spot,"('반점', 'Banjeom')",Food,Chinese Food
40159,짬뽕매니아,Champon Mania,"('짬뽕', 'Jjamppong')",Food,Chinese Food
41877,마라민족 마라탕 구월본점,Mara Minjok Marathang Guwol Main Branch,"('마라탕', 'Maratang')",Food,Chinese Food
