,name,name_eng,problems,category,subcategory
258,소라다방,Sorad Room,"('다방', 'Dabang')",Food,Coffee Shop
368,연다방,open tea room,"('다방', 'Dabang')",Food,Coffee Shop
1158,선다방,coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
1169,청탑다방,Cheongtap Coffee Shop,"('다방', 'Dabang')",Food,Coffee Shop
1207,정다방,Jeong coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
1258,원다방,Won coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
1322,호수다방,lake coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
1755,카페어테인,Caffeine,"('카페', 'Cafe')",Food,Coffee Shop
1802,우일다방,Wooil coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
1988,카페르라팡,Caffe Lapin,"('카페', 'Cafe')",Food,Coffee Shop
2399,휘카페,Whi Café,"('카페', 'Cafe')",Food,Coffee Shop
2765,카페베리트,caffe berry,"('카페', 'Cafe')",Food,Coffee Shop
3116,흙다방,mud coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
5280,복음다방,Gospel Cafe,"('다방', 'Dabang')",Food,Coffee Shop
6465,코나카페인천연수점,Kona Caffeine Natural Softener,"('카페', 'Cafe')",Food,Coffee Shop
7366,부일다방,Buil Coffee Shop,"('다방', 'Dabang')",Food,Coffee Shop
7999,태양다방,sun coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
8105,미랑다방,mirang coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
8274,카페코뺑,Café koppeng,"('카페', 'Cafe')",Food,Coffee Shop
8531,우정다방,Friendship Cafe,"('다방', 'Dabang')",Food,Coffee Shop
10016,현다방,Hyun coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
10446,피앙세다방,Fiance Coffee Shop,"('다방', 'Dabang')",Food,Coffee Shop
11564,카페베네 인천검단사거리점,Caffe Bene Incheon Geomdan Sageori Branch,"('카페', 'Cafe')",Food,Coffee Shop
13097,아담다방,Adam coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
13522,우정다방,Friendship Cafe,"('다방', 'Dabang')",Food,Coffee Shop
14781,주리다방,Jurid Cafe,"('다방', 'Dabang')",Food,Coffee Shop
15908,우봉다방,Woobon coffee shop,"('다방', 'Dabang')",Food,Coffee Shop
