,name,name_eng,problems,category,subcategory
1872,배스킨라빈스 간석벽산,Baskin Robbins Tidal Stone Mountain,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
1927,배스킨라빈스 인천만수,Baskin Robbins Incheonmansu,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
3452,배스킨라빈스작전홈플러스점,Baskin Robbins Jakjeon Homeplus Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
4601,배스킨라빈스 인천서구청,Baskin Robbins Incheon Seo-gu Office,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
6774,365아이스크림파티 인천서구점,365 Ice Cream Party Incheon Seogu Branch,"('아이스크림', 'Icecream')",Food,Ice Cream Shop
7608,배스킨라빈스 부개역남부점,Baskin Robbins Bugae Station South Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
7938,배스킨라빈스 인하대병원,Baskin Robbins Inha University Hospital,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
7978,배스킨라빈스 부평구청점,Baskin Robbins Bupyeong-gu Office,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
8927,배스킨라빈스 인천효성점,Baskin Robbins Incheon Hyosung Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
10080,배스킨라빈스 인천작전역,Baskin Robbins Incheon Operation Area,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
11185,배스킨라빈스 인천검단금호,Baskin Robbins Incheon Geomdan Geumho,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
12545,배스킨라빈스 부평삼산,Baskin Robbins Bupyeong Samsan,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
13038,배스킨라빈스 인천구월CGV,Baskin Robbins Incheon Guwol CGV,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
14571,배스킨라빈스 인천제물포점,Baskin Robbins Incheon Jemulpo,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
18791,배스킨라빈스 인천동암역,Baskin Robbins Incheon Dongam Station,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
19470,배스킨라빈스 구월아시아드,Baskin Robbins September Asiad,"('구월', 'Guwol')",Food,Ice Cream Shop
19743,배스킨라빈스 인천갈산역,Baskin Robbins Incheon Galsan Station,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
21542,배스킨라빈스 학익신동아,Baskin Robbins Hakik Shin Dong-a,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
21860,배스킨라빈스 백운역점,Baskin Robbins Baegun Station Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
22152,배스킨라빈스 인천구월중앙로점,Baskin Robbins Incheon Guwol Jungang-ro Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
22643,배스킨라빈스 인천원당,"Baskin Robbins per 1,000 won","('인천', 'Incheon')",Food,Ice Cream Shop
25814,배스킨라빈스 부평명동점,Baskin Robbins Bupyeong Myeong-dong,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
26009,아이스크림에 빠지다 서창점,Fall in love with ice cream Seochang,"('아이스크림', 'Icecream')",Food,Ice Cream Shop
26799,배스킨라빈스 송도퍼스트파크점,Baskin Robbins Songdo First Park Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
29420,배스킨라빈스 부평센트럴시티,Baskin Robbins Bupyeong Central City,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
31033,배스킨라빈스 송도글로벌캠퍼스점,Baskin Robbins Songdo Global Campus Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
33979,배스킨라빈스간석홈플러스점,Baskin Robbins Ganseok Homeplus,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
35117,배스킨라빈스 인천임학역점,Baskin Robbins Incheon Imhak Station Branch,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
35460,배스킨라빈스 인천계양구청점,Baskin Robbins Incheon Gyeyang-gu Office,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
36277,배스킨라빈스 인천동춘,Baskin Robbins Incheon Dongchun,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
40740,배스킨라빈스 인천검단사거리점,Baskin Robbins Incheon Geomdan Intersection,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
41259,배스킨라빈스 인천청라홈플러스,Baskin Robbins Incheon Cheongna Homeplus,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
42308,배스킨라빈스 부평부개,Baskin Robbins Bupyeong Boogae,"('배스킨라빈스', 'Baskin-Robbins')",Food,Ice Cream Shop
