,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2151,2152,3128863,한우동 아울렛점,,Hanwoo Dong Outlet Store,Food,Japanese Food,126.70359572546188,37.52175422736448,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,489,386,2022-08-18 12:00:50,"음식||일식||우동,소바||프랜차이즈||한우동",False
4095,4096,1268796,용우동 인천계양구청점,,Yongwoo-dong Incheon Gyeyang-gu Office Branch,Food,Japanese Food,126.73716098622904,37.53975663441374,대한민국,KOR,KOR,인천광역시,계양구,,용종동,,오조산공원로,22,209-4,2022-08-18 12:00:50,"음식||일식||우동,소바||프랜차이즈||용우동",False
11691,11692,27069609,육회왕자연어공주 인천계산점,,King Yukhoe Natural Language Princess Incheon Gyesan Branch,Food,Japanese Food,126.73424529999993,37.532887299999835,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,728,900-1,2022-08-12 13:15:03,음식||일식||일식당||프랜차이즈||육회왕자연어공주,False
15825,15826,27053390,삼학도일식,,Three-Hakdo Japanese Eclipse,Food,Japanese Food,126.59683403356787,37.47323654167344,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미문화로,57-1,98-277,2022-05-01 12:37:48,음식||일식||일식당||일식당-일반,False
16391,16392,26979187,방이샤브샤브칼국수 예술회관점,,Bangi Shabu Shabu Kalguksu Art Center Branch,Food,Japanese Food,126.69886299999988,37.44722069999968,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화로89번길,6,1367-15,2022-09-06 15:18:26,음식||일식||샤브샤브||프랜차이즈||방이샤브샤브칼국수,False
16506,16507,5681054,덴세츠라멘 인하대본점,,Densetsu Ramen Inha University Main Store,Food,Japanese Food,126.65609589910788,37.45209840334657,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로67번길,13,197-18,2022-08-16 16:52:33,음식||일식||일본식라면||일본식라면-일반,False
25093,25094,537715,주원일식,,juwon solar eclipse,Food,Japanese Food,126.69915464072642,37.4513164913401,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화로133번길,8-5,1110-10,2022-08-18 12:00:50,음식||일식||일식당||일식당-일반,False
35522,35523,20482682,큰손샤브샤브,,big hand shabu shabu,Food,Japanese Food,126.65682259999996,37.4519069999998,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,경인남길30번길,41,194-25,2022-08-12 13:15:03,음식||일식||샤브샤브||샤브샤브-일반,False
39091,39092,3133865,산촌샤브샤브칼국수,,Sanchon Shabu Shabu Kalguksu,Food,Japanese Food,126.70845200028587,37.50329499970098,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로,229,159-50,2022-08-16 16:52:33,음식||일식||샤브샤브||샤브샤브-일반,False
42341,42342,20012600,박승광샤브샤브,,Park Seung-kwang Shabu Shabu,Food,Japanese Food,126.6631024316959,37.44018349153907,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로,372,689-1,2019-11-14 0:00:00,음식||일식||샤브샤브||샤브샤브-일반,False
48655,48656,374222,가빈돈까스 본점,,Gavin Pork Cutlet Main Store,Food,Japanese Food,126.7227136456029,37.547652606923606,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양산로,64,898-8,2022-08-18 12:00:50,음식||일식||돈가스||돈가스-일반,False
52716,52717,5455792,명진일식, ,Myongjin Eclipse,Food,Japanese Food,126.62369518146448,37.471581891439484,대한민국,KOR,KOR,인천광역시,중구,,중앙동4가,,신포로23번길,21,8-3,2022-08-30 9:43:30,음식||일식||일식당||일식당-일반,False
57125,57126,27258106,소문난 수제돈가스,,Famous handmade pork cutlet,Food,Japanese Food,126.73678173075292,37.53496653613471,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양문화로,48,1082-10,2022-05-01 12:37:48,음식||일식||돈가스||돈가스-일반,False
59512,59513,4888261,진달래샤브샤브,,Azalea Shabu Shabu,Food,Japanese Food,126.72915913759192,37.49430657588969,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,115,522-4,2022-08-16 16:52:33,음식||일식||샤브샤브||샤브샤브-일반,False
62365,62366,27256599,다래회초밥,,Darae Sashimi,Food,Japanese Food,126.62305555320742,37.415263690879385,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,랜드마크로,68,311-1,2022-05-01 12:37:48,음식||일식||일식당||일식당-일반,False
66680,66681,2597450,설가네샤브샤브,,Seolgane Shabu Shabu,Food,Japanese Food,126.67037617501188,37.46526138692927,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,숙골로8번길,33,558-8,2022-08-12 13:15:03,음식||일식||샤브샤브||샤브샤브-일반,False
69543,69544,26945771,육회야문연어 본점,,Yukhoe Yamun Salmon Main Store,Food,Japanese Food,126.6658504999999,37.40793829999976,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,봉재산로44번길,3,1141,2022-08-30 9:43:30,음식||일식||일식당||일식당-일반,False
73640,73641,4326917,용우동 인천만수점,,Yongwoo-dong Incheon Bay Branch,Food,Japanese Food,126.73855799999998,37.44128649999978,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,담방로21번길,3,1045,2022-08-18 12:00:50,"음식||일식||우동,소바||프랜차이즈||용우동",False
