,name,name_eng,problems,category,subcategory
48,The 곱창,The Giblets,"('곱창', 'Gopchang')",Food,Korean Food
220,나겸김밥,Nagyeom Kimbap,"('김밥', 'Gimbap')",Food,Korean Food
224,나들목 본점,Interchange Head Office,"('본점', 'Main Branch')",Food,Korean Food
286,요기로족발,Yogiro Pork Feet,"('족발', 'Jokbal')",Food,Korean Food
598,착한곱창,good giblets,"('곱창', 'Gopchang')",Food,Korean Food
651,김밥나라,kimbap country,"('김밥', 'Gimbap')",Food,Korean Food
751,조선옥 본점,Chosunok Headquarters,"('본점', 'Main Branch')",Food,Korean Food
1254,학생식당,student cafeteria,"('식당', 'Restaurant')",Food,Korean Food
1294,순대의품격,pure quality,"('순대', 'Sundae')",Food,Korean Food
1350,시장왕족발,market king's feet,"('족발', 'Jokbal')",Food,Korean Food
1439,왕돌판구이한판,One plate of grilled king stone,"('구이', 'Gui')",Food,Korean Food
1469,갈산갈비,Galsan Rib,"('갈비', 'Galbi')",Food,Korean Food
1494,그린구내식당,Green cafeteria,"('식당', 'Restaurant')",Food,Korean Food
1528,녹원연탄구이,Nokwon Briquette Grill,"('구이', 'Gui')",Food,Korean Food
1659,우리분식,our meal,"('분식', 'Bunsik')",Food,Korean Food
1804,골목집생선구이,Alley house grilled fish,"('구이', 'Gui')",Food,Korean Food
2025,이가네족발,Igane Pig's Feet,"('족발', 'Jokbal')",Food,Korean Food
2030,김밥여행,Kimbap Travel,"('김밥', 'Gimbap')",Food,Korean Food
2093,서해사랑본점,Seohae Love Headquarters,"('본점', 'Main Branch')",Food,Korean Food
2232,마왕족발 영종하늘도시점,Mawang Jok's Feet Yeongjong Sky City Branch,"('족발', 'Jokbal')",Food,Korean Food
2381,분식뱅크,sack bank,"('분식', 'Bunsik')",Food,Korean Food
2507,거기분식,snack there,"('분식', 'Bunsik')",Food,Korean Food
2620,김밥천국 백운점,Kimbap Heavenly Baegun Branch,"('김밥', 'Gimbap')",Food,Korean Food
2853,토성오리진흙구이,Saturn Duck Mud Roast,"('구이', 'Gui')",Food,Korean Food
2871,탐푸드구내식당,Tam Food Cafeteria,"('식당', 'Restaurant')",Food,Korean Food
2900,임진강풍천장어구이,Imjingang Pungcheon Grilled Eel,"('구이', 'Gui')",Food,Korean Food
2959,이화순대국,Ewhasun Daeguk,"('순대', 'Sundae')",Food,Korean Food
2970,뽕달네참숯불닭갈비,Charcoal-fired chicken ribs,"('갈비', 'Galbi')",Food,Korean Food
2986,풍천순대국,Pungcheon Sundae Guk,"('순대국', 'Sundaeguk')",Food,Korean Food
3085,백순대본가 새맛 구월점,Baeksoondaebonga Saesam Guwol Branch,"('순대', 'Sundae')",Food,Korean Food
3241,김밥천국 갈산점,Kimbap Heavenly Galsan Branch,"('김밥', 'Gimbap')",Food,Korean Food
3322,참치사나이본점,Tuna Man Main Store,"('본점', 'Main Branch')",Food,Korean Food
3432,부부순대국,couple sundae soup,"('순대국', 'Sundaeguk')",Food,Korean Food
3444,성원닭갈비,Seongwon Chicken Ribs,"('갈비', 'Galbi')",Food,Korean Food
3554,맛있는후루룩닭칼국수,Tasty Hururuk Chicken Noodle Soup,"('칼국수', 'Kalguksu')",Food,Korean Food
3826,연안숯불갈비,Coastal Charcoal Grilled Ribs,"('갈비', 'Galbi')",Food,Korean Food
3870,인성김밥만두,Inseong Kimbap Dumplings,"('김밥', 'Gimbap')",Food,Korean Food
3874,황토흙가마구이,Loess clay pot roast,"('구이', 'Gui')",Food,Korean Food
3900,아싸김밥만두,Asa Kimbap Dumplings,"('김밥', 'Gimbap')",Food,Korean Food
4306,주공114분식,Jugong 114 minutes,"('분식', 'Bunsik')",Food,Korean Food
4344,수연생오리구이,Grilled fresh duck,"('구이', 'Gui')",Food,Korean Food
4360,명동통큰닭갈비 주안점,Myeongdong Big Chicken Ribs Main,"('갈비', 'Galbi')",Food,Korean Food
4523,김밥천국,Kimbap Heaven,"('김밥', 'Gimbap')",Food,Korean Food
4579,한가네숯불닭갈비 인천선학점,Hangane Charcoal Grilled Chicken Ribs Incheon Seonhak,"('갈비', 'Galbi')",Food,Korean Food
4592,덕애김밥,Deokae Kimbap,"('김밥', 'Gimbap')",Food,Korean Food
4716,황소갈비 영종도점,Beef Ribs Yeongjongdo Branch,"('갈비', 'Galbi')",Food,Korean Food
4735,훈이네분식,Hoon's meal,"('분식', 'Bunsik')",Food,Korean Food
4780,나눔분식,sharing meal,"('분식', 'Bunsik')",Food,Korean Food
4826,행복한김밥,happy kimbap,"('김밥', 'Gimbap')",Food,Korean Food
4882,어울림회조개구이,Oullim Grilled Sashimi,"('구이', 'Gui')",Food,Korean Food
5010,송현동일미순대국,Song Hyeon-Dong-Il-Misundae-Guk,"('순대국', 'Sundaeguk')",Food,Korean Food
5235,은혜한식분식,Grace Korean Food,"('분식', 'Bunsik')",Food,Korean Food
5240,용갈비 본점,Yonggalbi Main Store,"('본점', 'Main Branch')",Food,Korean Food
5328,삼거리순대국,Three-way sundae soup,"('순대국', 'Sundaeguk')",Food,Korean Food
5402,해피하우스분식,Happy House Snack,"('분식', 'Bunsik')",Food,Korean Food
5599,청정회수산 본점,Clean Recovery Fisheries Headquarters,"('본점', 'Main Branch')",Food,Korean Food
5726,허벌난구이,Herbal Nanjing,"('구이', 'Gui')",Food,Korean Food
5947,제주연탄구이,Jeju Briquette Grill,"('구이', 'Gui')",Food,Korean Food
6088,왕우동분식 안곡점,Wang Udon Snack Angok Branch,"('분식', 'Bunsik')",Food,Korean Food
6187,신이내린족발과보쌈 옥련점,God's Chicken Feet and Bossam Ongnyeon Branch,"('족발', 'Jokbal')",Food,Korean Food
6276,거목집참숯불구이,Charcoal-grilled giant tree house,"('구이', 'Gui')",Food,Korean Food
6342,큰맘할매순대국 인천당하점,Geunmam Grandma Sundae Guk Incheon Dangha Branch,"('순대국', 'Sundaeguk')",Food,Korean Food
6401,류가네순대국,Ryugane Sundae Soup,"('순대국', 'Sundaeguk')",Food,Korean Food
6478,녹색흑염소 인천본점,Green Black Goat Incheon Head Office,"('본점', 'Main Branch')",Food,Korean Food
6700,오리&삼겹마포구이갈비,Duck & Samgyeopsal Mapo Grilled Ribs,"('구이', 'Gui')",Food,Korean Food
6776,임시정부갈비&갈비,Provisional government ribs & ribs,"('갈비', 'Galbi')",Food,Korean Food
7132,백년백세춘천닭갈비삼계탕,100 Years Baekse Chuncheon Chicken Ribs Samgyetang,"('갈비', 'Galbi')",Food,Korean Food
7389,양촌리 화로구이 구월점,Hwaro-grilled  Guwol,"('구이', 'Gui')",Food,Korean Food
7457,큰손원조할매순대국 인천금곡점,Grandson Wonjo Grandma Sundae Guk Incheon Geumgok Branch,"('순대국', 'Sundaeguk')",Food,Korean Food
7508,돼지고기전문점꿀 본점,Pork Specialty Store Honey Main Store,"('본점', 'Main Branch')",Food,Korean Food
7524,강남스타일조개구이,Gangnam Style Grilled Clams,"('구이', 'Gui')",Food,Korean Food
7682,김밥천국 간석점,Kimbap Heavenly Ganseok Branch,"('김밥', 'Gimbap')",Food,Korean Food
7813,허브한방장충동왕족발보쌈,Herbal herbal medicine Jangchungdong royal pig's foot Bossam,"('족발', 'Jokbal')",Food,Korean Food
