,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
971,972,26606737,해주오케이크,,Haeju Oh Cake,Food,Pastries,126.66639025204988,37.45201797132528,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,한나루로501번길,18,2-17,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
6282,6283,5456194,작은오븐,,small oven,Food,Pastries,126.62475990536284,37.47196067696716,대한민국,KOR,KOR,인천광역시,중구,,관동3가,,신포로31번길,11,3-1,2022-08-24 14:41:06,"음식||카페,디저트||케이크전문||케이크전문-일반",False
15057,15058,27048110,만수야케이크먹자,,Let's Eat Mansuya Cake,Food,Pastries,126.73897834414396,37.446930989376185,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,담방로,81,1093-1,2022-08-08 10:29:42,"음식||카페,디저트||케이크전문||케이크전문-일반",False
16767,16768,26964577,서정,,lyricism,Food,Pastries,126.67366343019296,37.44683702030559,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,신기길30번길,54,851-16,2022-05-01 12:37:48,"음식||카페,디저트||케이크전문||케이크전문-일반",False
26612,26613,4331748,카페보레브,까페보레브,Cafe Borev,Food,Pastries,126.70519368124792,37.452955198372166,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,미래로,32,1142,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
30081,30082,27182247,해피베이킹스,,Happy Bakings,Food,Pastries,126.72512212929492,37.45740533451697,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월말로,93,901-31,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
38689,38690,20084921,케이크 러버스,CAKE LOVERS,Cake Lovers,Food,Pastries,126.63086780059484,37.47674519540057,대한민국,KOR,KOR,인천광역시,중구,,인현동,,참외전로,107,1-274,2022-09-06 15:18:26,"음식||카페,디저트||케이크전문||케이크전문-일반",False
39318,39319,26959621,앙구미케이크,,Angoumi Cake,Food,Pastries,126.71449496745689,37.451905739047184,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,용천로,28,1225-40,2022-08-30 9:43:30,"음식||카페,디저트||케이크전문||케이크전문-일반",False
39509,39510,27035842,킨포크케이크,킨포크,Kinfolk Cake,Food,Pastries,126.66771849999996,37.49696619999981,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,염곡로,140,136,2022-07-13 13:54:25,"음식||카페,디저트||케이크전문||케이크전문-일반",False
47377,47378,27183562,리앤느앙금플라워,,leeanne red bean flower,Food,Pastries,126.65404678476624,37.378369363018166,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도문화로28번길,28,190-2,2022-08-08 10:29:42,"음식||카페,디저트||케이크전문||케이크전문-일반",False
57215,57216,27069365,보울라이스케이크,,Bowl Rice Cake,Food,Pastries,126.72899633878592,37.504695000242975,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,길주남로65번길,6,906-1,2022-08-12 13:15:03,"음식||카페,디저트||케이크전문||케이크전문-일반",False
63346,63347,27137777,포시즌앙금케이크,,Four Seasons Bean Cake,Food,Pastries,126.65748229999994,37.532125099999824,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라에메랄드로76번길,7,167-29,2022-08-12 13:15:03,"음식||카페,디저트||케이크전문||케이크전문-일반",False
73466,73467,27092366,로사케이크,,Rosa Cake,Food,Pastries,126.73245199999998,37.49379209999981,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,144-1,368-8,2022-05-01 12:37:48,"음식||카페,디저트||케이크전문||케이크전문-일반",False
79415,79416,27141766,루피너스케이크,,lupine cake,Food,Pastries,126.67479471974832,37.592934566252254,대한민국,KOR,KOR,인천광역시,서구,,당하동,,청마로167번안길,17,1093-1,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
80220,80221,4345547,바림케이크,,Barrim Cake,Food,Pastries,126.67726505176611,37.59408093085044,대한민국,KOR,KOR,인천광역시,서구,,마전동,,원당대로,683,1058-5,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
93168,93169,27060317,제이델링 인천점,,J-Delling Incheon Branch,Food,Pastries,126.70989379999992,37.440097099999775,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,선수촌공원로17번길,1,1550-1,2022-05-01 12:37:48,"음식||카페,디저트||케이크전문||케이크전문-일반",False
96293,96294,27330366,케이크샵,,cake shop,Food,Pastries,126.7168325999999,37.59472229999983,대한민국,KOR,KOR,인천광역시,서구,,원당동,,이음1로,383,434-13,2022-09-06 15:18:26,"음식||카페,디저트||케이크전문||케이크전문-일반",False
111079,111080,27179577,랑블랑케이크,,lan blanc cake,Food,Pastries,126.64092832948184,37.53697960699059,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라루비로134번길,6-2,144-2,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
121452,121453,5716474,도레도레 인천구월점,DOREDORE인천구월점,Dore Dore Incheon Guwol Branch,Food,Pastries,126.70115752687892,37.44634138217543,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로,138,1456,2022-05-01 12:37:48,"음식||카페,디저트||케이크전문||프랜차이즈||도레도레",False
132611,132612,27047993,달콤수 앙금플라워,,Sweet water sediment flower,Food,Pastries,126.69505671510493,37.45220838255867,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로77번길,25,1103,2022-05-01 12:37:48,"음식||카페,디저트||케이크전문||케이크전문-일반",False
133957,133958,27130062,까레몽베이커리,,Carremont Bakery,Food,Pastries,126.72484553982792,37.45538243325219,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,308,910-4,2022-08-16 16:52:33,"음식||카페,디저트||케이크전문||케이크전문-일반",False
134081,134082,27021714,움트 롯데백화점인천점,,Umt Lotte Department Store Incheon,Food,Pastries,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-07-05 16:31:26,"음식||카페,디저트||케이크전문||케이크전문-일반",False
140600,140601,27036700,엘린케이크,,Elin Cake,Food,Pastries,126.66806239063293,37.44958698332408,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,한나루로478번길,11,809-4,2022-08-12 13:15:03,"음식||카페,디저트||케이크전문||케이크전문-일반",False
144676,144677,27132689,스윗핸즈 앙금플라워,,Sweet Hands Bean Flower,Food,Pastries,126.64671269999997,37.509027299999815,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,35,381-68,2022-08-02 16:47:12,"음식||카페,디저트||케이크전문||케이크전문-일반",False
