,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2186,2187,27120025,써브웨이 서구청점,,Subway Seogu Office,Food,Sandwich Shop,126.67489034455988,37.5437740877359,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,탁옥로,50,249,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||써브웨이,False
10638,10639,27058712,홍루이젠 청라점,,Hongruizen Cheongna Branch,Food,Sandwich Shop,126.65078009999996,37.534424299999806,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라라임로,85,160-1,2022-08-24 14:41:06,음식||양식||샌드위치||프랜차이즈||홍루이젠,False
13540,13541,27110100,홍루이젠 송도센트럴파크점,,Hongruizen Songdo Central Park Branch,Food,Sandwich Shop,126.64964028252489,37.39248530399134,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,하모니로36번길,19,3-14,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||홍루이젠,False
16205,16206,4408628,써브웨이 인천송도센트럴파크점,,Subway Incheon Songdo Central Park Branch,Food,Sandwich Shop,126.64179989999992,37.394503699999774,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,센트럴로,194,23-4,2022-08-16 16:52:33,음식||양식||샌드위치||프랜차이즈||써브웨이,False
28244,28245,27183430,팡팡샌드 송도점,,Pangpang Sand Songdo Branch,Food,Sandwich Shop,126.63786880438713,37.39724686579604,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,센트럴로,232,23-3,2022-08-19 9:48:28,음식||양식||샌드위치||샌드위치-일반,False
29960,29961,4339726,써브웨이 인천삼산점,,Subway Incheon Samsan Branch,Food,Sandwich Shop,126.734432101178,37.50833337398562,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,24,462-5,2022-08-26 9:52:19,음식||양식||샌드위치||프랜차이즈||써브웨이,False
41756,41757,5655601,써브웨이 부평중앙점,SUBWAY부평중앙점,Subway Bupyeong Jungang Branch,Food,Sandwich Shop,126.72322459120691,37.494169217701774,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,63,212-67,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||써브웨이,False
42551,42552,27162621,홍루이젠 인천동춘점,,Hongruizen Incheon Dongchun Branch,Food,Sandwich Shop,126.6720655817879,37.407920079487646,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,256,936-5,2022-08-16 16:52:33,음식||양식||샌드위치||프랜차이즈||홍루이젠,False
45068,45069,26930917,플로리샌드위치,,Flory Sandwich,Food,Sandwich Shop,126.73803148315596,37.53811823757792,대한민국,KOR,KOR,인천광역시,계양구,,용종동,,계산새로,89,211-5,2022-08-30 9:43:30,음식||양식||샌드위치||샌드위치-일반,False
47142,47143,27123361,죠샌드위치 운서역점,,Joe Sandwich Unseo Station,Food,Sandwich Shop,126.48969906097425,37.49480180781227,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종대로,94,2799-1,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||죠샌드위치,False
52997,52998,4324290,써브웨이 인천구월동로데오점,SUBWAY 인천구월동로데오점,Subway Incheon-gu Woldong Rodeo Branch,Food,Sandwich Shop,126.70262115503036,37.446581117617114,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로140번길,33,1454-1,2022-08-16 16:52:33,음식||양식||샌드위치||프랜차이즈||써브웨이,False
55158,55159,20027410,조이풀샌드위치 부평본점,,Joyful Sandwich Bupyeong Main Branch,Food,Sandwich Shop,126.72368422976392,37.505217900512086,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,신트리로22번길,13,886-19,2019-11-14 0:00:00,음식||양식||샌드위치||샌드위치-일반,False
57947,57948,4337698,써브웨이 인천계산역점,,Subway Incheon Gyesan Station Branch,Food,Sandwich Shop,126.7242483726289,37.54370089238292,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1055,931-56,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||써브웨이,False
66027,66028,4337561,써브웨이 인천논현점,,Subway Incheon Nonhyeon Branch,Food,Sandwich Shop,126.72402025935192,37.40130022976986,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,583,631-9,2022-08-16 16:52:33,음식||양식||샌드위치||프랜차이즈||써브웨이,False
68225,68226,26977564,홍루이젠 미추홀용현점,,Hong Ruizen Michuhol Yonghyeon Branch,Food,Sandwich Shop,126.63578132475686,37.44981614971976,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,낙섬중로,11-1,627-280,2022-05-01 12:37:48,음식||양식||샌드위치||프랜차이즈||홍루이젠,False
68552,68553,27021712,아메리칸에그샌드 롯데백화점인천점,,American Egg Sand Lotte Department Store Incheon,Food,Sandwich Shop,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,음식||양식||샌드위치||샌드위치-일반,False
74754,74755,4408626,써브웨이 인천주안역점,SUBWAY인천주안역점,Subway Incheon Juan Station Branch,Food,Sandwich Shop,126.67924808947788,37.46427854214978,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로,89,238-1,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||써브웨이,False
74964,74965,27183872,홍루이젠 인천가좌점,,Hongruizen Incheon Gajwa,Food,Sandwich Shop,126.68505289999987,37.494088399999775,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,건지로,402,7,2022-08-24 14:41:06,음식||양식||샌드위치||프랜차이즈||홍루이젠,False
75743,75744,26997592,써브웨이 인천검단사거리점,,Subway Incheon Geomdan Intersection,Food,Sandwich Shop,126.6585597717119,37.60154419835753,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,159,662-6,2022-08-12 13:15:03,음식||양식||샌드위치||프랜차이즈||써브웨이,False
80011,80012,4347139,써브웨이 인천계양구청점,,Subway Incheon Gyeyang-gu Office,Food,Sandwich Shop,126.73762865748996,37.538148814204206,대한민국,KOR,KOR,인천광역시,계양구,,용종동,,계산새로,85,210-6,2022-08-16 16:52:33,음식||양식||샌드위치||프랜차이즈||써브웨이,False
