,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1057,1058,62609,하리낚시터,,hari fishing spot,Parks and Outdoors,Fishing,126.28993249999924,37.740667799999514,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,하리,삼산북로806번길,215,17,2022-05-01 12:37:48,"레져,체육||수상,해양||낚시터||민물낚시",False
1980,1981,3128692,인천배낚시 국제유선,,Incheon Boat Fishing International Cable,Parks and Outdoors,Fishing,126.61243688199283,37.45405586238168,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,축항대로,142,27-171,2022-09-06 15:18:26,"레져,체육||수상,해양||낚시터||배낚시||배낚시-일반",False
2207,2208,27153186,은아호바다낚시,,Eunaho sea fishing,Parks and Outdoors,Fishing,126.61298299999984,37.45385329999978,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,축항대로,142,27-171,2022-05-01 12:37:48,"레져,체육||수상,해양||낚시터||배낚시||배낚시-일반",False
3634,3635,2799105,인천배낚시,,Incheon boat fishing,Parks and Outdoors,Fishing,126.60361087418084,37.45636475321307,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,연안부두로,16,60,2020-01-14 23:42:17,"레져,체육||수상,해양||낚시터||배낚시||배낚시-일반",False
5230,5231,27089785,루어피싱호,,Lure Fishing,Parks and Outdoors,Fishing,126.5005140999997,37.25783479999955,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥북로,59,3-20,2022-05-09 18:01:21,"레져,체육||수상,해양||낚시터||배낚시||배낚시-일반",False
7297,7298,5892637,놀이터실내바다낚시터,,Playground Indoor Sea Fishing Ground,Parks and Outdoors,Fishing,126.72756150380692,37.518134099773114,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,평천로,333,73-1,2022-05-01 12:37:48,"레져,체육||수상,해양||낚시터||실내낚시",False
8352,8353,27069555,어부바 낚시카페,,Fisherman Bar Fishing Cafe,Parks and Outdoors,Fishing,126.72450950758092,37.543720093672206,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1057,931-58,2022-08-16 16:52:33,"레져,체육||수상,해양||낚시터||실내낚시",False
9052,9053,27092310,포인트실내낚시터카페,,Point indoor fishing spot cafe,Parks and Outdoors,Fishing,126.62900363889683,37.472886885143176,대한민국,KOR,KOR,인천광역시,중구,,내동,,우현로,63,203-6,2022-08-16 16:52:33,"레져,체육||수상,해양||낚시터||실내낚시",False
9421,9422,5210475,선재낚시공원,,Seonjae fishing park,Parks and Outdoors,Fishing,126.52201609958075,37.25437790126927,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,선재리,선재로226번길,164,521-34,2022-07-19 20:20:05,"레져,체육||수상,해양||낚시터||바다낚시",False
10449,10450,265336,황산레저바다낚시터,황산바다낚시터,Huangshan Leisure Sea Fishing Site,Parks and Outdoors,Fishing,126.53598689999971,37.61816419999968,대한민국,KOR,KOR,인천광역시,강화군,,길상면,초지리,해안남로117번길,5,1323,2022-05-01 12:37:48,"레져,체육||수상,해양||낚시터||바다낚시",False
12665,12666,1267334,삼지낚시터,,samji fishing,Parks and Outdoors,Fishing,126.65414999999987,37.63050709999983,대한민국,KOR,KOR,인천광역시,서구,,대곡동,,,,65,2022-05-01 12:37:48,"레져,체육||수상,해양||낚시터||낚시터-일반",False
14175,14176,27402352,만정바다낚시터,,manjeong sea fishing,Parks and Outdoors,Fishing,126.54705397431826,37.51354660470955,대한민국,KOR,KOR,인천광역시,중구,,중산동,,영종순환로,279-20,1853,2022-08-02 16:47:12,"레져,체육||수상,해양||낚시터||낚시터-일반",False
