,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
680,681,1262434,노블골프랜드,,Noble Golf Land,Parks and Outdoors,Golf Course,126.73842643397192,37.44374885683049,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,담방로,45,1020-2,2022-08-16 16:52:33,"레져,체육||골프||스크린골프장||스크린골프장-일반",False
2140,2141,27090119,SG스크린골프 주안점,,The focus of SG Screen Golf,Parks and Outdoors,Golf Course,126.69084489902689,37.448509379265765,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로,381,1571,2022-08-12 13:15:03,"레져,체육||골프||스크린골프장||스크린골프장-일반",False
2930,2931,5711820,제이골프존,J골프연습장,J Golf Zone,Parks and Outdoors,Golf Course,126.66850223507691,37.60842834957871,대한민국,KOR,KOR,인천광역시,서구,,마전동,,검단로,601,1140-4,2022-08-12 13:15:03,"레져,체육||골프||스크린골프장||프랜차이즈||골프존",False
4015,4016,150639,인천국제CC클럽하우스,인천국제컨트리클럽하우스,Incheon International CC Clubhouse,Parks and Outdoors,Golf Course,126.65365092814892,37.5619057971526,대한민국,KOR,KOR,인천광역시,서구,,경서동,,도요지로,37,720-1,2022-08-16 16:52:33,"레져,체육||골프||골프장||클럽하우스",False
4030,4031,27056808,공단스크린골프,,satin screen golf,Parks and Outdoors,Golf Course,126.68962707785988,37.39798561752967,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,앵고개로,448,690-15,2022-08-12 13:15:03,"레져,체육||골프||스크린골프장||스크린골프장-일반",False
4396,4397,1872667,골프존 GDR아카데미 경남스크린,,Golf Zone GDR Academy Gyeongnam Screen,Parks and Outdoors,Golf Course,126.70904999999992,37.50376669999981,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로222번길,27,142-3,2022-08-12 13:15:03,"레져,체육||골프||스크린골프장||프랜차이즈||골프존",False
4831,4832,2626466,원스크린골프,원골프,One Screen Golf,Parks and Outdoors,Golf Course,126.66900440199991,37.421332360848055,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,용담로,11,451,2021-12-23 15:49:18,"레져,체육||골프||스크린골프장||스크린골프장-일반",False
6305,6306,4984066,골프존파크 동춘송도유원지점,GOLFZONPARK동춘송도유원지점,Golf Zone Park Dongchun Songdo Amusement Park Branch,Parks and Outdoors,Golf Course,126.66053559999995,37.41360379999976,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로46번길,2,783-10,2022-08-16 16:52:33,"레져,체육||골프||스크린골프장||프랜차이즈||골프존파크",False
6597,6598,1260643,노블스포렉스골프장,,Noble Forex Golf Course,Parks and Outdoors,Golf Course,126.70065844691489,37.44408341143716,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2019-11-14 23:28:06,"레져,체육||골프||스크린골프장||스크린골프장-일반",False
6691,6692,856631,쥬어리골프클럽,,jewelry golf club,Parks and Outdoors,Golf Course,126.68970220007888,37.47274280066758,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,가재울로,169,557-15,2022-08-18 12:00:50,"레져,체육||골프||골프연습장||실외골프연습장",False
