,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2205,2206,3132867,서인천탁구클럽,,Seoincheon Table Tennis Club,Parks and Outdoors,Other Parks and Outdoors,126.67197375829991,37.503922620678175,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,215,537-21,2022-08-16 16:52:33,"레져,체육||구기||탁구장",False
2384,2385,5848982,간석한신더휴아파트배드민턴장,,Ganseok Hanshin The Hue Apartment Badminton Court,Parks and Outdoors,Other Parks and Outdoors,126.6886261967636,37.467997883735215,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,석정로461번길,50,616-6,2019-01-08 18:30:35,"레져,체육||구기||배드민턴장",False
2502,2503,27394496,인천영종A-10블록배드민턴장, ,Incheon Yeongjong A-10 Block Badminton Court,Parks and Outdoors,Other Parks and Outdoors,126.50534195786987,37.4894056193619,대한민국,KOR,KOR,인천광역시,중구,,운서동,,,,3084-1,2022-08-02 16:47:12,"레져,체육||구기||배드민턴장",False
2896,2897,1870944,계양공원,계양산공원,Gyeyang Park,Parks and Outdoors,Other Parks and Outdoors,126.72351249993793,37.549975000444526,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,,,산52-2,2022-05-01 12:37:48,"관광,명소||공원녹지||공원||테마공원||도시,테마공원-일반",False
2983,2984,3693856,아라베이스볼파크,,arab baseball park,Parks and Outdoors,Other Parks and Outdoors,126.67045340029088,37.573994700082224,대한민국,KOR,KOR,인천광역시,서구,,백석동,,한들로,66-34,51-34,2022-08-12 13:15:03,"레져,체육||구기||야구장||야구장-일반",False
3147,3148,20164609,영종GS자이아파트배드민턴장, ,Yeongjong GS Jai Apartment badminton court,Parks and Outdoors,Other Parks and Outdoors,126.532660992859,37.4889122286363,대한민국,KOR,KOR,인천광역시,중구,,운남동,,운남서로,7,1550,2021-12-23 15:49:18,"레져,체육||구기||배드민턴장",False
3296,3297,1745821,신흥현대아이파크아파트배드민턴장,,Shinheung Hyundai I'Park Apartment Badminton Court,Parks and Outdoors,Other Parks and Outdoors,126.63301938077792,37.45562920086519,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,인항로,30,7-235,2022-06-13 10:44:13,"레져,체육||구기||배드민턴장",False
3581,3582,20084926,청라호수공원,,Cheongna Lake Park,Parks and Outdoors,Other Parks and Outdoors,126.6328092999998,37.53996959999966,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라대로,204,106-2,2022-06-07 17:23:36,"관광,명소||공원녹지||공원||테마공원||도시,테마공원-일반",False
4027,4028,3131922,김영민탁구교실,,Youngmin Kim Table Tennis Class,Parks and Outdoors,Other Parks and Outdoors,126.67080799999997,37.40690399999976,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로246번길,43,933-9,2018-09-18 15:00:00,"레져,체육||구기||탁구장",False
4104,4105,4995556,한화꿈에그린에코메트로7단지아파트배드민턴장,7단지한화꿈에그린월드에코메트로아파트배드민턴장,Hanwha Dream and Green Eco Metro Complex 7 Apartment Badminton Court,Parks and Outdoors,Other Parks and Outdoors,126.72656511818998,37.392458257818376,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,에코중앙로,163,757-1,2022-06-13 10:44:13,"레져,체육||구기||배드민턴장",False
4509,4510,4993092,청라호반베르디움3차아파트배드민턴장,,Cheongnahoban Verdium 3rd Apartment Badminton Court,Parks and Outdoors,Other Parks and Outdoors,126.65934326866795,37.53125763147912,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라에메랄드로76번길,14,168-1,2022-06-13 10:44:13,"레져,체육||구기||배드민턴장",False
