,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
8670,8671,3237776,인천대공원풋살장,,Incheon Grand Park Futsal Stadium,Parks and Outdoors,Soccer,126.75078549950096,37.456576099602394,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,무네미로,238,428,2022-05-01 12:37:48,"레져,체육||구기||풋살장||풋살장-일반",False
10443,10444,3237879,인천대공원 축구장,,Incheon Grand Park Soccer Field,Parks and Outdoors,Soccer,126.75139700021295,37.4567019000316,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,무네미로,238,301,2022-05-01 12:37:48,"레져,체육||구기||축구장||축구장-일반",False
14000,14001,27075442,로꼬 풋살스타디움 인천중구점,,Loco Futsal Stadium Incheon Jung-gu,Parks and Outdoors,Soccer,126.62216779999984,37.44800239999976,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,서해대로209번길,2,76-2,2022-08-16 16:52:33,"레져,체육||구기||풋살장||풋살장-일반",False
18747,18748,26874173,두팍축구센터,,Dupac Football Center,Parks and Outdoors,Soccer,126.67579219999996,37.41418349999977,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청능대로,93,503-4,2021-11-01 10:21:13,"레져,체육||구기||축구장||축구장-일반",False
21909,21910,27183971,케이지풋살아레나 부평점,,Cage Futsal Arena Bupyeong Branch,Parks and Outdoors,Soccer,126.73024879999996,37.49985229999981,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로159번길,4,377-10,2022-09-06 15:18:26,"레져,체육||구기||풋살장||풋살장-일반",False
24967,24968,582429,인천축구전용경기장,인천유나이티드홈구장,Incheon Football Stadium,Parks and Outdoors,Soccer,126.64304819949696,37.46625630018879,대한민국,KOR,KOR,인천광역시,중구,,도원동,,,,73,2022-05-01 12:37:48,"레져,체육||구기||축구장||프로축구장",False
28810,28811,2600670,백령도축구장,,Baengnyeongdo Soccer Field,Parks and Outdoors,Soccer,124.69877500042256,37.939083299725645,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,남포리,백령남로,458,산1-4,2022-05-01 12:37:48,"레져,체육||구기||축구장||축구장-일반",False
31944,31945,27094780,하이풋살,,high futsal,Parks and Outdoors,Soccer,126.6341983999999,37.51791199999982,대한민국,KOR,KOR,인천광역시,서구,,원창동,,파랑로,214,209-34,2022-08-16 16:52:33,"레져,체육||구기||풋살장||풋살장-일반",False
33631,33632,27081644,플레이풋살,,play futsal,Parks and Outdoors,Soccer,126.66114369999988,37.37968839999974,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,33-3,176-1,2022-05-01 12:37:48,"레져,체육||구기||풋살장||풋살장-일반",False
38043,38044,3237880,인천대공원풋살장,,Incheon Grand Park Futsal Stadium,Parks and Outdoors,Soccer,126.75026679219197,37.4570093612767,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,무네미로,238,428,2022-06-13 10:44:13,"레져,체육||구기||풋살장||풋살장-일반",False
