,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1163,1164,1745892,간석우성1차아파트테니스장,,Ganseok Wooseong 1st Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.69507326267292,37.4677855527471,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,방축로,501,893-1,2017-09-29 11:11:11,"레져,체육||구기||테니스장",False
1750,1751,27173495,노블테니스아카데미,,Noble Tennis Academy,Parks and Outdoors,Tennis Court,126.72656216270192,37.39825895924225,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,73,746-5,2022-08-18 12:00:50,"레져,체육||구기||테니스장",False
2691,2692,1745546,한국폴리텍2대학 인천캠퍼스테니스장,폴리텍2대학인천캠퍼스테니스장,Korea Polytechnic University Incheon Campus Tennis Court,Parks and Outdoors,Tennis Court,126.75455894903196,37.4768489583431,대한민국,KOR,KOR,인천광역시,부평구,,구산동,,무네미로448번길,56,40-7,2020-05-19 23:00:14,"레져,체육||구기||테니스장",False
3939,3940,20078344,담방테니스클럽,,Dambang Tennis Club,Parks and Outdoors,Tennis Court,126.73595069999996,37.437202199999774,대한민국,KOR,KOR,인천광역시,남동구,,수산동,,소래로,540,601,2022-05-01 12:37:48,"레져,체육||구기||테니스장",False
6975,6976,1747311,가이아샹베르2차아파트테니스장,,Gaia Chambert 2nd Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.65114863760871,37.55705055281339,대한민국,KOR,KOR,인천광역시,서구,,경서동,,경서로31번길,47,727-1,2018-07-30 19:19:18,"레져,체육||구기||테니스장",False
6997,6998,1747725,청천푸르지오아파트테니스장,푸르지오아파트테니스장,Cheongcheon Prugio Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.70656684453591,37.51479050385917,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,세월천로,16,176,2017-09-29 11:11:11,"레져,체육||구기||테니스장",False
10060,10061,20100507,계산현대아파트테니스장,,Gyesan Hyundai Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.73255405497248,37.537970558372,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산로,171,66,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
10103,10104,1746175,현대3단지아파트테니스장,3단지부평현대아파트테니스장,Hyundai 3 Complex Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.7046848647478,37.490177166134,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,121,370-399,2018-02-07 11:22:33,"레져,체육||구기||테니스장",False
10351,10352,1745940,송도럭키아파트테니스장,,Songdo Lucky Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.64370278351647,37.425420132497536,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,능허대로79번길,30,626,2018-12-19 14:34:02,"레져,체육||구기||테니스장",False
10964,10965,20195297,연수풍림2차아파트테니스장,,Yeonsu Poongrim 2nd Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.67372080656092,37.40092155232645,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,경원대로119번길,21,929,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
13961,13962,1746719,주안진흥아파트테니스장,,Juan Jinheung Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.68190172969672,37.4474760049084,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로298번길,33,1606,2018-07-30 19:19:18,"레져,체육||구기||테니스장",False
14148,14149,271663,교동테니스장,,Gyodong Tennis Court,Parks and Outdoors,Tennis Court,126.2817499999996,37.78436699999992,대한민국,KOR,KOR,인천광역시,강화군,,교동면,대룡리,교동동로,485-5,산36,2017-03-02 12:00:00,"레져,체육||구기||테니스장",False
15339,15340,1746309,현대2단지아파트테니스장,,Hyundai 2nd Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.70711007116796,37.4945894407729,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로123번길,46,306-3,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
16591,16592,1746761,부개주공1단지아파트테니스장,,Bugae Jugong Apartment Complex 1 Tennis Court,Parks and Outdoors,Tennis Court,126.73735478720896,37.50631884817671,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,길주남로,143,496-2,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
21514,21515,1746433,부개주공5단지아파트테니스장,5단지부개주공아파트테니스장,Bugae Jugong Complex 5 Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.73742169197897,37.498696801094006,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부개로,11,500-1,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
23387,23388,1745423,대림아파트테니스장,1차연수대림이편한세상아파트테니스장,Daelim Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.69507848203986,37.42076475062095,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,원인재로,300,532,2020-03-26 16:41:43,"레져,체육||구기||테니스장",False
24006,24007,1745507,경남1차아파트테니스장,,Gyeongnam 1st Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.7114032258218,37.50328901771586,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로222번길,27,142-3,2017-09-29 11:11:11,"레져,체육||구기||테니스장",False
27137,27138,1745487,경남4차아파트테니스장,,Gyeongnam 4th apartment tennis court,Parks and Outdoors,Tennis Court,126.70865781559236,37.500318123870095,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,안남로206번길,18,274-5,2017-10-16 16:14:57,"레져,체육||구기||테니스장",False
28042,28043,1746411,당하풍림아이원2차아파트테니스장,2차당하풍림아이원아파트테니스장,Dangha Poonglim I-One 2nd Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.67668303118894,37.59588235251116,대한민국,KOR,KOR,인천광역시,서구,,마전동,,원당대로685번길,30,1053-1,2019-11-25 23:00:11,"레져,체육||구기||테니스장",False
29492,29493,20100491,오류동신동아아파트테니스장,,Oryu-dong Sindong-a Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.73483400372064,37.580373995322944,대한민국,KOR,KOR,인천광역시,계양구,,오류동,,황어로115번길,12,180,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
29856,29857,3711788,서창2지구LH휴먼시아1단지아파트테니스장,서창2지구엘에이치휴먼시아1단지아파트테니스장,Seochang District 2 LH Humansia Complex 1 Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.74159281417197,37.42987169120647,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,서창남순환로,124-14,636,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
30156,30157,1746908,인천검단아이파크아파트테니스장,,Incheon Geomdan I'Park Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.66420018058488,37.60171208513399,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로92번길,28,998-1,2018-07-24 8:08:08,"레져,체육||구기||테니스장",False
36666,36667,5596933,연안월디테니스족구장,연안월디족구장,Coastal Woldi Tennis Stadium,Parks and Outdoors,Tennis Court,126.59709040038584,37.44643869998444,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,,,82-29,2022-05-01 12:37:48,"레져,체육||구기||테니스장",False
38724,38725,2618569,한국남동발전영흥에너지타운테니스장,남동발전영흥에너지타운테니스장,Korea South-East Power Yeongheung Energy Town Tennis Court,Parks and Outdoors,Tennis Court,126.4525237999998,37.24938029999971,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,외리,영흥남로369번길,22,680,2018-08-16 9:30:30,"레져,체육||구기||테니스장",False
41437,41438,20195299,연수현대1차아파트테니스장,,Yeonsu Hyundai 1st Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.67487016376133,37.403273712702365,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,원인재로,56,928,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
41539,41540,1745330,인천지방중소벤처기업청테니스장,,Incheon Regional Small and Medium Venture Business Administration Tennis Court,Parks and Outdoors,Tennis Court,126.69898059999996,37.40953459999976,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,은봉로,82,445-1,2017-09-29 7:07:07,"레져,체육||구기||테니스장",False
41956,41957,3642721,테니스장,,tennis court,Parks and Outdoors,Tennis Court,126.4779467996437,37.492473599873534,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종해안북로1050번길,78-19,2860-7,2022-05-01 12:37:48,"레져,체육||구기||테니스장",False
43439,43440,20099986,간석래미안자이아파트테니스장,,Ganseok Raemian Zai Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.71174351254288,37.45822718362099,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로,860,939-1,2022-05-01 12:37:48,"레져,체육||구기||테니스장",False
43688,43689,5719684,부개주공3단지아파트테니스장,3단지부개주공아파트테니스장,Bugae Jugong Complex 3 Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.73682679999996,37.5008790999998,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,길주남로,144,498-5,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
46789,46790,20195303,연수한양1차아파트테니스장,,Yeonsu Hanyang 1st Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.67959525881902,37.40831769841692,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,원인재로,124,925,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
47200,47201,1746322,부개주공6단지아파트테니스장,6단지부개주공아파트테니스장,Bugae Jugong Complex 6 Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.74293467640896,37.49986271858511,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부개로,12,501-1,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
50756,50757,1745073,갈산타운아파트테니스장,1단지갈산주공아파트테니스장,Galsan Town Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.73136045891297,37.512458074824906,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,굴포로,81,359,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
51078,51079,3555672,영종복합청사테니스장,,Yeongjong Complex Tennis Court,Parks and Outdoors,Tennis Court,126.53079879999984,37.49366859999975,대한민국,KOR,KOR,인천광역시,중구,,운남동,,운남서로,100-1,1511,2019-08-22 19:39:08,"레져,체육||구기||테니스장",False
51710,51711,20195294,연수한양2차아파트테니스장,,Yeonsu Hanyang 2nd Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.67247801638383,37.40407304050555,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,원인재로,59,932,2021-12-23 15:49:18,"레져,체육||구기||테니스장",False
52153,52154,1746551,학익동풍림아이원아파트테니스장, ,Hakik-dong Poongrim I-One Apartment Tennis Court,Parks and Outdoors,Tennis Court,126.66153307930288,37.44031859556847,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로,340,721,2018-08-16 15:59:59,"레져,체육||구기||테니스장",False
