,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
58,59,4342629,성광부동산,성광공인중개사,Seongkwang Real Estate,Professional and Other Places,Building,126.73718197680796,37.525707247214,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,아나지로,405,666-6,2019-11-14 23:24:09,"빌딩,건물||부동산||중개업||중개업-일반",False
64,65,2610569,한양부동산,한양공인중개사,Hanyang Real Estate,Professional and Other Places,Building,126.72747691096892,37.50457950819009,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,신트리로56번길,34,904-10,2019-11-14 23:19:12,"빌딩,건물||부동산||중개업||중개업-일반",False
81,82,3134146,대림부동산 공인중개사사무소,대림공인중개사,Daelim Real Estate Broker Office,Professional and Other Places,Building,126.69324929999993,37.61909459999985,대한민국,KOR,KOR,인천광역시,서구,,불로동,,검단로,868,806,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
275,276,3124764,투자114부동산,투자114공인중개사,investment 114 real estate,Professional and Other Places,Building,126.72144178253936,37.452026039975166,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,286,1274-12,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
573,574,27037274,서진부동산,,Seojin Real Estate,Professional and Other Places,Building,126.64421844624894,37.45917827847729,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,인주대로,51,331-12,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
1339,1340,4338898,에이스 공인중개사사무소,에이스부동산,Ace Real Estate Agency,Professional and Other Places,Building,126.73296415628296,37.450367323597995,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,백범로101번길,84,967-9,2019-11-14 23:26:18,"빌딩,건물||부동산||중개업||중개업-일반",False
1876,1877,27067146,광명부동산공인중개사사무소,광명공인중개사,Gwangmyeong Real Estate Real Estate Agency,Professional and Other Places,Building,126.73807132791895,37.5226958183716,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,부평북로,399,55,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
1902,1903,3118570,알파공인중개사,알파공인중개사,Alpha Real Estate Broker,Professional and Other Places,Building,126.74684247626494,37.43824548743276,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,매소홀로,1118,554-5,2019-11-14 23:25:18,"빌딩,건물||부동산||중개업||중개업-일반",False
1922,1923,27285519,우대빵선학공인중개사사무소,,Woodae Bread Sunhak Authorized Brokerage Office,Professional and Other Places,Building,126.70011514871995,37.42144316232678,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,선학로,37,340,2022-06-07 17:23:36,"빌딩,건물||부동산||부동산-일반",False
1968,1969,27399645,영부동산공인중개사사무소,,Young Real Estate Real Estate Broker Office,Professional and Other Places,Building,126.62689329999992,37.536839399999806,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라한내로,131,84-7,2022-08-02 16:47:12,"빌딩,건물||부동산||중개업||중개업-일반",False
1982,1983,5683712,삼성부동산,삼성공인중개사,Samsung Real Estate,Professional and Other Places,Building,126.68105939999992,37.44762239999977,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로,296,1250,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2029,2030,5369184,정원공인중개사사무소,,Garden Real Estate Broker Office,Professional and Other Places,Building,126.74189919999992,37.53341219999978,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,도두리로,70,912-5,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
2088,2089,2605231,장미공인중개사사무소,장미공인중개사,Rose Authorized Brokerage Office,Professional and Other Places,Building,126.65709999999994,37.44559999999979,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,소성로,70,413-9,2018-08-11 9:09:09,"빌딩,건물||부동산||중개업||중개업-일반",False
2142,2143,2596554,제일공인중개사사무소,제일부동산,Jeil Authorized Brokerage Office,Professional and Other Places,Building,126.74066249999996,37.49108459999981,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,수변로52번길,6,494,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
2180,2181,27092504,선수촌양지공인중개사사무소,,Athletes' Village Yangji Authorized Brokerage Office,Professional and Other Places,Building,126.71260869999988,37.44677419999976,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,선수촌공원로,96,1485,2022-07-13 13:54:25,"빌딩,건물||부동산||중개업||중개업-일반",False
2187,2188,3442241,맘모스공인중개사사무소,맘모스부동산,Mammoth Authorized Brokerage Office,Professional and Other Places,Building,126.68557919999996,37.4930696999998,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,장고개로337번길,16,11,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2201,2202,4326054,대동공인중개사사무소,대동부동산,Daedong Real Estate Broker Office,Professional and Other Places,Building,126.73686199999992,37.463181599999785,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수로,90,5-376,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2276,2277,2605094,일이삼 공인중개사사무소,일이삼부동산,Il Samgong Real Estate Broker Office,Professional and Other Places,Building,126.72806257007392,37.45383019651838,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월말로58번길,56,943,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2277,2278,3146077,예담부동산공인중개사사무소,예담공인중개사부평점,Yedam Real Estate Real Estate Agency,Professional and Other Places,Building,126.72754790899894,37.503195076246094,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,길주남로54번길,27,10-380,2019-11-14 23:28:16,"빌딩,건물||부동산||중개업||중개업-일반",False
2286,2287,5696644,아주공인중개사사무소,아주부동산,Aju Authorized Brokerage Office,Professional and Other Places,Building,126.73672477210896,37.46333931177749,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수로,91,5-384,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2293,2294,2603862,믿음공인중개사,믿음부동산,trustworthy broker,Professional and Other Places,Building,126.6906085088009,37.618439919703526,대한민국,KOR,KOR,인천광역시,서구,,불로동,,검단로,842,308,2021-12-23 15:49:18,"빌딩,건물||부동산||중개업||중개업-일반",False
2344,2345,2597159,인천공인중개사사무소,인천부동산,Incheon Real Estate Broker Office,Professional and Other Places,Building,126.7130977610069,37.43133315579345,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,남촌동로,52-1,343-17,2019-11-14 0:00:00,"빌딩,건물||부동산||중개업||중개업-일반",False
2351,2352,20014406,다산 공인중개사사무소,다산 부동산,Dasan Real Estate Agency,Professional and Other Places,Building,126.6818100000019,37.42151400000275,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,먼우금로,282,576,2022-05-01 12:37:48,"빌딩,건물||부동산||중개업||중개업-일반",False
