,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
386,387,27223727,함께하는교회,,church together,Professional and Other Places,Church,126.63751710702584,37.59914936821462,대한민국,KOR,KOR,인천광역시,서구,,오류동,,봉화로,65,1712-5,2022-05-01 12:37:48,"종교,문화||종교||개신교||교회",False
491,492,4324090,기드온교회,,Gideon Church,Professional and Other Places,Church,126.6577362958059,37.454604814340975,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인주대로174번길,31,139-15,2019-12-09 0:00:00,"종교,문화||종교||개신교||교회",False
555,556,1274869,볼음교회,,Voleum Church,Professional and Other Places,Church,126.19801249999946,37.670601299999866,대한민국,KOR,KOR,인천광역시,강화군,,서도면,볼음도리,볼음도길,174-2,285-3,2017-03-07 12:00:00,"종교,문화||종교||개신교||교회",False
912,913,3125049,행복한교회,,happy church,Professional and Other Places,Church,126.65284799999993,37.39585599999977,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,122,2-6,2021-12-23 15:49:18,"종교,문화||종교||개신교||교회",False
940,941,27215972,세계로교회,,world church,Professional and Other Places,Church,126.67578470436588,37.41809596408925,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청명로,27-1,495-2,2022-05-01 12:37:48,"종교,문화||종교||개신교||교회",False
1129,1130,914559,택리교회,,Taekni Church,Professional and Other Places,Church,126.50903739999985,37.599998199999845,대한민국,KOR,KOR,인천광역시,강화군,,길상면,선두리,해안남로474번길,22,1058-12,2017-03-07 12:00:00,"종교,문화||종교||개신교||교회",False
1361,1362,27182166,좋은나무교회,,good tree church,Professional and Other Places,Church,126.72926240468588,37.45284866405279,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월남로355번길,25,940-18,2022-05-01 12:37:48,"종교,문화||종교||개신교||교회",False
2396,2397,1850850,화동교회,,Hwadong Church,Professional and Other Places,Church,124.68243489774044,37.93467086651391,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,남포리,화동로49번길,13-14,810-2,2019-08-02 23:01:13,"종교,문화||종교||개신교||교회",False
3159,3160,4713555,간석중앙침례교회,,Ganseok Central Baptist Church,Professional and Other Places,Church,126.71605130925089,37.46344327444999,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,백범로310번길,2,910-7,2022-05-01 12:37:48,"종교,문화||종교||개신교||교회",False
3239,3240,5712000,인천제일교회,대한예수교장로회인천제일교회,Incheon Jeil Church,Professional and Other Places,Church,126.73885079999992,37.45452809999978,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,인수북로,9-11,54,2021-12-23 15:49:18,"종교,문화||종교||개신교||교회",False
3626,3627,27135567,주님의사랑교회,,Lord's Love Church,Professional and Other Places,Church,126.65893659711588,37.53340332807091,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라에메랄드로102번길,8-22,167-10,2022-05-01 12:37:48,"종교,문화||종교||개신교||교회",False
3998,3999,4339475,부평참된교회,,Bupyeong True Church,Professional and Other Places,Church,126.72225665309892,37.5353002051336,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로129번길,1,852-32,2019-11-14 23:24:43,"종교,문화||종교||개신교||교회",False
4061,4062,678941,인천은혜교회,기독교한국침례회인천은혜교회,Incheon Grace Church,Professional and Other Places,Church,126.69818576508888,37.44906643666387,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로46번길,34,1349-1,2021-12-23 15:49:18,"종교,문화||종교||개신교||교회",False
