,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
925,926,1270510,인치과의원,,dental clinic,Professional and Other Places,Dentist,126.71688773150689,37.5276415785394,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,새벌로,120,196-6,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
1923,1924,816828,송도드림치과의원,,Songdo Dream Dental Clinic,Professional and Other Places,Dentist,126.65269399999995,37.395726999999766,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,122,2-6,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
1992,1993,3138556,인천평화의료복지사회적협동조합평화치과의원,,Incheon Peace Medical Welfare Social Cooperative Peace Dental Clinic,Professional and Other Places,Dentist,126.73966806455992,37.487354059872295,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,수변로,8,304,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
2061,2062,43936,미소부부치과의원,,Smile Couple Dental Clinic,Professional and Other Places,Dentist,126.73135192882188,37.504453390633195,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,212,915-3,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
2063,2064,27140437,허치과의원,,Heo Dental Clinic,Professional and Other Places,Dentist,126.62774127847386,37.471007559628255,대한민국,KOR,KOR,인천광역시,중구,,신포동,,우현로39번길,2-1,14-7,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
2376,2377,799301,숨이편한치과의원,,Breathable Dental Clinic,Professional and Other Places,Dentist,126.73662492373391,37.44358747127603,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,39,1019-6,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
2450,2451,106648,시카고치과병원,,Chicago Dental Hospital,Professional and Other Places,Dentist,126.70908949999996,37.4879375999998,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1246,310-107,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
2649,2650,1870367,서울함께웃는치과,,Seoul Smile Dental Clinic,Professional and Other Places,Dentist,126.6898122204159,37.45937266479868,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경원대로,858,939-30,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
2663,2664,3808527,유디논현치과의원,유디치과,Yudinonhyeon Dental Clinic,Professional and Other Places,Dentist,126.7249500939825,37.401457928521154,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,593,616-4,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
2719,2720,1871380,유디치과의원 작전점,UD치과의원작전점,Udi Dental Clinic Jakjeom,Professional and Other Places,Dentist,126.72565062611191,37.5277809169584,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,효서로,266,416-2,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
2805,2806,3464047,상아웰치과의원,,Sang-A Wel Dental Clinic,Professional and Other Places,Dentist,126.73416329532688,37.57930753485963,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,황어로,120,134-2,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
2898,2899,3262719,청라탑치과의원,탑치과의원,Cheongna Tap Dental Clinic,Professional and Other Places,Dentist,126.65305149999988,37.5304177999998,대한민국,KOR,KOR,인천광역시,서구,,청라동,,중봉대로586번길,22,164-1,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
3031,3032,479815,온치과의원,,On Dental Clinic,Professional and Other Places,Dentist,126.70361699999992,37.505712999999815,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,310,100-101,2022-05-02 21:16:34,"의료시설||병원||병원,의원||치과||치과-일반",False
3215,3216,522012,기호경치과의원,,Kiho Gyeonggi Dental Clinic,Professional and Other Places,Dentist,126.67684999999996,37.41132369999976,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청능대로,124,923,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
3371,3372,1266016,백운부부치과의원,부부치과의원,Baekwoon Couple Dental Clinic,Professional and Other Places,Dentist,126.70392807431188,37.48078268338628,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,이규보로,91,608-5,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
3571,3572,5231943,부평센트럴치과의원,,Bupyeong Central Dental Clinic,Professional and Other Places,Dentist,126.73987482709296,37.4890139053264,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부일로,87,210,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
3646,3647,4343032,건플란트치과의원,,Gun Plant Dental Clinic,Professional and Other Places,Dentist,126.68461130260089,37.49308205098329,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,장고개로337번길,18-3,30-132,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
4248,4249,1870411,아름드리치과의원,,Beautiful Dental Clinic,Professional and Other Places,Dentist,126.73223319821592,37.45474549627967,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,376,956,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
4664,4665,1311651,행복치과,,Happy Dental,Professional and Other Places,Dentist,126.70127048572292,37.42336166791984,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,비류대로,599,357-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
4753,4754,666,탑치과의원,,Top Dental Clinic,Professional and Other Places,Dentist,126.72547775712091,37.54316584591692,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1068,945-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
