,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
139,140,13281,인천영종소방서 운서119안전센터,인천영종 운서119안전센터,Incheon Yeongjong Fire Station Unseo 119 Safety Center,Professional and Other Places,Fire Station,126.48836213770367,37.49372065560804,대한민국,KOR,KOR,인천광역시,중구,,운서동,,흰바위로27번길,16,2792-1,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
4635,4636,829112,부평소방서십정119안전센터,부평십정119안전센터,Bupyeong Fire Station Sipjeong 119 Safety Center,Professional and Other Places,Fire Station,126.6973020851269,37.480307005158565,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,경원대로,1111,160,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
5152,5153,5882812,영종소방서 무의119지역대,영종 무의119지역대,Yeongjong Fire Station Muui 119 Area Unit,Professional and Other Places,Fire Station,126.4252082414106,37.38955648314187,대한민국,KOR,KOR,인천광역시,중구,,무의동,,대무의로,310-11,246-7,2020-01-14 23:34:36,"공공,행정,사회||소방||소방서||119지역대",False
5566,5567,2830622,중앙119안전센터,인천중부중앙119안전센터,Central 119 Safety Center,Professional and Other Places,Fire Station,126.62231424609084,37.470105699267855,대한민국,KOR,KOR,인천광역시,중구,,항동6가,,인중로,204,2,2020-01-14 23:43:17,"공공,행정,사회||소방||소방서||119안전센터",False
5958,5959,903403,인천부평소방서갈산119안전센터,부평소방서갈산119안전센터,Incheon Bupyeong Fire Station Galsan 119 Safety Center,Professional and Other Places,Fire Station,126.72218110038892,37.5205686014893,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,부평대로,324,437-3,2019-12-11 23:00:23,"공공,행정,사회||소방||소방서||119안전센터",False
6949,6950,516145,인천남동소방서,남동소방서,Incheon Namdong Fire Station,Professional and Other Places,Fire Station,126.71640020018988,37.448946600898175,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,714,300-40,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||소방서-일반",False
8459,8460,20762324,강화소방서 현장대응구조구급과,,Ganghwa Fire Department Field Response Rescue First Aid Division,Professional and Other Places,Fire Station,126.45833769999965,37.7120677999997,대한민국,KOR,KOR,인천광역시,강화군,,불은면,삼성리,중앙로,505,274-1,2022-05-01 12:37:48,"공공,행정,사회||소방||소방서||119구조대",False
8591,8592,976506,인천중부소방서연안119안전센터,인천광역시중부소방서연안119안전센터,Incheon Jungbu Fire Station Yeonan 119 Safety Center,Professional and Other Places,Fire Station,126.60420500181986,37.446740510581066,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,축항대로118번길,108,82-4,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
8955,8956,1002764,부평소방서부개119안전센터,인천부평소방서부개119안전센터,Bupyeong Fire Station West Gae 119 Safety Center,Professional and Other Places,Fire Station,126.73970386298492,37.49791260628989,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부개로,6,501-9,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
9058,9059,1869723,인천계양소방서119구조대,계양소방서119구조대,Incheon Gyeyang Fire Station 119 Rescue Team,Professional and Other Places,Fire Station,126.73482500039594,37.536991700839515,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,장제로,774,1078-4,2019-04-12 23:07:47,"공공,행정,사회||소방||소방서||119구조대",False
11274,11275,697305,인천중부소방서119구조대,인천광역시중부소방서항만119안전센터,Incheon Central Fire Station 119 Rescue Team,Professional and Other Places,Fire Station,126.63186458831784,37.46213992257339,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,서해대로,397,1-28,2020-06-15 0:00:00,"공공,행정,사회||소방||소방서||119구조대",False
12792,12793,562481,강화소방서 삼산119지역대,강화 삼산119지역대,Ganghwa Fire Station Samsan 119 Area Unit,Professional and Other Places,Fire Station,126.32268179975831,37.70373090110502,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,석모리,삼산북로,454,445-14,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119지역대",False
14451,14452,1030914,남동소방서간석119안전센터,남동간석119안전센터,Namdong Fire Station Ganseok 119 Safety Center,Professional and Other Places,Fire Station,126.7064412523749,37.46577605237168,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,621,248-7,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
14779,14780,283449,강화소방서 양도119지역대,강화 양도119지역대,Ganghwa Fire Station Transfer 119 Area Unit,Professional and Other Places,Fire Station,126.42173027848456,37.66255731594399,대한민국,KOR,KOR,인천광역시,강화군,,양도면,하일리,강화남로,702,186-3,2019-09-25 9:45:13,"공공,행정,사회||소방||소방서||119지역대",False
20355,20356,2830765,인천남동소방서119구조대,인천남동119구조대,Incheon Namdong Fire Station 119 Rescue Team,Professional and Other Places,Fire Station,126.71641980051989,37.44879530096527,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,714,300-40,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119구조대",False
21059,21060,1852656,인천영종소방서장봉119지역대,인천광역시중부소방서장봉119지역대,Incheon Yeongjong Fire Station Jangbong 119 Regional Unit,Professional and Other Places,Fire Station,126.33686222128836,37.53461162406479,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,장봉리,장봉로,566,1057,2022-05-01 12:37:48,"공공,행정,사회||소방||소방서||119지역대",False
25208,25209,160013,인천미추홀소방서용현119안전센터,인천광역시남부소방서용현119안전센터,Incheon Michuhol Fire Station Yonghyeon 119 Safety Center,Professional and Other Places,Fire Station,126.64866535602889,37.45336819175736,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독배로,376,205-25,2021-12-23 15:49:18,"공공,행정,사회||소방||소방서||119안전센터",False
26162,26163,851774,부평소방서산곡119안전센터,인천부평소방서산곡119안전센터,Bupyeong Fire Station Seosangok 119 Safety Center,Professional and Other Places,Fire Station,126.7031288368729,37.49567189700738,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,198,365-3,2019-11-14 23:29:08,"공공,행정,사회||소방||소방서||119안전센터",False
