,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2115,2116,156388,국민건강보험공단 인천계양지사,건강보험공단 인천계양지사,National Health Insurance Corporation Incheon Gyeyang Branch,Professional and Other Places,Government Office,126.73499561455992,37.53953075594231,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,장제로,804,1063-12,2022-05-01 12:37:48,"공공,행정,사회||공사,공단||공단||국민건강보험공단",False
3540,3541,27193957,인천검단산업단지 우편취급국,,Incheon Geomdan Industrial Complex Post Office,Professional and Other Places,Government Office,126.61325059103434,37.59529824631968,대한민국,KOR,KOR,인천광역시,서구,,오류동,,보듬로,146,1657-2,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우편취급국",False
5903,5904,20163731,사회적협동조합 일터와사람들 북부지사,,Social Cooperatives Workplace and People Northern Branch,Professional and Other Places,Government Office,126.72664709999998,37.4914469999998,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로,1417,160-24,2020-09-25 13:37:13,"공공,행정,사회||중앙행정기관||고용노동부||고용노동부-일반",False
6160,6161,43579,국민연금공단 부평계양지사,,National Pension Service Bupyeong Gyeyang Branch,Professional and Other Places,Government Office,126.72179488871788,37.498420415012895,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,75,529-15,2021-12-23 15:49:18,"공공,행정,사회||공사,공단||공단||국민연금공단",False
6508,6509,363376,한국전력공사인천본부전력관리처,,Korea Electric Power Corporation Incheon Headquarters power management office,Professional and Other Places,Government Office,126.73067336329392,37.5153945098616,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,238,90-1,2019-11-14 23:05:38,"공공,행정,사회||공사,공단||공사||한국전력공사",False
8359,8360,575023,인천본부세관 수출입통관청사,인천세관수출입통관청사,Incheon Headquarters Customs export and import customs clearance,Professional and Other Places,Government Office,126.47153169956768,37.464327000682125,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항동로193번길,70,2851-20,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||기획재정부||관세청||세관",False
9033,9034,908339,인천세무서별관,,Incheon Tax Office Annex,Professional and Other Places,Government Office,126.64035833086088,37.46325040135196,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,인중로,22,406-6,2019-11-14 23:29:26,"공공,행정,사회||중앙행정기관||기획재정부||국세청||세무서",False
9767,9768,486516,국제우편물류센터,,International postal distribution centers,Professional and Other Places,Government Office,126.47437119999984,37.4680587999998,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항동로193번길,40-32,2842-16,2022-07-05 16:31:26,"공공,행정,사회||중앙행정기관||과학기술정보통신부||과학기술정보통신부-일반",False
10708,10709,5859118,마니산친환경영농조합,,Manisan Eco-Friendly Farming Association,Professional and Other Places,Government Office,126.45581299999982,37.63141969999987,대한민국,KOR,KOR,인천광역시,강화군,,화도면,덕포리,,,1657,2022-08-16 16:52:33,"공공,행정,사회||공사,공단||공사||한국농수산식품유통공사",False
11751,11752,5894126,인천광역시교육청행정심판위원회,인천시교육청행정심판위원회,Incheon Metropolitan City Office of Education Administrative Judgment Committee,Professional and Other Places,Government Office,126.70312629981792,37.456303700695365,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,정각로,9,1137,2019-09-19 23:00:13,"공공,행정,사회||중앙행정기관||교육부||지방교육청||지방교육청-일반",False
