,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
927,928,777817,박재홍내과의원,,Jay Park Internal Medicine Clinic,Professional and Other Places,Hospital,126.7331132388269,37.4486184356534,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,인주대로,861,983-4,2022-08-30 9:43:30,"의료시설||병원||병원,의원||내과",False
943,944,3751327,인천세종병원,세종병원,Incheon Sejong Hospital,Professional and Other Places,Hospital,126.73686040000295,37.53251399999692,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양문화로,20,909,2022-09-06 15:18:26,의료시설||병원||종합병원||종합병원-일반,False
2574,2575,1854615,논현한사랑이비인후과,,Nonhyeon Hansarang Otolaryngology,Professional and Other Places,Hospital,126.72316246660992,37.40188914011585,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로123번길,17,632-2,2019-11-14 23:27:29,"의료시설||병원||병원,의원||이비인후과",False
2890,2891,394328,한림병원,IS한림병원,Hallym Hospital,Professional and Other Places,Hospital,126.73435130184696,37.532098155461824,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,722,900-4,2022-08-26 9:52:19,의료시설||병원||종합병원||종합병원-일반,False
2893,2894,501024,용현정형외과의원,,Yonghyeon Orthopedic Surgery Clinic,Professional and Other Places,Hospital,126.63319534975685,37.450208336779674,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,매소홀로,63,627-410,2022-08-18 12:00:50,"의료시설||병원||병원,의원||정형외과",False
2909,2910,27162802,모아소아청소년과가정의학과의원,,Moa Pediatrics and Family Medicine Clinic,Professional and Other Places,Hospital,126.67182488692788,37.40680189308805,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로264번길,30-4,933-4,2022-09-06 15:18:26,"의료시설||병원||병원,의원||소아청소년과",False
3043,3044,942083,하헌돈내과의원,,Ha Heon-don Internal Medicine Clinic,Professional and Other Places,Hospital,126.72768347050788,37.5369329885304,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,주부토로,479,990-14,2022-08-26 9:52:19,"의료시설||병원||병원,의원||내과",False
3117,3118,1272191,연세두리소아청소년과의원,연세두리소아과의원,Yonsei Doori Pediatric Clinic,Professional and Other Places,Hospital,126.6970276660368,37.59388435078236,대한민국,KOR,KOR,인천광역시,서구,,원당동,,원당대로,859,824-8,2022-09-06 15:18:26,"의료시설||병원||병원,의원||소아청소년과",False
3138,3139,27491074,미래이비인후과의원,,Mirae Otolaryngology Clinic,Professional and Other Places,Hospital,126.70154509999996,37.44365749999977,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,497-5,1469-1,2022-08-26 9:52:19,"의료시설||병원||병원,의원||이비인후과",False
3181,3182,1023656,코비코이비인후과의원,,KOBIKO ENT Clinic,Professional and Other Places,Hospital,126.74049749899093,37.547598664541525,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,장제로,907,317-3,2022-09-06 15:18:26,"의료시설||병원||병원,의원||이비인후과",False
3182,3183,1246893,검단서울안과의원,,Geomdan Seoul Eye Clinic,Professional and Other Places,Hospital,126.67480617415193,37.59394432428972,대한민국,KOR,KOR,인천광역시,서구,,마전동,,원당대로,663,1057-1,2022-05-01 12:37:48,"의료시설||병원||병원,의원||안과",False
3189,3190,353735,꿈나무소아청소년과의원,,Dream Tree Pediatrics Clinic,Professional and Other Places,Hospital,126.72646843461092,37.54308806121472,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1074,945-3,2022-09-06 15:18:26,"의료시설||병원||병원,의원||소아청소년과",False
3336,3337,688855,검단탑병원,탑병원,Geomdantop Hospital,Professional and Other Places,Hospital,126.67117919999896,37.59248349999995,대한민국,KOR,KOR,인천광역시,서구,,당하동,,청마로19번길,5,1079-2,2022-08-26 9:52:19,의료시설||병원||종합병원||종합병원-일반,False
3369,3370,270544,현대정형외과의원,,Hyundai Orthopedic Surgery Clinic,Professional and Other Places,Hospital,126.7239107406699,37.45546153685478,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,300,910-7,2022-08-26 9:52:19,"의료시설||병원||병원,의원||정형외과",False
3672,3673,24360,장태일내과의원,,Jang Tae-il Internal Medicine Clinic,Professional and Other Places,Hospital,126.7220616150178,37.4554711843437,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월로,284,1255-3,2022-08-26 9:52:19,"의료시설||병원||병원,의원||내과",False
3741,3742,1252646,지오피부과의원,,Geo Dermatology Clinic,Professional and Other Places,Hospital,126.7240245984949,37.40139395621927,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,583,631-9,2022-08-18 12:00:50,"의료시설||병원||병원,의원||피부과",False
3908,3909,20032712,킵슨의원,,Kipson Clinic,Professional and Other Places,Hospital,126.64018584225784,37.53344634493969,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라루비로,93,152-9,2022-09-06 15:18:26,"의료시설||병원||병원,의원||피부과",False
3911,3912,27065023,앤의원 인천연수점,,Ahnwon Incheon Yeonsu Branch,Professional and Other Places,Hospital,126.67182488692788,37.40680189308805,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로264번길,30-4,933-4,2022-08-16 16:52:33,"의료시설||병원||병원,의원||성형외과",False
4212,4213,3257378,상쾌한속내과의원,,Refreshing Sok Internal Medicine Clinic,Professional and Other Places,Hospital,126.69563291263178,37.46347709401925,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,주안로,231,395-2,2022-09-06 15:18:26,"의료시설||병원||병원,의원||내과",False
4743,4744,1271081,행복한이비인후과의원,,Happy Otolaryngology Clinic,Professional and Other Places,Hospital,126.6910998927251,37.61877880614758,대한민국,KOR,KOR,인천광역시,서구,,불로동,,검단로,842,308,2022-09-06 15:18:26,"의료시설||병원||병원,의원||이비인후과",False
4795,4796,4335022,고려마취통증의학과의원,,Korea Anesthesiology and Pain Medicine Clinic,Professional and Other Places,Hospital,126.72272612331392,37.49285852494289,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,17,549-81,2022-08-16 16:52:33,"의료시설||병원||병원,의원||마취통증의학과",False
4838,4839,26828111,강화군하점면신삼보건진료소,,Ganghwa-gun Hajeom-myeon Shinsam Health Clinic,Professional and Other Places,Hospital,126.39425469999976,37.7520160999999,대한민국,KOR,KOR,인천광역시,강화군,,하점면,신삼리,고려산로,506-1,787,2021-10-06 20:22:22,의료시설||병원||보건소||보건진료소,False
5048,5049,665223,북도보건지소,,Bukdo Health Center,Professional and Other Places,Hospital,126.42966379999957,37.53277309999853,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,시도리,시도로,76,277-10,2022-05-09 18:01:21,의료시설||병원||보건소||보건지소,False
5359,5360,27181755,세종한방병원,,Sejong Oriental Hospital,Professional and Other Places,Hospital,126.72034043406359,37.46009744342744,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,872,1250-3,2022-09-06 15:18:26,"의료시설||병원||병원,의원||한방병원",False
5371,5372,27069159,송도이이주내과의원,,Songdo Yiju Internal Medicine Clinic,Professional and Other Places,Hospital,126.64928987171888,37.39706079077563,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,153,21-38,2022-08-16 16:52:33,"의료시설||병원||병원,의원||내과",False
