,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
24602,24603,1253086,송도수출2단지,송도2단지물류단지,Songdo Export Complex 2,Professional and Other Places,Industrial Zone,126.63929999999992,37.41820129999978,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,아암대로,499,194-75,2021-08-18 0:00:00,특화||공업||공업단지,False
29182,29183,1840206,남동국가산업단지,남동공업단지,Incheon Nam-dong Industrial Complex,Professional and Other Places,Industrial Zone,126.70764399999985,37.41977099999977,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,,,639,2022-09-06 15:18:26,특화||공업||공업단지,False
36480,36481,5727568,세인가좌공단,,Sein Gajwa Industrial Complex,Professional and Other Places,Industrial Zone,126.66172079999996,37.49054489999981,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,봉수대로,166,178-224,2018-08-02 20:04:38,특화||공업||공업단지,False
40147,40148,960557,일진도금단지,일진단지,Iljin Dogeum Complex,Professional and Other Places,Industrial Zone,126.70169019999688,37.409351299997454,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,남동대로,284,434-10,2021-12-23 15:49:18,특화||공업||공업단지,False
49387,49388,636865,동유철재기계단지,철재기계단지,Dongyu Metal Machinery Complex,Professional and Other Places,Industrial Zone,126.66205729999989,37.482187599999776,대한민국,KOR,KOR,인천광역시,동구,,송림동,,방축로,149,296-27,2022-05-01 12:37:48,특화||공업||공업단지,False
50395,50396,713168,인천공작기계매매단지,인천공작기계단지,Machinery Metal Complex,Professional and Other Places,Industrial Zone,126.64773799999884,37.48705050000317,대한민국,KOR,KOR,인천광역시,동구,,송현동,,방축로,12,2-77,2019-08-08 23:04:37,특화||공업||공업단지,False
59810,59811,364663,중고자동차수출1단지,중고자동차단지,Junggo Car Export Complex 1,Professional and Other Places,Industrial Zone,126.63877499999992,37.425949999999794,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,,,194-290,2021-08-18 0:00:00,특화||공업||공업단지,False
62351,62352,1270074,청천공단,,Cheongcheon Industrial Complex,Professional and Other Places,Industrial Zone,126.68813749999993,37.51995829999981,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,서달로298번길,67,62-9,2018-08-03 9:59:59,특화||공업||공업단지,False
78504,78505,1274604,공장단지,,Factory Complex,Professional and Other Places,Industrial Zone,126.46039999999982,37.728126299999886,대한민국,KOR,KOR,인천광역시,강화군,,선원면,선행리,시리미로,180-6,403-3,2014-08-19 0:00:00,특화||공업||공업단지,False
94521,94522,1840524,남동국가산업단지,남동공업단지,Incheon Nam-dong Industrial Complex,Professional and Other Places,Industrial Zone,126.70487459999975,37.399024699999686,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,,,768,2022-09-06 15:18:26,특화||공업||공업단지,False
117881,117882,941680,동양제철화학 인천공장부산 석회매립 (2022년09월예정),동양제철인천공장부산석회매립,Dongyang Jecheol Chemical in Cheongong Jangbu sanseoghoemaelib (scheduled for 2022),Professional and Other Places,Industrial Zone,126.63766729999854,37.433725999999055,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,,,587-35,2022-08-02 16:47:12,특화||공업||공업단지,False
129830,129831,1256264,홍산공단,,Hongsan Industrial Complex,Professional and Other Places,Industrial Zone,126.68637499999996,37.388182099999774,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,남동대로,12,712-18,2011-06-18 0:00:00,특화||공업||공업단지,False
