,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
767,768,3760014,무지개도서관,,rainbow library,Professional and Other Places,Library,126.73853939999996,37.49607119999981,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,동수천로,118,502-8,2021-12-23 15:49:18,교육||도서관||작은도서관,False
1279,1280,1263917,수석독서실,,chief reading room,Professional and Other Places,Library,126.73554300755596,37.4974016624736,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부흥로,394,85-1,2022-08-12 13:15:03,교육||도서관||독서실||독서실-일반,False
2103,2104,27111605,지스터디 독서실,,G-study reading room,Professional and Other Places,Library,126.66871679173688,37.59678352678962,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로,54,1000-10,2022-08-16 16:52:33,교육||도서관||독서실||독서실-일반,False
2108,2109,26879711,모래내시장 스마트도서관2호점,,Sand Nae Market Smart Library 2nd Branch,Professional and Other Places,Library,126.72173659982396,37.45365344196318,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,모래내로25번길,13,1261-19,2022-05-01 12:37:48,교육||도서관||도서관-일반,False
2147,2148,3334859,이랑도서관,,Yirang library,Professional and Other Places,Library,126.6803738185999,37.449210409960656,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로578번길,7,1465-13,2022-08-08 10:29:42,교육||도서관||군구립도서관,False
2332,2333,27187195,아이윌스터디,,I Will Study,Professional and Other Places,Library,126.64491929999994,37.533422299999806,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로,280,157-5,2022-08-16 16:52:33,교육||도서관||독서실||독서실-일반,False
2594,2595,5034848,24시에이스스터디카페본사,,24 Seas Study Cafe Headquarters,Professional and Other Places,Library,126.73681689880397,37.535374876875416,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양문화로,54,1081-7,2022-08-12 13:15:03,교육||도서관||독서실||독서실-일반,False
3019,3020,20275349,숲속작은도서관,,small library in the forest,Professional and Other Places,Library,126.66287339999988,37.470314699999776,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,숙골로,93,998-3,2022-05-01 12:37:48,교육||도서관||작은도서관,False
3069,3070,3758210,산곡글향기도서관,,Sangok Gulhyanggi Library,Professional and Other Places,Library,126.70023597670888,37.50691526179329,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로319번길,52,87-185,2019-11-14 23:29:08,교육||도서관||작은도서관,False
3687,3688,1849379,주안8동주민자치센터문고,,Juan 8-dong Community Service Center Library,Professional and Other Places,Library,126.68934318791592,37.44952342164248,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로470번길,24,1530,2019-11-14 23:28:16,교육||도서관||도서관-일반,False
4302,4303,5872871,인하공업전문대학 중앙도서관,,Inha Technical College Central Library,Professional and Other Places,Library,126.65713159999994,37.44910109999979,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로,100,253,,교육||도서관||학교도서관,False
4585,4586,3756830,어질내 문고,,Eojilnae Bookstore,Professional and Other Places,Library,126.67750999999996,37.516509999999805,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로193번길,12-11,561-21,2022-05-01 12:37:48,교육||도서관||작은도서관,False
5031,5032,27051268,펜탑독서실,,pen top reading room,Professional and Other Places,Library,126.7180578029519,37.45625318577368,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월로,247,1244-11,2022-08-08 10:29:42,교육||도서관||독서실||독서실-일반,False
5272,5273,3759554,밝은웃음 어린이도서관,,bright smile children's library,Professional and Other Places,Library,126.67157466797384,37.43763098072146,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로446번길,50,99-1,2019-12-09 10:51:37,교육||도서관||도서관-일반,False
6527,6528,3756353,우각로문화마을 행복도서관,,Ugakno Culture Village happy library,Professional and Other Places,Library,126.64470674480788,37.46884044273888,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,우각로122번길,22,109-383,2021-12-23 15:49:18,교육||도서관||작은도서관,False
6651,6652,27063252,하우스터디독서실 인천만수센터,,House Study Reading Room Incheon Mansu Center,Professional and Other Places,Library,126.73728419999996,37.4430729999998,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,46-1,1041-6,2022-08-24 14:41:06,교육||도서관||독서실||프랜차이즈||하우스터디독서실,False
6958,6959,715084,쑥골어린이도서관,쑥골도서관,Ssukgol Children's Library,Professional and Other Places,Library,126.66125272317488,37.47559043093256,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,염전로202번길,49,992-3,2022-05-01 12:37:48,교육||도서관||공공도서관,False
8020,8021,695597,인천광역시교육청 주안도서관,인천시교육청 주안도서관,Incheon Metropolitan Office of Education Juan Library,Professional and Other Places,Library,126.69282653918688,37.45545644911736,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,구월남로,27,1580-38,2021-12-23 15:49:18,교육||도서관||공공도서관,False
8446,8447,3847749,검암도서관,,Geomam Library,Professional and Other Places,Library,126.68306434831696,37.56608986828293,대한민국,KOR,KOR,인천광역시,서구,,검암동,,검암로20번길,20,515-1,2022-05-01 12:37:48,교육||도서관||도서관-일반,False
8626,8627,3126900,장사래어린이도서관,,Jangsa Rae Children's Library,Professional and Other Places,Library,126.64744607605589,37.46280188165567,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,경인로34번길,22,190-4,2021-12-23 15:49:18,교육||도서관||공공도서관,False
8720,8721,3756823,에코메트로11단지도서관,,Eco Metro 11 Complex Library,Professional and Other Places,Library,126.73002554744568,37.39327670549629,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,17,774-1,2022-09-06 15:18:26,교육||도서관||작은도서관,False
