,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
96,97,3119825,과일촌,,fruit village,Professional and Other Places,Orchard,126.67986415862188,37.45761412519367,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,673,468-8,2022-08-24 14:41:06,"쇼핑,편의||농축산물||과일",False
990,991,2823261,나들길포도농원,,Nadeulgil Grape Farm,Professional and Other Places,Orchard,126.47956630037768,37.659978199589794,대한민국,KOR,KOR,인천광역시,강화군,,길상면,길직리,피미길,33,406-6,2022-08-08 10:29:42,"쇼핑,편의||농축산물||과일",False
1808,1809,27227902,두심과일,,heart fruit,Professional and Other Places,Orchard,126.67272525928388,37.50357293082139,대한민국,KOR,KOR,인천광역시,서구,,석남동,,면개포로,5,540-27,2022-08-12 13:15:03,"쇼핑,편의||농축산물||과일",False
1843,1844,27446391,호동과일,,Hodong Fruit,Professional and Other Places,Orchard,126.68286250736456,37.42254359244551,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,먼우금로,302,534,2022-08-12 13:15:03,"쇼핑,편의||농축산물||과일",False
2157,2158,5662501,과일삼촌,,fruit uncle,Professional and Other Places,Orchard,126.64732963421586,37.397534243901845,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,165-14,21-4,2022-08-16 16:52:33,"쇼핑,편의||농축산물||과일",False
4373,4374,2620930,충남상회,,Chungnam Sanghoe,Professional and Other Places,Orchard,126.65823588882589,37.45408767518816,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,경인북길,185,150-11,2022-05-01 12:37:48,"쇼핑,편의||농축산물||과일",False
4383,4384,4345956,과일나라,,fruit country,Professional and Other Places,Orchard,126.73358369062296,37.53220735886251,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,721,898-8,2022-08-16 16:52:33,"쇼핑,편의||농축산물||과일",False
5322,5323,4347890,삼보과일,,sambo fruit,Professional and Other Places,Orchard,126.72293203658391,37.54546021563701,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로1045번길,21-1,931-21,2019-11-14 23:24:17,"쇼핑,편의||농축산물||과일",False
6343,6344,2156826,만흥상회,,Manheung Fair,Professional and Other Places,Orchard,126.64660447554787,37.4676874368658,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,석정로,98,81-4,2022-05-01 12:37:48,"쇼핑,편의||농축산물||과일",False
8165,8166,1870429,천지농산물,,Cheonji Agricultural Products,Professional and Other Places,Orchard,126.6746767384249,37.54169219193031,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,승학로216번길,19,256-9,2022-08-24 14:41:06,"쇼핑,편의||농축산물||과일",False
