,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2754,2755,771223,계산1파출소,계산1파출소,Calculation 1 police box,Professional and Other Places,Police Station,126.72582679181335,37.53907960714569,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산천동로19번길,14,962-36,2022-05-01 12:37:48,"공공,행정,사회||경찰청||경찰서||지구대||파출소",False
2919,2920,24202,정각지구대,남동경찰서정각지구대,Jeonggak District,Professional and Other Places,Police Station,126.7150564391656,37.456091552238334,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,용천로,74,24-1,2022-05-01 12:37:48,"공공,행정,사회||경찰청||경찰서||지구대||지구대-일반",False
3378,3379,53334,도화2치안센터,미추홀경찰서도화2치안센터,Dohwa 2 Security Center,Professional and Other Places,Police Station,126.65674634915288,37.46707374016637,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,숙골로43번길,158-29,81-2,2022-05-01 12:37:48,"공공,행정,사회||경찰청||경찰서||지구대||치안센터",False
3542,3543,3131170,인천해양경찰서 하늘바다파출소,인천해양경비안전서하늘바다해양경비안전센터,Incheon Maritime Police Station Sky Sea Police Station,Professional and Other Places,Police Station,126.42540903009017,37.4221024658948,대한민국,KOR,KOR,인천광역시,중구,,운서동,,잠진도길,11,2855-2,2022-08-19 9:48:28,"공공,행정,사회||해양경찰청||해양경찰서||해양파출소||해양파출소-일반",False
4244,4245,3668879,십리포해변통합안전센터,십리포해변안전센터,Simpo Beach Integrated Safety Center,Professional and Other Places,Police Station,126.48282569999968,37.28105729999957,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,,,724-194,2022-08-04 10:04:43,"공공,행정,사회||경찰청||경찰서||지구대||치안센터",False
5071,5072,417606,인천중부경찰서북도파출소,북도파출소,Incheon Jungbu Police Station Bukdo Police Box,Professional and Other Places,Police Station,126.4269918769856,37.533623953214025,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,시도리,시도로61번길,91,319,2020-01-14 23:34:36,"공공,행정,사회||경찰청||경찰서||지구대||파출소",False
5640,5641,686172,영흥파출소,중부경찰서영흥파출소,Yeongheung Police Box,Professional and Other Places,Police Station,126.49921664900772,37.25611476176113,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥북로,29,8-21,2022-05-01 12:37:48,"공공,행정,사회||경찰청||경찰서||지구대||파출소",False
5714,5715,548654,인천해양경찰서 영흥파출소,인천해양경비안전서영흥해양경비안전센터,Incheon Maritime Police Station Yeongheung Police Box,Professional and Other Places,Police Station,126.49827821856672,37.254900949702765,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,내리,영흥로,109-18,8-224,2021-12-23 15:49:18,"공공,행정,사회||해양경찰청||해양경찰서||해양파출소||해양파출소-일반",False
6699,6700,3172678,인천논현경찰서 논현지구대,논현지구대,Incheon Nonhyeon Police Station Nonhyeon District University,Professional and Other Places,Police Station,126.72361349999998,37.39363339999977,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,앵고개로,797,739-2,2021-12-23 15:49:18,"공공,행정,사회||경찰청||경찰서||지구대||지구대-일반",False
11820,11821,330538,선원파출소,강화경찰서선원파출소,seaman police box,Professional and Other Places,Police Station,126.48393579999984,37.711276699999885,대한민국,KOR,KOR,인천광역시,강화군,,선원면,금월리,대문고개로,4,548-1,2018-09-18 15:00:00,"공공,행정,사회||경찰청||경찰서||지구대||파출소",False
