,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2258,2259,868092,선원우체국,,Seonwon Post Office,Professional and Other Places,Post Office,126.4845623656017,37.712348796885934,대한민국,KOR,KOR,인천광역시,강화군,,선원면,금월리,대문고개로,18,247-2,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
3942,3943,240936,양사우체국,,both companies post office,Professional and Other Places,Post Office,126.4170296999998,37.79976879999992,대한민국,KOR,KOR,인천광역시,강화군,,양사면,덕하리,덕하로,95,70-4,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
13227,13228,240814,인천부개동우체국,부개동우체국,Incheon Bugae-dong Post Office,Professional and Other Places,Post Office,126.73937424200494,37.50067601038259,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부흥북로,153,498-14,2021-12-23 15:49:18,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
15103,15104,27194002,제317군사우편출장소,,317th Military Post Office,Professional and Other Places,Post Office,126.75232549999996,37.47449269999981,대한민국,KOR,KOR,인천광역시,부평구,,구산동,,무네미로,447,270,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
15472,15473,1872831,북인천우체국,,North Incheon Post Office,Professional and Other Places,Post Office,126.72155399729093,37.491553877198896,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로,1373,546-62,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
19760,19761,681479,주안우체국,,Juan Post Office,Professional and Other Places,Post Office,126.67374865148788,37.45866077368817,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,제일로,32,458-8,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
20597,20598,150343,북도우체국,,North Post Office,Professional and Other Places,Post Office,126.4272434999996,37.533399899999615,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,시도리,시도로,97,291,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
20939,20940,953548,문학동우체국,문학우체국,Munhak Dong Post Office,Professional and Other Places,Post Office,126.6847220701469,37.437526407211166,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,소성로,337,385-4,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
23350,23351,1257617,대청우체국,,Daechung Post Office,Professional and Other Places,Post Office,124.7145566999694,37.8237392999992,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,대청로7번길,27,362-19,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
24669,24670,1077876,갈산동우체국,갈산우체국,Galsan-dong Post Office,Professional and Other Places,Post Office,126.72580770400394,37.510993710163376,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,177,365,2022-06-15 11:04:55,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
26574,26575,1070977,논현동우체국,논현우체국,Nonhyeon-dong Post Office,Professional and Other Places,Post Office,126.7132265289849,37.41319115019527,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,남동대로370번길,137,562-3,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
29740,29741,1011626,송림동우체국,,Songrim-dong Post Office,Professional and Other Places,Post Office,126.64539532931389,37.47539627436047,대한민국,KOR,KOR,인천광역시,동구,,송림동,,동산로,90,60-3,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
30035,30036,296853,화도우체국,,Hwado Post Office,Professional and Other Places,Post Office,126.41984510002256,37.63231670120446,대한민국,KOR,KOR,인천광역시,강화군,,화도면,상방리,마니산로,703-12,834,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
30176,30177,27256355,강화우체국 금융,,Ganghwa Post Office Finance,Professional and Other Places,Post Office,126.48852239999984,37.7449290999999,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,관청리,강화대로,384,169-5,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
30195,30196,558542,연수동우체국,연수우체국,Yeonsu-dong Post Office,Professional and Other Places,Post Office,126.68308787388388,37.42379903764435,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,비류대로,436,534-1,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
32205,32206,3846669,인천남동우체국,남동우체국,Incheon Namdong Post Office,Professional and Other Places,Post Office,126.71185730158992,37.40195778434877,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논현로46번길,7,638-1,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
33736,33737,636508,송해우체국,,Songhae Post Office,Professional and Other Places,Post Office,126.46630580000163,37.76009960000224,대한민국,KOR,KOR,인천광역시,강화군,,송해면,하도리,강화대로,669,343-5,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
36607,36608,1121007,원당우체국,,Wondang Post Office,Professional and Other Places,Post Office,126.6951234093439,37.59518021801412,대한민국,KOR,KOR,인천광역시,서구,,원당동,,고산후로121번길,38,823-2,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
37310,37311,925082,서도우체국,,Seodo Post Office,Professional and Other Places,Post Office,126.24725379999954,37.64493519999985,대한민국,KOR,KOR,인천광역시,강화군,,서도면,주문도리,주문도길,220,662,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
37593,37594,62850,화평동우체국,,Hwapyeong-dong Post Office,Professional and Other Places,Post Office,126.63155312525782,37.47795114612487,대한민국,KOR,KOR,인천광역시,동구,,화평동,,송화로,10,430,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
40524,40525,141851,인천중동우체국,,Incheon Middle East Post Office,Professional and Other Places,Post Office,126.63274139999936,37.458517200000095,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,서해대로,366,7-241,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
43759,43760,784849,만수1동우체국,,Mansu 1-dong Post Office,Professional and Other Places,Post Office,126.73836495419793,37.448405927779376,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,인주대로,907,1005-5,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
44576,44577,965324,효성동우체국,효성우체국,Hyosung-dong Post Office,Professional and Other Places,Post Office,126.7121686640329,37.52774167511901,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,효서로,146,242-4,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
48827,48828,476757,인천운서동우체국,,Incheon Unseo-dong Post Office,Professional and Other Places,Post Office,126.48831484835284,37.4931674832954,대한민국,KOR,KOR,인천광역시,중구,,운서동,,흰바위로27번길,6,2792-4,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
53387,53388,376991,석남동우체국,석남우체국,Seoknam-dong Post Office,Professional and Other Places,Post Office,126.67290373687293,37.512802511632096,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,314,456-7,2022-05-01 12:37:48,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
53903,53904,601958,남동공단우체국,,Namdong Industrial Complex Post Office,Professional and Other Places,Post Office,126.69490871455088,37.40874853371725,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,남동대로239번길,86,449-5,2021-12-23 15:49:18,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
53990,53991,20097617,검단우체국,,Geomdan Post Office,Professional and Other Places,Post Office,126.65815945496588,37.60249112121793,대한민국,KOR,KOR,인천광역시,서구,,마전동,,검단로,487,911-4,2021-12-23 15:49:18,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
58801,58802,112758,교동우체국,,Gyodong Post Office,Professional and Other Places,Post Office,126.2823159999996,37.77830879999991,대한민국,KOR,KOR,인천광역시,강화군,,교동면,대룡리,교동남로,61,630-1,2022-08-18 12:00:50,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
63367,63368,946949,인천가좌2동우체국,인천가좌2우체국,Incheon Gajwa 2-dong Post Office,Professional and Other Places,Post Office,126.68510155102187,37.49347648906189,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로96번길,27,12,2021-12-23 15:49:18,"공공,행정,사회||중앙행정기관||과학기술정보통신부||우체국",False
