,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
3054,3055,27049237,더벙커PC방,,The Bunker PC Room,Professional and Other Places,Recreation Facility,126.48904876556068,37.49380445212586,대한민국,KOR,KOR,인천광역시,중구,,운서동,,신도시남로141번길,9,2796-1,2022-05-01 12:37:48,"쇼핑,편의||오락시설||PC방||PC방-일반",False
4445,4446,27094855,아이센스리그PC 인천구월본점,,Ice Sense League PC Incheon Guwol Main Branch,Professional and Other Places,Recreation Facility,126.71347935194188,37.45249532749988,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,216,1215-2,2022-08-16 16:52:33,"쇼핑,편의||오락시설||PC방||프랜차이즈||아이센스리그PC",False
4620,4621,27069511,인디고 PC방 인천삼산점,,Indigo PC Room Incheon Samsan Branch,Professional and Other Places,Recreation Facility,126.73359599935192,37.507980892651915,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,충선로209번길,49,463-2,2022-08-24 14:41:06,"쇼핑,편의||오락시설||PC방||PC방-일반",False
5710,5711,3126546,이네이쳐PC방,이네이쳐피씨방,In Nature PC Room,Professional and Other Places,Recreation Facility,126.6530674208839,37.55919548530451,대한민국,KOR,KOR,인천광역시,서구,,경서동,,도요지로,23,723-4,2022-05-01 12:37:48,"쇼핑,편의||오락시설||PC방||PC방-일반",False
7228,7229,20482977,뽑기놀이터,,lottery playground,Professional and Other Places,Recreation Facility,126.67033647081195,37.507611113225806,대한민국,KOR,KOR,인천광역시,서구,,석남동,,길주로75번길,11,520-39,2022-05-01 12:37:48,"쇼핑,편의||오락시설||오락실||오락실-일반",False
7601,7602,27230999,맥스피드PC방 공항점,,Max Speed ​​PC Bang Airport Branch,Professional and Other Places,Recreation Facility,126.49080505610868,37.49415247723564,대한민국,KOR,KOR,인천광역시,중구,,운서동,,신도시남로142번길,1,2802-1,2022-08-16 16:52:33,"쇼핑,편의||오락시설||PC방||PC방-일반",False
7620,7621,2612140,노블레스PC존 학익점,노블레스피씨존 학익점,Noblesse PC Zone Hakik Point,Professional and Other Places,Recreation Facility,126.6803192138979,37.44460445642295,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주승로,88,1283-3,2021-12-23 15:49:18,"쇼핑,편의||오락시설||PC방||PC방-일반",False
7873,7874,27179101,라네이즈PC방,,Laneige PC Room,Professional and Other Places,Recreation Facility,126.68765994623188,37.458340313440175,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로425번길,6,1007-4,2022-05-01 12:37:48,"쇼핑,편의||오락시설||PC방||PC방-일반",False
8018,8019,4330853,샹떼PC방인천공항신도시점,샹떼피씨방인천공항신도시점,Chante PC BangIncheon Airport New Town Branch,Professional and Other Places,Recreation Facility,126.48857733658268,37.49418456653164,대한민국,KOR,KOR,인천광역시,중구,,운서동,,신도시남로141번길,16,2791-2,2022-08-16 16:52:33,"쇼핑,편의||오락시설||PC방||PC방-일반",False
8844,8845,3133228,그린PC방,그린피씨방,Green PC room,Professional and Other Places,Recreation Facility,126.70062267239793,37.513390428686094,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,세월천로,77,51-3,2022-05-01 12:37:48,"쇼핑,편의||오락시설||PC방||PC방-일반",False
9710,9711,20761370,스마일뽑기샵 간석점,,Smile Gacha Shop  Ganseok Branch,Professional and Other Places,Recreation Facility,126.70556927199888,37.46832924627067,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로653번길,40,230-4,2022-05-18 1:20:05,"쇼핑,편의||오락시설||오락실||오락실-일반",False
10043,10044,27057548,고고로 PC방,,Gogoro PC Room,Professional and Other Places,Recreation Facility,126.65203729399391,37.5339111101336,대한민국,KOR,KOR,인천광역시,서구,,청라동,,중봉대로612번길,10-17,161-3,2022-08-12 13:15:03,"쇼핑,편의||오락시설||PC방||PC방-일반",False
10819,10820,6207113,나과장뽑기방 구월점,,Nagwajang Gacha Room  Guwol Branch,Professional and Other Places,Recreation Facility,126.69632428434689,37.44831643679439,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로,36,1360,2021-12-23 15:49:18,"쇼핑,편의||오락시설||오락실||오락실-일반",False
