,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2634,2635,106623,한국건설생활환경시험연구원 바이오본부,한국건설생활환경시험연구원바이오본부,Korea Construction Living Environment Testing Institute Bio Division,Professional and Other Places,Scientific Research,126.65161159957889,37.38487480054094,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로145번길,8,7-44,2019-04-29 17:13:24,"교육||연구||연구,연구소-일반",False
4034,4035,6089184,세종경제연구소,,Sejong Economic Research Institute,Professional and Other Places,Scientific Research,126.6765001633809,37.59399958129404,대한민국,KOR,KOR,인천광역시,서구,,마전동,,원당대로,677,1058-2,2020-01-14 23:37:43,"교육||연구||연구,연구소-일반",False
4500,4501,1957225,한국지엠디자인센터,GM코리아디자인센터,GM Korea design center,Professional and Other Places,Scientific Research,126.71984159943692,37.5082975008082,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,부평대로,233,199,2019-11-14 23:28:26,"교육||연구||연구,연구소-일반",False
6151,6152,27184460,대한중재신장학연구회,,Korean Interventional Nephrology Research Society,Professional and Other Places,Scientific Research,126.72526420024391,37.48553211550559,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,동수로,61,654-14,2022-05-01 12:37:48,교육||연구||의학,False
7475,7476,786244,아이블포토닉스R&D센터,아이블포토닉스R앤D센터,Ible Photonics R&D Center,Professional and Other Places,Scientific Research,126.65230372476287,37.38582214838284,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로145번길,22,7-39,2020-01-14 23:43:29,"교육||연구||연구,연구소-일반",False
7912,7913,5447715,청주드론교육원,,Cheongju drone education center,Professional and Other Places,Scientific Research,126.7131572764419,37.51892464124868,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,평천로199번길,34,419-5,2019-11-14 23:29:30,"교육||연구||연구,연구소-일반",False
8407,8408,27184225,장순일음악연구소,,Jang Soon-il Music Research Institute,Professional and Other Places,Scientific Research,126.71244439999992,37.4904058999998,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,신촌로,83,270-47,2022-06-07 17:23:36,"교육||연구||연구,연구소-일반",False
8556,8557,6139755,남인천종합환경연구원,,Namincheon Environmental Research Institute,Professional and Other Places,Scientific Research,126.70239742937288,37.45437915649988,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로226번길,9,1135-3,2019-11-14 23:27:34,"교육||연구||연구,연구소-일반",False
9416,9417,6059720,에이티아이연구소,,ATI Research Institute,Professional and Other Places,Scientific Research,126.64819287625332,37.3867364078475,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,112,7-4,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
9476,9477,582461,서파도예연구원,도예연구원,Seopa Ceramics Research Institute,Professional and Other Places,Scientific Research,126.4470053999998,37.62752969999985,대한민국,KOR,KOR,인천광역시,강화군,,화도면,덕포리,신촌길,40-16,1210,2017-03-02 12:00:00,"교육||연구||연구,연구소-일반",False
11086,11087,20477879,지에프코리아기업부설연구소,,GF Korea Research Institute,Professional and Other Places,Scientific Research,126.73197116372091,37.48781620116901,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로28번길,45,620-12,2022-05-18 1:20:05,"교육||연구||연구,연구소-일반",False
12135,12136,4006440,에스피지연구소,SPG연구소,SPG Research Center,Professional and Other Places,Scientific Research,126.66190129372492,37.38043251338485,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,13-30,175-1,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
12467,12468,6266511,인천국제공항공사공항산업기술연구원,인천국제공항공사 공항산업기술연구원,Incheon International Airport Corporation Airport Industry Technology Research Institute,Professional and Other Places,Scientific Research,126.38472258176672,37.45536695979519,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,용유로,557,835-2,2019-10-11 17:40:15,"교육||연구||연구,연구소-일반",False
12565,12566,27258410,바이오세상 기업부설연구소,,Biosang Enterprise Affiliated R&D Center,Professional and Other Places,Scientific Research,126.71241759999968,37.52326389999974,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,청천마차로,192,403-32,2022-08-02 16:47:12,"교육||연구||연구,연구소-일반",False
19131,19132,4005348,카네비컴R&D센터,카네비컴R앤D센터,carnavicom R&D Center,Professional and Other Places,Scientific Research,126.66209199843378,37.3811854181722,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,13-25,173-1,2020-04-07 15:40:50,"교육||연구||연구,연구소-일반",False
19146,19147,6404116,박앤장기술로펌차량기술연구소,,Park &Chang Technology Law Firm Vehicle Technology Research Center,Professional and Other Places,Scientific Research,126.69240788913092,37.407694528057576,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,남동서로,202,629,2022-08-24 14:41:06,"교육||연구||연구,연구소-일반",False
20659,20660,6150749,공감나무디자인연구소,,Sympathy Tree Design Lab,Professional and Other Places,Scientific Research,126.61501012734284,37.5960076181128,대한민국,KOR,KOR,인천광역시,서구,,오류동,,보듬로,158,1656-1,2020-01-14 23:39:29,"교육||연구||연구,연구소-일반",False
21197,21198,6403302,통합의학연구소,,Integrative Medicine Research Institute,Professional and Other Places,Scientific Research,126.70123294294793,37.443622458338176,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로489번길,4,1469,2019-12-18 23:23:30,"교육||연구||연구,연구소-일반",False
22531,22532,27068806,인물멘토교육연구소,,Character Mentor Education Research Institute,Professional and Other Places,Scientific Research,126.69541026615188,37.45067349506917,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,527,1116-1,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
23087,23088,26969454,수도권미세먼지연구관리센터,,Seoul Metropolitan Area Fine Dust Research and Management Center,Professional and Other Places,Scientific Research,126.65690188775488,37.383859984236445,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,36,7-49,2022-08-12 13:15:03,"교육||연구||연구,연구소-일반",False
25525,25526,5452517,직업창의체험연구소,,Vocational Creativity Experience Lab,Professional and Other Places,Scientific Research,126.72145585698088,37.48465196488048,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,동수로,28,685,2022-08-16 16:52:33,"교육||연구||연구,연구소-일반",False
25820,25821,1087718,한국생산기술연구원 주조기술센터,생산기술연구원,Korea Institute of Industrial Technology Casting Technology Center,Professional and Other Places,Scientific Research,126.6374675999999,37.55075059999983,대한민국,KOR,KOR,인천광역시,서구,,경서동,,사렴로10번길,1,363-266,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
26290,26291,1982479,진우환경기술연구소,,Jinwoo Environmental Technology Research Center,Professional and Other Places,Scientific Research,126.69667077333692,37.392671091404736,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,남동동로,84,722,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
26754,26755,26936809,강화군줄기세포연구센터 (2022년예정),,Ganghwa-gun Stem Cell Research Center  (planned in 2022),Professional and Other Places,Scientific Research,126.51228438719588,37.7382417140798,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,용정리,강화대로,154,1075-4,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
27833,27834,20779870,인천 글로벌캠퍼스 스탠포드대학교 연구센터,,Incheon Global Campus Stanford University Research Center,Professional and Other Places,Scientific Research,126.66829550594092,37.37494540128304,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도문화로,119-5,187,2022-05-18 1:21:38,"교육||연구||연구,연구소-일반",False
29696,29697,1983731,대진표면처리연구소,,Daejin Surface Treatment Research Center,Professional and Other Places,Scientific Research,126.69195986043388,37.477284379911595,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로578번길,65,120-1,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
30121,30122,6206143,엘에스디자인연구소,LSDESIGN연구소,LS Design Lab,Professional and Other Places,Scientific Research,126.73598875154192,37.484332973624085,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,항동로7번길,6,430-4,2019-11-14 23:30:26,"교육||연구||연구,연구소-일반",False
32953,32954,3248997,BRC연구소,비알씨연구소,BRC Lab,Professional and Other Places,Scientific Research,126.64662780000384,37.37006839999843,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도미래로,9,203-3,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
33427,33428,6059717,Essys연구소,,Essys Lab,Professional and Other Places,Scientific Research,126.65264921113888,37.38516522438113,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,55,7-41,2020-01-14 23:39:03,"교육||연구||연구,연구소-일반",False
33769,33770,3896700,글로벌에코투어연구소,에코투어연구소,Global Eco Tour Research Institute,Professional and Other Places,Scientific Research,126.64916259999994,37.36727399999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도미래로,30,214,2017-03-02 12:00:00,"교육||연구||연구,연구소-일반",False
34433,34434,291927,지엠테크니컬센터 청라주행시험장,,GM Technical Center Cheongna Driving Test Center,Professional and Other Places,Scientific Research,126.64490419999989,37.51869679999969,대한민국,KOR,KOR,인천광역시,서구,,청라동,,파랑로,331,1-1332,2022-08-04 10:04:43,"교육||연구||연구,연구소-일반",False
37596,37597,1075790,SPCR&D센터,SPCR앤D센터,SPC R&D Center,Professional and Other Places,Scientific Research,126.64929552789388,37.386869817802015,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,103,7-16,2020-06-15 0:00:00,"교육||연구||연구,연구소-일반",False
42315,42316,707101,YG-1R&D센터,와이지-1알앤디센터,YG-1 R&D Center,Professional and Other Places,Scientific Research,126.64767119999996,37.385252599999774,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,120,7-7,2017-03-02 12:00:00,"교육||연구||연구,연구소-일반",False
42356,42357,3181077,조은혜 국악 연구소,,Cho Eun-hye  Gugak  Institute,Professional and Other Places,Scientific Research,126.7235670987449,37.45590960476409,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,백범로227번길,95,908-27,2022-05-02 21:16:34,"교육||연구||연구,연구소-일반",False
48179,48180,23284859,써모피셔바이오프로세스 디자인센터,,Thermo Fisher Bioprocess design center,Professional and Other Places,Scientific Research,126.66418023372492,37.38113709991504,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로,56,172-3,2022-05-18 1:20:59,교육||연구||의학,False
49006,49007,5765598,엠제이연구소,,MJ Lab,Professional and Other Places,Scientific Research,126.47794400774268,37.751780689717435,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,관청리,향교길33번길,12,958,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
49404,49405,2157064,송도암및내분비학연구소,,Songdo Cancer and Endocrinology Research Institute,Professional and Other Places,Scientific Research,126.65214692190492,37.38439278362375,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,155,7-45,2022-05-01 12:37:48,교육||연구||의학,False
50517,50518,5945338,이롬경영연구소,,Erom Management Research Center,Professional and Other Places,Scientific Research,126.73019000034893,37.5108081020348,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,갈월동로,42,369,2019-09-03 23:00:14,"교육||연구||연구,연구소-일반",False
51100,51101,5996735,한국관광레저산업연구소,,Korea Tourism and Leisure Industry  Research Institute,Professional and Other Places,Scientific Research,126.38241500010774,37.705161600530175,대한민국,KOR,KOR,인천광역시,강화군,,내가면,외포리,강화서로,26,480-3,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
53588,53589,2569208,포스코글로벌R&D센터,포스코글로벌R앤D센터,POSCO Global R&D Center,Professional and Other Places,Scientific Research,126.6691621470558,37.37859363715837,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로,100,180-1,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
54172,54173,26877117,대원엘리베이터시험연구소,,Daewon Elevator test lab,Professional and Other Places,Scientific Research,126.65277283032584,37.51679785585281,대한민국,KOR,KOR,인천광역시,서구,,원창동,,원창로64번길,35,146-3,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
57242,57243,3074820,한국해양과학기술원부설극지연구소,극지연구소,Korea Institute of Ocean Science and Technology Affiliated Polar Research Institute,Professional and Other Places,Scientific Research,126.64645181433784,37.36766497665372,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도미래로,26,213-3,2022-08-18 12:00:50,"교육||연구||연구,연구소-일반",False
60178,60179,5996861,한국재료연구소,,Korea Materials Research Institute,Professional and Other Places,Scientific Research,126.66489499990594,37.5058379005373,대한민국,KOR,KOR,인천광역시,서구,,석남동,,거북로,25-50,223-786,2019-02-21 11:00:47,"교육||연구||연구,연구소-일반",False
60497,60498,27183358,봄들애인문교육연구소,,Bomdeul Love Humanities Education Research Institute,Professional and Other Places,Scientific Research,126.64909027212488,37.39710119003964,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,153,21-38,2022-08-12 13:15:03,교육||연구||인문,False
63015,63016,4713684,인천기후환경연구센터,,Incheon Climate Environment Research Center,Professional and Other Places,Scientific Research,126.63407958856884,37.39616174173874,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,아트센터대로,175,24-4,2020-01-14 23:22:24,교육||연구||자연과학,False
64137,64138,117528,가천대학교 메디컬캠퍼스이길여암당뇨연구원,가천대 메디컬캠퍼스이길여암당뇨연구원,Gachon University  Medical Campus Lee Gil Yeo Cancer Diabetes Research Institute,Professional and Other Places,Scientific Research,126.65174630000294,37.38410079999736,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,155,7-45,2019-08-08 23:03:32,교육||연구||의학,False
64441,64442,6218832,인천서각연구소,,Incheon Seogak Research Institute,Professional and Other Places,Scientific Research,126.6954773057309,37.449289840573975,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로522번길,49-21,1356-5,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
64836,64837,27053454,모두의입시연구소,,Everyone's Admissions Lab,Professional and Other Places,Scientific Research,126.64943069999984,37.39586259999974,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로,80,21-60,2022-08-08 10:29:42,"교육||연구||사회,교육,행정",False
65246,65247,3443551,대화기술연구소,대화연구소,Dialogue Technology Research Center,Professional and Other Places,Scientific Research,126.64839039748588,37.38772080278764,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,102,7-2,2020-01-14 23:38:38,교육||연구||공학,False
65374,65375,2157082,미래환경도형연구소,,Future Environment Figure Research Institute,Professional and Other Places,Scientific Research,126.6580564067149,37.41577358506575,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로70번길,15,794-2,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
66843,66844,5911851,오티스엘리베이터R&D센터,오티스엘리베이터R앤D센터,Otis Elevator R&D Center,Professional and Other Places,Scientific Research,126.63510824615685,37.37875749320695,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,벤처로12번길,50,10-45,2019-08-08 23:06:45,"교육||연구||연구,연구소-일반",False
67015,67016,3688453,더페이스샵연구소,THEFACESHOP연구소,The Face Shop Lab,Professional and Other Places,Scientific Research,126.68953628476278,37.47767861770114,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,백범로604번길,22,228-1,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
69073,69074,3668532,근로복지공단재활공학연구소,,Labor and Welfare Corporation Rehabilitation Engineering Research Institute,Professional and Other Places,Scientific Research,126.75491170580096,37.482013930538685,대한민국,KOR,KOR,인천광역시,부평구,,구산동,,경인로10번길,26,9-15,2022-08-18 12:00:50,교육||연구||의학,False
69382,69383,4677736,YG1R&D센터,YG1알앤디센터,YG1 R&D Center,Professional and Other Places,Scientific Research,126.6627228157689,37.37996246277634,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,13-40,175-3,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
71652,71653,27141053,헤아림심리연구소,,Hearim Psychological Research Institute,Professional and Other Places,Scientific Research,126.74038245859396,37.44969686652304,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,담방로,105,1005,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
73699,73700,4009915,유니디자인경영연구소,,Uni Design Management Research Center,Professional and Other Places,Scientific Research,126.73569926564896,37.50751759166358,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,충선로203번길,12,460-6,2019-11-14 23:29:26,"교육||연구||연구,연구소-일반",False
76130,76131,2149984,지엠테크니컬센터 청라기술연구소,GM테크니컬센터,GM Technical Center Cheongna Technology Research Center,Professional and Other Places,Scientific Research,126.64741530030484,37.51833870004389,대한민국,KOR,KOR,인천광역시,서구,,청라동,,파랑로,331,1-1216,2021-12-23 15:49:18,"교육||연구||연구,연구소-일반",False
76757,76758,2157067,신원기술연구소,신원연구소,Shinwon Technology Research Center,Professional and Other Places,Scientific Research,126.64889075911287,37.38640585799093,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,갯벌로,109,7-24,2020-01-14 23:37:43,교육||연구||공학,False
77259,77260,27189224,한국사회교육개발원 연구소,,Korea Institute for Social Education and Development,Professional and Other Places,Scientific Research,126.72553657095992,37.49928631031641,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,주부토로,48,415-8,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
77570,77571,2822094,인천광역시수산자원연구소,인천시수산자원연구소,Incheon Metropolitan City Fisheries Resources Research Institute,Professional and Other Places,Scientific Research,126.45470189999983,37.2285311999997,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,외리,영흥남로247번길,313,248-5,2018-08-16 9:30:30,"교육||연구||연구,연구소-일반",False
79860,79861,354041,대한제분종합연구소,대한제분연구소,Korea Milling Research Institute,Professional and Other Places,Scientific Research,126.61463483981284,37.48027345698578,대한민국,KOR,KOR,인천광역시,중구,,북성동1가,,월미로,52,3-12,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
80530,80531,27425530,한국토닥토닥연구소,,Korea Todk Todak Research Institute,Professional and Other Places,Scientific Research,126.7028282995669,37.44933080038968,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,예술로172번길,27,1125-1,2022-08-08 10:29:42,교육||연구||인문,False
82431,82432,3249541,ADT캡스R&D센터,ADT캡스송도R&D센터,ADT Caps R&D Center,Professional and Other Places,Scientific Research,126.63002969999984,37.399288099999744,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,인천타워대로,323,30-3,2022-05-01 12:37:48,"교육||연구||연구,연구소-일반",False
