,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2034,2035,5689584,TWORLD 백마장대리점 서구청점,T월드서구청점,SK Telecom Baekmajang Dealer Seo-gu Office Store,Professional and Other Places,Telecom,126.67609644826204,37.54370743925103,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,탁옥로,58,248-11,2022-08-12 13:15:03,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
2331,2332,27073201,SK텔레콤 백마장대리점 청라직영점,T월드 백마장대리점 청라직영점,SK Telecom Baekmajang Agency Cheongna Branch,Professional and Other Places,Telecom,126.65289536503964,37.53452406256974,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라라임로,85,160-1,2022-08-16 16:52:33,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
2767,2768,27100707,LG유플러스 송도동 송도센타프라자점,,LG U+ Songdo-dong Songdo Center Plaza,Professional and Other Places,Telecom,126.65189789999992,37.39538359999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,121,3-4,2022-05-02 21:16:34,"쇼핑,편의||전자,가전||휴대폰||LG유플러스||LG유플러스 대리점",False
4091,4092,958078,KT연수점,케이티 연수점,KT Yeonsu Branch,Professional and Other Places,Telecom,126.67949502537095,37.41081671643508,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,청능대로,145,632-2,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
8962,8963,27081431,KT 다움 연수로데오점,,KT Daum Yeonsu Rodeo Branch,Professional and Other Places,Telecom,126.67952789999995,37.41341909999978,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,샘말로,50,625,2022-08-12 13:15:03,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
9649,9650,27073128,SKT텔레콤 UNI대리점 캠퍼스타운점,,SKT Telecom UNI Agency Campus Town Branch,Professional and Other Places,Telecom,126.66503229999988,37.388198099999755,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로27번길,55,149,2022-08-08 10:29:42,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
10330,10331,27125119,SK텔레콤 화산대리점 가정점,,SK Telecom Hwasan Agency Gamjeong Branch,Professional and Other Places,Telecom,126.6731267999999,37.51783679999978,대한민국,KOR,KOR,인천광역시,서구,,가정동,,가정로,370,505-5,2022-08-12 13:15:03,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SK텔레콤-일반",False
11076,11077,1273922,KT 오성C&C강화텔레콤강화읍점,올레 오성C&C강화텔레콤 강화읍점,KT Ohsung C&C Ganghwa Telecom Ganghwa-eup Branch,Professional and Other Places,Telecom,126.48729339999772,37.74571820000413,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,관청리,강화대로,396,170-4,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
12313,12314,4331677,SK텔레콤 참스타대리점 모래내시장점,T월드모래내시장점,SK Telecom Charm Star Dealer Sand Nae Market Store,Professional and Other Places,Telecom,126.72080787797093,37.452037345510256,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,280,1273-9,2022-07-13 13:54:25,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
12620,12621,4360991,SK텔레콤 ACT 원당본점,T월드ACT대리점,SK Telecom ACT Wondang Head Office,Professional and Other Places,Telecom,126.69496540681928,37.59405216626407,대한민국,KOR,KOR,인천광역시,서구,,원당동,,원당대로,841,824-2,2022-08-24 14:41:06,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
15431,15432,5703245,KT 한강씨엔티 부평남부역점,올레 한강씨엔티 부평남부역점,KT Hangang CNT Bupyeong Nambu Station Branch,Professional and Other Places,Telecom,126.72492268141863,37.48736055269446,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경인로,948,658-11,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
15540,15541,3464020,KT 반야검암1호점,올레 반야검암1호점,KT Banya Geomam 1st Branch,Professional and Other Places,Telecom,126.6772414540619,37.565504962751625,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로,516,613-3,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
16580,16581,20761032,TWORLD 부평역전대리점 송도학원가점,,TWORLD Bupyeong Station Branch Songdo Academy Store,Professional and Other Places,Telecom,126.64980085275388,37.39754502955305,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,신송로,154,20-20,2022-09-06 15:18:26,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
16854,16855,5687623,KT 반야정보통신청라2호점,올레반야정보통신청라2호점,KT Banya Information Communication Application La 2nd Branch,Professional and Other Places,Telecom,126.62974016777584,37.5253396136762,대한민국,KOR,KOR,인천광역시,서구,,청라동,,푸른로,3,105-43,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
18697,18698,3443851,KT 누리정보통신학산사거리점,케이티누리정보통신학산사거리점,KT Nuri Information Communication Haksan Intersection Branch,Professional and Other Places,Telecom,126.6623362171849,37.44111666400117,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로,361,210-7,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
19091,19092,1262334,SK텔레콤 부평역전대리점 본점,T월드 부평역전대리점 본점,SK Telecom Bupyeong Station Former Agency Head Office,Professional and Other Places,Telecom,126.72339597484708,37.49228350441981,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,10,194-9,2022-09-06 15:18:26,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SK텔레콤-일반",False
20255,20256,700455,KT 인천지사,OllehKT인천지사,KT Incheon Branch,Professional and Other Places,Telecom,126.69596174713288,37.46000883289637,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,508,520-3,2022-07-19 20:20:05,"쇼핑,편의||전자,가전||휴대폰||KT대리점||KT대리점-일반",False
20540,20541,5685258,SK텔레콤 MD대리점 삼산직영점,T월드MD대리점,SK Telecom MD agent Samsan direct management store,Professional and Other Places,Telecom,126.73161129999995,37.50737739999981,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,길주로,623,465-1,2022-07-13 13:54:25,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
23295,23296,27185380,SK텔레콤 화산대리점 작전점,,SK Telecom Volcanic Agency Operation Branch,Professional and Other Places,Telecom,126.73773769999994,37.53085589999951,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,오조산로,1,911-7,2022-08-12 13:15:03,"쇼핑,편의||전자,가전||휴대폰||SK텔레콤||SKT대리점",False
