,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
105,106,1271559,보문사,,Bomunsa Temple,Professional and Other Places,Temple,126.69584859999992,37.50971389999982,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,길주로339번길,76,산133-1,2018-08-16 9:30:30,"종교,문화||종교||불교||절,사찰",False
891,892,2153215,용현사,,Yonghyeonsa Temple,Professional and Other Places,Temple,126.64910711368188,37.45915320215378,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,독배로446번길,4,283-17,2021-12-23 15:49:18,"종교,문화||종교||불교||절,사찰",False
3438,3439,71143,용화선원,용화사,Yonghwa Sailor,Professional and Other Places,Temple,126.68229050369088,37.46969578349768,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주염로,43,16-113,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
4591,4592,1064996,호불사,,Love and Buddha,Professional and Other Places,Temple,126.6582837185369,37.421680599054966,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,청룡로,80,348-191,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
7925,7926,1253191,몽운사,,Mongunsa Temple,Professional and Other Places,Temple,124.68382866506371,37.97673629612176,대한민국,KOR,KOR,인천광역시,옹진군,,백령면,진촌리,관창길,255-92,1842-10,2022-09-06 15:18:26,"종교,문화||종교||불교||절,사찰",False
15047,15048,2622163,대운사,,Daeunsa Temple,Professional and Other Places,Temple,126.65680711369488,37.41732377848746,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로102번길,14-1,772-1,2021-12-23 15:49:18,"종교,문화||종교||불교||절,사찰",False
15362,15363,1257537,자은정사,,Eunjeongsa Ja,Professional and Other Places,Temple,126.65064999429488,37.43286596807756,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,수인선길112번길,16,46-1,2022-08-24 14:41:06,"종교,문화||종교||불교||절,사찰",False
18046,18047,445343,천지정사,,heaven and earth,Professional and Other Places,Temple,126.36770109999976,37.762851899999895,대한민국,KOR,KOR,인천광역시,강화군,,하점면,창후리,창후로,162-11,586-1,2018-08-16 9:30:30,"종교,문화||종교||불교||절,사찰",False
22672,22673,617815,호명사,,noun,Professional and Other Places,Temple,126.71476962017888,37.484229882119486,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경인로,847,산34-17,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
24992,24993,1265627,관음사,,Gwaneumsa Temple,Professional and Other Places,Temple,126.70356224841989,37.46395403454477,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,예술로330번길,17,433-7,2021-12-23 15:49:18,"종교,문화||종교||불교||절,사찰",False
30727,30728,20184955,도불사,,Dobulsa Temple,Professional and Other Places,Temple,126.67241707982396,37.45812921091328,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,한나루로586번길,7,462-9,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
32998,32999,2736921,보명사,,noun,Professional and Other Places,Temple,126.75030427358693,37.4849633231002,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,경인로1185번길,15-25,83-1,2019-11-14 23:25:16,"종교,문화||종교||불교||절,사찰",False
33347,33348,3142430,동명사,,gerund,Professional and Other Places,Temple,126.66736389999994,37.429258299999766,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,계림로57번길,21,산18-1,2022-08-12 13:15:03,"종교,문화||종교||불교||절,사찰",False
34655,34656,2596588,연불사,,Yeonbulsa Temple,Professional and Other Places,Temple,126.74067636003593,37.483419126839294,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,항동로45번길,51,396-67,2019-11-14 23:06:52,"종교,문화||종교||불교||절,사찰",False
35559,35560,27210120,경인불교대학 수미정사,,Gyeongin Buddhist University Sumijeongsa Temple,Professional and Other Places,Temple,126.68616345598292,37.441338476944274,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로561번길,26-93,252-3,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
36552,36553,2599400,무량정사,,infinity,Professional and Other Places,Temple,126.67462338014292,37.456927719267576,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,제일로40번길,39,451-20,2021-12-23 15:49:18,"종교,문화||종교||불교||절,사찰",False
41317,41318,1253115,보현사,,Bohyeonsa Temple,Professional and Other Places,Temple,126.65214910225185,37.464674965078274,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,경인로116번길,70,72-17,2021-12-23 15:49:18,"종교,문화||종교||불교||절,사찰",False
44516,44517,27092299,송도국제선원,,Songdo International Seafarer,Professional and Other Places,Temple,126.66509327839925,37.38708191581113,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로27번길,55,149,2022-05-01 12:37:48,"종교,문화||종교||불교||절,사찰",False
