,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
518,519,1872588,주안동물병원,,Juan Animal Hospital,Professional and Other Places,Veterinarian,126.67980416623192,37.46677291257539,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석정로,400,24-2,2022-08-18 12:00:50,의료시설||동물병원||동물병원-일반,False
1611,1612,3132462,해피동물병원,,Happy Animal Hospital,Professional and Other Places,Veterinarian,126.72253210519293,37.403320316894046,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논현남로,19,619-15,2022-05-01 12:37:48,의료시설||동물병원||동물병원-일반,False
2857,2858,1261539,자연동물병원,,natural animal hospital,Professional and Other Places,Veterinarian,126.71868176980539,37.45171005373388,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,775,1240-3,2022-08-24 14:41:06,의료시설||동물병원||동물병원-일반,False
3837,3838,4328601,길동물병원,,Gil Animal Hospital,Professional and Other Places,Veterinarian,126.72597821318784,37.45564843731168,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,317,889-15,2022-08-16 16:52:33,의료시설||동물병원||동물병원-일반,False
6092,6093,1853205,동산동물병원,,Dongsan Animal Hospital,Professional and Other Places,Veterinarian,126.64612765184889,37.474448924836366,대한민국,KOR,KOR,인천광역시,동구,,송림동,,동산로,78,60-30,2022-08-24 14:41:06,의료시설||동물병원||동물병원-일반,False
7834,7835,1263558,만수동물병원,,Mansu Animal Hospital,Professional and Other Places,Veterinarian,126.73902875662895,37.44429924565408,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,담방로,52-1,1025-11,2022-08-16 16:52:33,의료시설||동물병원||동물병원-일반,False
8219,8220,1262383,젬마동물병원,,Gemma Animal Hospital,Professional and Other Places,Veterinarian,126.73108100400692,37.45485678432628,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,364,948-4,2022-08-12 13:15:03,의료시설||동물병원||동물병원-일반,False
8315,8316,3124837,아나파동물병원,,Anapa Animal Hospital,Professional and Other Places,Veterinarian,126.67921183384088,37.45835808965367,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로,354,505-3,2022-05-01 12:37:48,의료시설||동물병원||동물병원-일반,False
8508,8509,3461426,한스동물병원,,Hans Animal Hospital,Professional and Other Places,Veterinarian,126.75767317343194,37.559053347056114,대한민국,KOR,KOR,인천광역시,계양구,,동양동,,동양로,115,640-15,2022-08-12 13:15:03,의료시설||동물병원||동물병원-일반,False
9322,9323,2595964,세림동물병원,,Serim Animal Hospital,Professional and Other Places,Veterinarian,126.70986999999997,37.503791999999805,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,원적로,392,143-2,2022-08-24 14:41:06,의료시설||동물병원||동물병원-일반,False
