,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
63,64,323401,풀무원남동유통,풀무원남동유통(주),Pulmuone Namdong Distribution,Professional and Other Places,Warehouse,126.75137909788997,37.451476105231286,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,장자북로,14-1,782-7,2021-12-23 15:49:18,"산업,유통||물류,유통||물류,유통-일반",False
717,718,5682613,한진유통,,Hansu Distribution,Professional and Other Places,Warehouse,126.67361604326337,37.470232157534205,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로343번길,59,68-15,2022-05-01 12:37:48,"산업,유통||물류,유통||물류,유통-일반",False
1027,1028,1871435,가나푸드,,Gana Food,Professional and Other Places,Warehouse,126.73824535844096,37.59037652090692,대한민국,KOR,KOR,인천광역시,계양구,,이화동,,이화북로,27,248-22,2021-12-23 15:49:18,"산업,유통||물류,유통||물류,유통-일반",False
1314,1315,6211881,부신물류,,adrenal glands,Professional and Other Places,Warehouse,126.63448385587986,37.5154295212998,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로120번길,99,388,2021-12-23 15:49:18,"산업,유통||물류,유통||물류,유통-일반",False
1910,1911,27226463,에이케이 인천국제물류센터,,AK Incheon International Logistics Center,Professional and Other Places,Warehouse,126.4727105660683,37.48567494705069,대한민국,KOR,KOR,인천광역시,중구,,운서동,,자유무역로,259,3243-1,2022-05-01 12:37:48,"산업,유통||물류,유통||보관,저장||물류센터",False
2417,2418,3893888,엔에스물류,,NS Logistics,Professional and Other Places,Warehouse,126.69490968712988,37.409001753163054,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,남동대로239번길,72-29,449-2,2019-12-09 10:50:24,"산업,유통||물류,유통||물류,유통-일반",False
2755,2756,2620485,홍천철원물류센터,철원오대쌀물류센터,Hongcheon Cheorwon  Logistics Center,Professional and Other Places,Warehouse,126.73555428516796,37.58937048764363,대한민국,KOR,KOR,인천광역시,계양구,,이화동,,이화남로,107,274-2,2022-05-01 12:37:48,"산업,유통||물류,유통||보관,저장||물류센터",False
2891,2892,26877537,S&K물류센터(2023년2월예정),,S&K Logistics Center (Scheduled for February 2023),Professional and Other Places,Warehouse,126.66261534211088,37.50458256312788,대한민국,KOR,KOR,인천광역시,서구,,석남동,,거북로,13,223-693,2022-05-01 12:37:48,"산업,유통||물류,유통||보관,저장||물류센터",False
3006,3007,20200616,제일유통,,Jeil Distribution,Professional and Other Places,Warehouse,126.60742587247292,37.4551307852382,대한민국,KOR,KOR,인천광역시,중구,,항동7가,,축항대로86번길,11,27-59,2021-12-23 15:49:18,"산업,유통||물류,유통||물류,유통-일반",False
3032,3033,6225894,이화유통,,Ewha Distribution,Professional and Other Places,Warehouse,126.7059547441209,37.510653955660885,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로364번길,37,190-76,2022-08-24 14:41:06,"산업,유통||물류,유통||물류,유통-일반",False
3102,3103,26971982,CBRE IM ILC 물류센터,,CBRE IM ILC logistics center,Professional and Other Places,Warehouse,126.62356834228892,37.44586042397148,대한민국,KOR,KOR,인천광역시,중구,,신흥동3가,,서해대로210번길,6,49,2022-05-01 12:37:48,"산업,유통||물류,유통||물류,유통-일반",False
3163,3164,6230250,농심인천복합물류센터,농심 인천물류센터,Nongshim Incheon Complex Logistics Center,Professional and Other Places,Warehouse,126.6338806491565,37.51038126146805,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로120번길,29,391-19,2021-12-23 15:49:18,"산업,유통||물류,유통||보관,저장||물류센터",False
3417,3418,500077,백마종합물류,백마물류,Baekma Logistics,Professional and Other Places,Warehouse,126.47719777473768,37.48273761057783,대한민국,KOR,KOR,인천광역시,중구,,운서동,,공항동로296번길,97-49,3165-1,2020-01-14 23:36:49,"산업,유통||물류,유통||물류,유통-일반",False
3898,3899,6209551,안흥유통,,AnheungDistribution,Professional and Other Places,Warehouse,126.74048649034998,37.5183529126605,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,대보로12번길,19,167-8,2022-08-24 14:41:06,"산업,유통||물류,유통||물류,유통-일반",False
4101,4102,27124041,통영국제물류,,Logistics made in Tongyeong,Professional and Other Places,Warehouse,126.6777815707869,37.46288679715547,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안서로,47,278-6,2022-05-01 12:37:48,"산업,유통||물류,유통||물류,유통-일반",False
