,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1,2,199590,신다우빌라,,Sindau Villa,Residence,House,126.7069498636429,37.5336597572989,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,길마로,12,99-12,2021-12-23 15:49:18,"빌딩,건물||주택||연립,빌라||빌라",False
2,3,228336,제일그린빌라,,Cheil Green Villa,Residence,House,126.70174379960088,37.491271300384575,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,,,산48-30,2022-05-01 12:37:48,"빌딩,건물||주택||연립,빌라||빌라",False
3,4,229892,동진주택,,Dongjin House,Residence,House,126.66416740558088,37.425324259648754,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,솔샘로,86,565-7,2020-01-14 23:40:02,"빌딩,건물||주택||연립,빌라||연립주택",False
6,7,382543,성신빌라,,Sungshin Villa,Residence,House,126.67031033233188,37.5172867547718,대한민국,KOR,KOR,인천광역시,서구,,신현동,,원창로,190-4,279-38,2021-12-23 15:49:18,"빌딩,건물||주택||연립,빌라||빌라",False
9,10,590829,미래타운,,future town,Residence,House,126.69682500020488,37.5213583004412,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,,,378-19,2022-05-01 12:37:48,"빌딩,건물||주택||연립,빌라||빌라",False
11,12,671818,궁전빌라,,palace villa,Residence,House,126.73805160894995,37.5474189977616,대한민국,KOR,KOR,인천광역시,계양구,,임학동,,계양산로,200,5-41,2019-11-14 23:06:52,"빌딩,건물||주택||연립,빌라||빌라",False
13,14,782717,대진빌라,,Daejin Villa,Residence,House,126.67908079999992,37.517193999999805,대한민국,KOR,KOR,인천광역시,서구,,가정동,,서달로193번길,6-16,563,2018-10-05 10:30:30,"빌딩,건물||주택||연립,빌라||빌라",False
14,15,800191,경창맨션,,Gyeongchang Mansion,Residence,House,126.71941512306388,37.44837689524998,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로740번길,9-1,1287-4,2021-12-23 15:49:18,"빌딩,건물||주택||연립,빌라||빌라",False
15,16,897346,창대빌라,,ChangdaeVilla,Residence,House,126.67231299973588,37.49754329971839,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,,,114-9,2022-05-01 12:37:48,"빌딩,건물||주택||연립,빌라||빌라",False
17,18,1266844,한일빌라,,Hanil Villa,Residence,House,126.72609947380592,37.518570990660606,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,부평대로296번길,80,168-7,2019-11-14 23:28:26,"빌딩,건물||주택||연립,빌라||빌라",False
