,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
33,34,4710673,세심요양원,,Sesim Nursing Home,Residence,Nursing Home,126.6712935277569,37.461985302332366,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,경인로,270-1,480-1,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
652,653,3239090,온유한요양원,,meek nursing home,Residence,Nursing Home,126.68659369427496,37.46351748118629,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로,150,50-4,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
1219,1220,27071939,벧엘요양원,,Bethel Nursing Home,Residence,Nursing Home,126.7077942942729,37.5282860833,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,효서로111번길,5,192-1,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
1693,1694,27059764,동인천요양원,,Dongincheon Nursing Home,Residence,Nursing Home,126.63784011006884,37.473150324111785,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,송림로,24,33-2,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
1754,1755,27181394,더사랑요양원,,The Sarang Nursing Home,Residence,Nursing Home,126.72578270858992,37.45526980871789,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,318,916-4,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
2322,2323,4324118,지안요양원,,Jian Nursing Home,Residence,Nursing Home,126.68092723604488,37.46703130546108,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석정로,409,15-41,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
3489,3490,27076758,자연실버타운,,Natural Silver Town,Residence,Nursing Home,126.7262508575359,37.41504416333785,대한민국,KOR,KOR,인천광역시,남동구,,도림동,,논고개로,273,355-7,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
3605,3606,26786481,인천시 장기요양요원지원센터,,Incheon City  Long-Term Care Personnel Support Center,Residence,Nursing Home,126.66093324161788,37.46874357358348,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로,229,1000,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
4374,4375,5448577,소망노인복지센타,,Somang Senior Welfare Center,Residence,Nursing Home,126.64866172330424,37.458057000370445,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독배로,433-11,473-6,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
4399,4400,3029096,사랑마루 계양점,,Sarangmaru Gyeyang,Residence,Nursing Home,126.73589440747892,37.53218814780912,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양문화로,15,904-1,2022-09-22 0:00:00,의료시설||요양원||요양원-일반,False
4810,4811,27428686,아름다운 동행 요양원,,beautiful companion nursing home,Residence,Nursing Home,126.73019482289392,37.49924859207589,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,153,378-1,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
4888,4889,5668578,우리들요양원,,Wooridul Nursing Home,Residence,Nursing Home,126.63121827184386,37.47443162535008,대한민국,KOR,KOR,인천광역시,중구,,인현동,,우현로90번길,1-6,26-5,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
5408,5409,2606624,바다의별요양원,,Sea Star Nursing Home,Residence,Nursing Home,126.47458069999983,37.72492709999991,대한민국,KOR,KOR,인천광역시,강화군,,선원면,선행리,시리미로,42,176-4,2018-09-28 14:00:00,의료시설||요양원||요양원-일반,False
5788,5789,27102715,행복드림요양원,,Happy Dream Nursing Home,Residence,Nursing Home,126.67247029999994,37.54799049999984,대한민국,KOR,KOR,인천광역시,서구,,연희동,,연희로39번길,16,743-14,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
5823,5824,4329318,인천효요양원,,Incheon Hyo Nursing Home,Residence,Nursing Home,126.69293604242688,37.465420313846494,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,석정로,516,895-3,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
5917,5918,27226046,가나안노인주간보호센터,,Canaan Senior Day Care Center,Residence,Nursing Home,126.7216581541929,37.5277343465446,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,효서로,230,444-1,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
6634,6635,27124153,하늘소리너싱홈요양원,,Sky Sound Nursing Home Nursing Home,Residence,Nursing Home,126.66632043636488,37.42724300479386,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,계림로58번길,27,538-4,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
7821,7822,3028720,검단탑요양원,검단요양원,Geomdan Tower Nursing Home,Residence,Nursing Home,126.6723109532769,37.59213259586902,대한민국,KOR,KOR,인천광역시,서구,,당하동,,청마로51번안길,22,1082-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
8014,8015,3589824,늘편한요양원,,Nursing Home,Residence,Nursing Home,126.65528563933287,37.557064136954,대한민국,KOR,KOR,인천광역시,서구,,경서동,,도요지로42번길,21-1,749-6,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
8581,8582,27101185,주안요양원,,Juan Nursing Home,Residence,Nursing Home,126.68048639999996,37.4608393999998,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석바위로,68,173-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
8799,8800,5684704,햇살누리요양센터,,Sunshine Nuri Nursing Center,Residence,Nursing Home,126.64907462993284,37.45796937269928,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독배로,431,473-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
8964,8965,20202038,천사의집요양원,,Angel's Home Nursing Home,Residence,Nursing Home,126.71066943248094,37.451334283943915,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,남동대로774번길,47,1202-5,2021-12-23 15:49:18,의료시설||요양원||요양원-일반,False
9112,9113,1872295,계양노인전문요양원,계양요양병원,Gyeyang Senior Nursing Home,Residence,Nursing Home,126.74977500026796,37.526425000036895,대한민국,KOR,KOR,인천광역시,계양구,,서운동,,아나지로,517,130-5,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
9463,9464,27157807,생생요양원,,live nursing home,Residence,Nursing Home,126.73203590817891,37.51793536868329,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,장제로,361,52-5,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
10287,10288,27209676,백산 실버홈,,Baeksan Silver Home,Residence,Nursing Home,126.47691399999968,37.690978899999706,대한민국,KOR,KOR,인천광역시,강화군,,불은면,삼동암리,강화동로,625,92,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
11700,11701,27425183,가족사랑요양원,,Family Love Nursing Home,Residence,Nursing Home,126.72631495204791,37.45521295315607,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,320-1,916-15,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
11766,11767,27117154,자경요양원,,Vigilant Nursing Home,Residence,Nursing Home,126.73483773678696,37.50834950887128,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,30,459-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
12288,12289,27228614,참마음요양원,,Chammaeum Nursing Home,Residence,Nursing Home,126.72950956571891,37.492065926416174,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,73,561-1,2022-08-24 14:41:06,의료시설||요양원||요양원-일반,False
12424,12425,27164463,다온실버케어요양원,,Daon Silver Care Nursing Home,Residence,Nursing Home,126.6988569289939,37.59250098563052,대한민국,KOR,KOR,인천광역시,서구,,당하동,,고산후로,97,1028-21,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
13200,13201,646708,강화요양원,,Ganghwa Nursing Home,Residence,Nursing Home,126.3978171999998,37.78450009999991,대한민국,KOR,KOR,인천광역시,강화군,,하점면,신봉리,인화로,28,19-3,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
13598,13599,4325883,한마음요양원,,Hanmaeum Nursing Home,Residence,Nursing Home,126.7114340317059,37.44911952735986,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,670,277,2022-08-24 14:41:06,의료시설||요양원||요양원-일반,False
14805,14806,4349174,소나무요양원,,Pine Nursing Home,Residence,Nursing Home,126.70588563985588,37.517693087669805,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,평천로142번길,50,11-12,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
15032,15033,27185547,실버벨공동생활가정,,Silverbell communal living family,Residence,Nursing Home,126.6839049877099,37.49683590773688,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로,121,84-5,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
15677,15678,27069277,새숨365노인요양센타,,Saesum 365 Senior Care Center,Residence,Nursing Home,126.73573498139596,37.46323063790037,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수로75번길,21,5-9,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
15854,15855,27184132,다솜요양원,,Dasom Nursing Home,Residence,Nursing Home,126.72361339940124,37.40124031666198,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,581,631-8,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
16679,16680,27182744,제일요양원,,Cheil Nursing Home,Residence,Nursing Home,126.66898959999995,37.44548859999978,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,학익소로,19,25,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
17154,17155,5697050,참요양복지센터,참요양센터,Cham Nursing Welfare Center,Residence,Nursing Home,126.70537741135188,37.50681219274309,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로324번길,33,120-23,2019-11-14 23:28:31,의료시설||요양원||요양원-일반,False
17727,17728,20058738,봄날인천요양원,봄날요양원,spring day incheon nursing home,Residence,Nursing Home,126.70999259999996,37.51973069999982,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,안남로,413,397-10,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
18034,18035,5725405,행복노인전문요양원,,Happy Senior Specialist nursing home,Residence,Nursing Home,126.7059278999999,37.48733779999978,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,화랑로,14,310-134,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
18225,18226,5663484,꿈꾸는요양원,,Dream Nursing Home,Residence,Nursing Home,126.65408589955092,37.41467070054087,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,솔밭로,20,811,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
18485,18486,27099974,미래간호요양원,,Future Nursing Home,Residence,Nursing Home,126.63783770999784,37.47324712356507,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,송림로,24,33-2,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
19619,19620,27184777,가족사랑삼산요양원,,Family Love Samsan Nursing Home,Residence,Nursing Home,126.73578393489792,37.508270654918,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,38,459-4,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
19708,19709,5723944,은빛요양원,,Silver Nursing Home,Residence,Nursing Home,126.70591939999996,37.487323799999785,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,화랑로,14,310-134,2022-08-24 14:41:06,의료시설||요양원||요양원-일반,False
20895,20896,27101036,더드림재가요양센터,,The Dream Home Care Center,Residence,Nursing Home,126.70755570657091,37.46593941543376,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로,935,273-1,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
21317,21318,27231757,유니실버요양원,,Unisilver Nursing Home,Residence,Nursing Home,126.65028749999992,37.4639845999998,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,독정이로,95,131-1,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
21894,21895,27162612,부모사랑요양원,,Parents Love Nursing Home,Residence,Nursing Home,126.67151849999993,37.408188299999765,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,250,936-1,2022-06-07 17:23:36,의료시설||요양원||요양원-일반,False
22039,22040,5677987,믿음요양원,,Faith Nursing Home,Residence,Nursing Home,126.67868522660692,37.43970495106726,대한민국,KOR,KOR,인천광역시,미추홀구,,문학동,,매소홀로,507,329-6,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
22727,22728,27059278,김인옥간호요양원,,Kim In-ok Nursing Home,Residence,Nursing Home,126.63781230984982,37.47314502415276,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,송림로,24,33-2,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
22796,22797,4857456,효양요양원,,Hyoyang Nursing Home,Residence,Nursing Home,126.73733364197896,37.53556740314891,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,오조산로57번길,11-1,1081-2,2022-08-24 14:41:06,의료시설||요양원||요양원-일반,False
23510,23511,3029233,고은손요양원,고은손요양원,Go Eun Son Nursing Home,Residence,Nursing Home,126.72680419289492,37.518365892779,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,261,169-16,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
24014,24015,27050624,행복한효요양원 2호점,,Happy Hyo Nursing Home 2nd Branch,Residence,Nursing Home,126.63783770999784,37.47324712356507,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,송림로,24,33-2,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
24138,24139,27361500,인천골드VIP요양원,인천골드VIP요양원,Incheon Gold VIP Nursing Home,Residence,Nursing Home,126.6357529368079,37.4720148983142,대한민국,KOR,KOR,인천광역시,중구,,경동,,참외전로,178,3-6,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
24197,24198,27152742,중구요양원,,Jung Nursing Home,Residence,Nursing Home,126.63262769999984,37.465594999999766,대한민국,KOR,KOR,인천광역시,중구,,신흥동2가,,인중로,96,50-10,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
24333,24334,5681548,효담요양원,,Hyodam Nursing Home,Residence,Nursing Home,126.65804340709488,37.601725329004125,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,163,662-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
24735,24736,1872988,삼성너싱홈요양원,삼성요양원,Samsung Nursing Home nursing home,Residence,Nursing Home,126.4436923997046,37.704912101172994,대한민국,KOR,KOR,인천광역시,강화군,,불은면,삼성리,중앙로,671,825-5,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
24807,24808,27107711,송도요양원,,Songdo Nursing Home,Residence,Nursing Home,126.67239029999992,37.41663239999978,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청능대로,54,53-3,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
25051,25052,3269369,서구 효요양원,사랑채노인공동생활가정1호,Sarangchae Nursing Home,Residence,Nursing Home,126.67355027125691,37.59645364659482,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로64번길,66,1006-12,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
25101,25102,27328715,주안애요양원,,Juanae Nursing Home,Residence,Nursing Home,126.68311509999997,37.46310609999979,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안중로50번길,3,109-3,2022-06-13 10:44:13,의료시설||요양원||요양원-일반,False
26501,26502,1029787,영락요양원,,Youngnak Nursing Home,Residence,Nursing Home,126.65876929999992,37.41453340000145,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로,64,798,2019-08-08 23:03:25,의료시설||요양원||요양원-일반,False
26549,26550,27185006,지평재활요양원,,Jipyeong Rehabilitation Center,Residence,Nursing Home,126.73309739697692,37.5084044997357,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,14,462-1,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
26683,26684,27194825,새봄요양원,,Saebom Nursing Home,Residence,Nursing Home,126.73854900831896,37.53903798288909,대한민국,KOR,KOR,인천광역시,계양구,,용종동,,오조산로,91,212-4,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
26796,26797,27069397,하나실버케어,,Hana Silver Care,Residence,Nursing Home,126.73352962042495,37.50723037840969,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,길주로,639,464-3,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
27047,27048,27160177,참사랑요양원,,Chamsarang Nursing Home,Residence,Nursing Home,126.6601420328199,37.60326290897033,대한민국,KOR,KOR,인천광역시,서구,,마전동,,검단로,505,932-1,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
27197,27198,1850425,인천사랑노인요양원,인천사랑요양병원,Incheon love elderly nursing home,Residence,Nursing Home,126.63311989468286,37.45058932444777,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,낙섬서로,3-14,627-422,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
27369,27370,27050148,모심과 돌봄 요양원,,Nursing home with mother-in-law and care,Residence,Nursing Home,126.67640548341488,37.41816470596076,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청명로,34,496,2022-05-01 12:37:48,의료시설||요양원||요양원-일반,False
27445,27446,27182733,포도나무요양원,,Vine Nursing Home,Residence,Nursing Home,126.6728414384159,37.44363911083787,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,주승로,22,649,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
27763,27764,27069119,간호사랑요양원,,nurse and nursing home,Residence,Nursing Home,126.7216581541929,37.5277343465446,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,효서로,230,444-1,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
28960,28961,3268468,서천노인요양원,서천요양원,Seocheon Nursing Home for the Elderly,Residence,Nursing Home,126.68527899999992,37.54577599999983,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,심곡로132번길,22,14-7,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
29535,29536,6319032,인천영락전문요양센터,,Incheon Youngnak Specialized Nursing Center,Residence,Nursing Home,126.65913582766893,37.41432778078426,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로,60,798-11,2021-12-23 15:49:18,의료시설||요양원||요양원-일반,False
31007,31008,20201703,조은재가요양센터,조은요양센터,Jo Eunjae Home Care Center,Residence,Nursing Home,126.68647995448396,37.4869218300631,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,고래울로37번길,6-1,352-10,2021-12-23 15:49:18,의료시설||요양원||요양원-일반,False
31150,31151,1872497,사랑마루 부평점,,Sarangmaru Bupyeong,Residence,Nursing Home,126.73209180727893,37.51795506865131,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,장제로,361,52-5,2019-11-14 23:09:16,의료시설||요양원||요양원-일반,False
32321,32322,517756,인천신생전문요양원,인천신생요양원,Incheon New Professional Nursing Home,Residence,Nursing Home,126.67067716044497,37.58325425399914,대한민국,KOR,KOR,인천광역시,서구,,백석동,,드림로,284-4,86-11,2022-06-29 11:25:35,의료시설||요양원||요양원-일반,False
32814,32815,611005,덕화요양원,,Deokhwa Nursing Home,Residence,Nursing Home,126.65399470000284,37.41499990000245,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로109번길,95,822,2022-07-05 16:31:26,의료시설||요양원||요양원-일반,False
33071,33072,4344388,예수사랑노인복지원,예수사랑복지원,jesus love Senior Welfare Center,Residence,Nursing Home,126.72314361142791,37.430433964780256,대한민국,KOR,KOR,인천광역시,남동구,,수산동,,덕골로,117-1,529-8,2022-08-08 10:29:42,의료시설||요양원||요양원-일반,False
33606,33607,4447303,한사랑케어,,Hansarang Care,Residence,Nursing Home,126.71963869760192,37.50427589459749,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,원적로471번길,26-26,61-14,2019-11-14 23:25:13,의료시설||요양원||요양원-일반,False
34166,34167,3801949,우림실버홈,,Woorim Silver Home,Residence,Nursing Home,126.49236959999986,37.652861799999854,대한민국,KOR,KOR,인천광역시,강화군,,길상면,길직리,강화동로,151,1068-1,2018-07-18 16:16:15,의료시설||요양원||요양원-일반,False
34875,34876,1870643,남동노인요양센터,만수노인요양센터,Namdong Elderly Care Center,Residence,Nursing Home,126.73331279999996,37.44671229999978,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,소래로,640,1077,2022-08-18 12:00:50,의료시설||요양원||요양원-일반,False
35142,35143,2612028,참사랑소망의집,소망의집,House of Tragedy and Hope,Residence,Nursing Home,126.70425702404788,37.528210140017805,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,마장로559번길,8,578-12,2022-09-22 0:00:00,의료시설||요양원||요양원-일반,False
35377,35378,3028721,검단희망요양원,희망요양원,Geomdan Hope Nursing Home,Residence,Nursing Home,126.65837190046392,37.60152540015662,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,159,662-6,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
35702,35703,27103920,삼성요양원,,Samsung Nursing Home,Residence,Nursing Home,126.72804624274092,37.540948414008405,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,주부토로,525,948-2,2022-08-12 13:15:03,의료시설||요양원||요양원-일반,False
35711,35712,3074947,늘사랑전문요양원,늘사랑요양원,Always Love Specialized Nursing Home,Residence,Nursing Home,126.73510692563195,37.5083397223785,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,32,459-2,2022-08-16 16:52:33,의료시설||요양원||요양원-일반,False
