,name,name_eng,problems,category,subcategory
5929,르노코리아자동차 서인천대리점,Renault Korea Automobile  Seoincheon Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
15487,현대자동차 선학대리점,Hyundai Motor Seonhak Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
17300,현대자동차 송도국제지점,Hyundai Motor Songdo International Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
20688,르노코리아자동차 남인천대리점,Renault Korea Automobile  Namincheon Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
20996,쌍용자동차 인천연수영업소,Ssangyong Motor  Incheon Training Office,"('연수', 'Yeonsu')",Shops and Service,Auto Dealership
33403,르노코리아자동차 남동대리점,Renault Korea Automobile Mansu Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
33636,현대자동차 작전대리점,Hyundai Motor Jakjeon Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
34821,현대자동차 구월지점,Hyundai Motor Guwol Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
34994,현대자동차 남동대리점,Hyundai Motor Company Namdong Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
37158,현대자동차 백운지점,Hyundai Motor Baegun Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
37249,쌍용자동차 부평중앙대리점,Ssangyong Motor  Bupyeong Central Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
40806,현대자동차 부평동부대리점,Hyundai Motor Bupyeong Dongbu Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
40895,기아 학익대리점,Kia Hakik Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
41454,쉐보레 북주안전시장,Chevrolet Bukju Safety Market,"('전시장', 'Exhibit')",Shops and Service,Auto Dealership
42862,현대자동차 강화지점,Hyundai Motor Ganghwa Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
43999,현대자동차 (주)계산지점,"Hyundai Motor Co., Ltd. Gyesan Branch","('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
44743,바바리안모터스 MINI 인천구월전시장,Bavarian Motors MINI Incheon Guwol Exhibition Center,"('바바리안', 'Barbarian')",Shops and Service,Auto Dealership
46433,현대자동차 북인천대리점,Hyundai Motor North Incheon Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
47844,현대자동차 청라국제지점,Hyundai Motor Cheongna International Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
49396,쎄미시스코 SMART EV 인천대리점,Semicisco SMART EV Incheon agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
49573,현대자동차 부평지점,Hyundai Motor Bupyeong Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
58446,현대자동차 연수지점,Hyundai Motor Yeonsu Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
65353,기아 작전지점,Kia Operation Point,"('지점', 'Branch')",Shops and Service,Auto Dealership
69629,기아 계향대리점,Kia Gyehyang dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
76396,기아 산곡대리점,Kia Sangok dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
80301,기아 간석대리점,Kia Ganseok Dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
81434,바바리안모터스 BMW중고차 인천전시장,Bavarian Motors BMW Used Car Incheon Exhibition Center,"('바바리안', 'Barbarian')",Shops and Service,Auto Dealership
88615,르노코리아자동차 계양대리점,Renault Korea Automobile Gyeyang Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
89082,현대자동차 효성대리점,Hyundai Motor Hyosung Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
91052,현대자동차 현대거북대리점,Hyundai Motor Hyundai Turtle Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
93312,현대자동차 서창대리점,Hyundai Motor Seochang Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
94192,기아문학대리점,Kia Literature Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
94336,르노코리아자동차연수대리점,Renault Korea Automobile Training Agency,"('연수', 'Yeonsu')",Shops and Service,Auto Dealership
96257,기아 검단대리점,Kia Geomdan Dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
99346,쌍용자동차 인천신현대리점,Ssangyong Motor  Incheon Shin Hyundai,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
101201,르노코리아자동차 청라대리점,Renault Korea Automobile  Cheongna Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
101506,기아 청천대리점,Kia Cheongcheon dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
105936,기아 삼산대리점,Kia Samsan Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
110153,르노코리아자동차 논현대리점,Renault Korea Automobile  Non-Hyundai Branch,"('논현', 'Nonhyeon')",Shops and Service,Auto Dealership
110222,현대자동차 남구판매대리점,Hyundai Motor Nam-gu Sales Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
114947,기아 계산지점,Kia Accounting Point,"('지점', 'Branch')",Shops and Service,Auto Dealership
115232,현대자동차 연수중앙대리점,Hyundai Motor Yeonsu Central Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
115467,르노코리아자동차 검단대리점,Renault Korea Automobile  Geomdan Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
118848,현대자동차 부흥대리점,Hyundai Motor Revival Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
122143,기아 남주안대리점,Kia Namjuan Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
122855,기아 간석사거리대리점,Kia Ganseok Intersection,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
123772,현대자동차 논현지점,Hyundai Motor Nonhyeon Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
123869,현대자동차 제물포대리점,Hyundai Motor Jemulpo Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
130658,기아 주공대리점,Kia Jugong dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
130794,현대자동차 검단중앙지점,Hyundai Motor Geomdan Jungang Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
131116,현대자동차 가좌지점,Hyundai Motor Gajwa Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
137683,바바리안모터스 BMW 인천전시장,Bavarian Motors BMW Incheon Exhibition Center,"('바바리안', 'Barbarian')",Shops and Service,Auto Dealership
138138,현대자동차 청천대리점,Hyundai Cheongcheon Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
138209,현대자동차 검단대리점,Hyundai Motor Company Geomdan Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
138588,현대자동차 부평남부지점,Hyundai Motor Bupyeong Nambu Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
139828,현대자동차 송도대리점,Hyundai Motor Songdo Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
140345,기아 송도대리점,Kia Songdo Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Dealership
143457,현대자동차 인천택시지점,Hyundai Motor Incheon Taxi Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
143914,현대자동차 만수지점,Hyundai Motor Mansu Branch,"('현대자동차', 'Hyundai Motors')",Shops and Service,Auto Dealership
