,name,name_eng,problems,category,subcategory
101,태화자동차공업사,Taehwa Motor Company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
1468,강인설비공업사,"Kangin Equipment Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
1933,현대자동차정비공업사,Hyundai Motor Company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
2548,카포스 석남자동차,Carpos Seoknam Automobile,"('포스', 'Force')",Shops and Service,Auto Maintenance
3969,금손광택,golden hand luster,"('광택', 'Polish')",Shops and Service,Auto Maintenance
3990,지성자동차공업사,Jisung Automobile,"('공업', 'Industry')",Shops and Service,Auto Maintenance
4284,타스자동차공업사,"TASS Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
4382,신현대기아공업사,New Hyundai Kia Ind.,"('공업', 'Industry')",Shops and Service,Auto Maintenance
4456,카포스화인자동차공업사,"Kapos Fine Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
4564,더샤인광택스팀세차,The Shine Gloss Steam Car Wash,"('광택', 'Polish')",Shops and Service,Auto Maintenance
4631,법원자동차공업사,Court Automobile Company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
5641,지후자동차공업사,"Jihoo Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
5789,플레쥬광택,Plage Gloss,"('광택', 'Polish')",Shops and Service,Auto Maintenance
5790,윤석자동차공업사,"Yunseok Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
5877,허브자동차공업사,Herb Automobile Company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
5912,우리자동차공업사,Woori Automobile,"('공업', 'Industry')",Shops and Service,Auto Maintenance
6266,엄지자동차공업사,"Umji Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
6400,영광자동차공업사,"Yeonggwang Automobile Co., Ltd.","('공업', 'Industry')",Shops and Service,Auto Maintenance
6546,대명자동차공업사,Daemyung Automobile,"('공업', 'Industry')",Shops and Service,Auto Maintenance
6665,대원공업사,Daewon Industries,"('공업', 'Industry')",Shops and Service,Auto Maintenance
7495,월드카서비스공업사,World car service company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
7655,프로광택,pro gloss,"('광택', 'Polish')",Shops and Service,Auto Maintenance
7674,코스모스자동차정비공업사,Cosmos Automobile Maintenance Company,"('공업', 'Industry')",Shops and Service,Auto Maintenance
8101,한라오토정비,Halla Auto Maintenance,"('정비', 'Repair')",Shops and Service,Auto Maintenance
