,name,name_eng,problems,category,subcategory
3751,조이앤카 인천점,Joy & Car,"('인천', 'Incheon')",Shops and Service,Auto Parts
8452,현대모비스현대부품대리점 신진흥상사,"Hyundai Mobis Hyundai Parts Distributor Shinjin Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
10140,현대모비스현대부품대리점 한성상사,Hyundai Mobis Hyundai Parts Distributor Hansung Trading,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
10306,신진차유리,Shinjin Cha Yuri,"('유리', 'Glass')",Shops and Service,Auto Parts
13448,현대모비스현대부품대리점대성상사,"Hyundai Mobis Hyundai Parts Distributor Daesung Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
14898,대한차유리,Daehan Cha Yuri,"('유리', 'Glass')",Shops and Service,Auto Parts
15282,현대카오디오 인천계양대리점,Hyundai Car Audio Incheon Gyeyang Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
17339,두산인프라코어지정부품대리점엔진,Doosan Infracore Designated Parts Agency Engine,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
20258,현대모비스현대부품대리점강화상사,"Hyundai Mobis Hyundai Parts Distributor Ganghwa Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
20408,현대모비스현대부품대리점 에이에스상사,Hyundai Mobis Hyundai Parts Distributor AES Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
28116,현대모비스현대부품대리점 대원상사,"Hyundai Mobis Hyundai Parts Distributor Daewon Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
28850,현대모비스현대부품대리점 한신공사,Hyundai Mobis Hyundai Parts Distributor Hanshin Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
33763,현대모비스현대부품대리점 신우상사,Hyundai Mobis Hyundai Parts Distributor Shinwoo Trading,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
33834,현대모비스기아부품대리점강화부품센타,Hyundai Mobis and Kia Parts Agency Enhanced Parts Center,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
34880,두산 산업차량 지정부품대리점 경동중기,Doosan Industrial Vehicles Designated Part Distributor Kyungdong Middle Ages,"('부품', 'Parts')",Shops and Service,Auto Parts
36606,현대모비스기아부품대리점인영상사,Hyundai Mobis and Kia Parts Distributor Imyeongsa,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
37388,노버스코리아 인천남부대리점,Norverse Korea Incheon Nambu Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
37869,현대모비스현대부품대리점 현대부품상사,"Hyundai Mobis Hyundai Parts Distributor Hyundai Parts Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
38513,쉐보레부품대리점 정수상사,"Chevrolet Parts Distributor Jeongsu Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
39604,현대모비스현대부품대리점신영부품상사,"Hyundai Mobis Hyundai Parts AgencyShinyoung Parts Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
39820,현대모비스현대부품대리점진영상사,Hyundai Mobis Hyundai Parts Agency,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
41054,쉐보레부품대리점지엠종합상사,Chevrolet parts dealer GM general trading company,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
43754,현대모비스현대부품대리점 서림오토,Hyundai Mobis Hyundai Parts Distributor Seorim Auto,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
47994,현대모비스현대부품대리점형제상사,Hyundai Mobis Hyundai Parts Distributor Brothers,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
52942,현대모비스기아부품대리점연수상사,Hyundai Mobis and Kia parts agency training company,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
57920,현대모비스기아부품대리점서부기아,Hyundai Mobis Kia Parts Dealer West Kia,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
59254,현대모비스현대부품대리점 우림상사,"Hyundai Mobis Hyundai Parts Distributor Woorim Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
60219,현대모비스기아부품대리점삼환상사,Hyundai Mobis and Kia Parts Distributor Samhwansang,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
61225,쉐보레 부품대리점 영진상사,Chevrolet parts dealer Youngjin Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
62057,르노코리아자동차 지정부품대리점,Renault Korea Automobile Designated Parts Dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
66649,현대모비스 현대부품대리점 태양상사,Hyundai Mobis Hyundai Parts Distributor Taeyang Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
75657,현대모비스 기아부품대리점동아상사,"Hyundai Mobis, Kia Parts Agency, Dong-A Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
