,name,name_eng,problems,category,subcategory
268,IBK기업은행 송림동,IBK Industrial Bank Songnim-dong,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
2363,부평새마을금고삼산2동지점,Bupyeong Saemaul Geumgo Samsan 2-dong Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
2477,학익새마을금고 2지점,Hakik Saemaul Geumgo 2 Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
3061,새마을금고 앰코테크놀로지코리아 부평점,Saemaul Geumgo Amkor Technology Korea Bupyeong Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
4199,송도새마을금고 본점,Songdo Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
5477,남동새마을금고 동암점,Namdong Saemaul Geumgo Dongam Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
6933,부평제일새마을금고 본점,Bupyeong Jeil Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
7405,송북새마을금고율목지점,Songbuk Saemaul Geumgo Yulmok Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
7444,관교문학동새마을금고 관교지점,Gwangyo Munhaung-dong Saemaeul Geumgo Gwangyo Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
9326,온누리새마을금고 신동아지점,Onnuri Saemaul Geumgo Shindonga Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
9445,계산새마을금고 귤현지점,Gyesan Saemaul Geumgo Gyeoljeon Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
13411,새인천새마을금고 본점,Yonghyeon 3-dong Saemaul Geumgo  Head Office,"('인천', 'Incheon')",Shops and Service,Bank
14169,송림새마을금고로타리지점,Songrim Saemaeul Geumgo Rotary Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
14247,연수새마을금고 청학지점,Yeonsu Saemaul Geumgo Cheonghak Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
14524,신한은행 인천상수도사업본부출장소,Shinhan Bank Incheon Waterworks Business Headquarters,"('출장소', 'Convenience Branch')",Shops and Service,Bank
14860,평화새마을금고 화수지점,Peace Saemaul Geumgo Hwasu Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
15760,계산새마을금고하나지점,Gyesan Saemaul Geumgo Hana Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
16290,IBK기업은행 남동중견기업센터,IBK Industrial Bank Southeast Mid-sized Business Center,"('남동', 'Namdong')",Shops and Service,Bank
17256,부평제일새마을금고 백운지점,Bupyeong Jeil Saemaul Geumgo Baegun Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
18119,동인천새마을금고 본점,Saemaul Geumgo-dong Incheon Branch,"('본점', 'Main Branch')",Shops and Service,Bank
18177,IBK기업은행 남동공단,IBK Industrial Bank Namdong Industrial Complex,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
18276,도화3동새마을금고,Dohwa 3-dong Saemaeul Geumgo,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
19049,IBK기업은행 인천원당,"IBK Industrial Bank of Korea per 1,000 won","('인천', 'Incheon')",Shops and Service,Bank
19871,계산새마을금고빛길지점,Gyesan Saemaul Geumgo Bitgil Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
20656,부평새마을금고 본점,Bupyeong Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
22059,신한은행 인천논현역지점,Shinhan Bank Incheon Nonhyeon Station,"('지점', 'Branch')",Shops and Service,Bank
22340,도화2동새마을금고 본점,Dohwa 2-dong Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
22864,북인천새마을금고제1지점,Bukincheon Saemaul Geumgo 1 Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
23014,정서진새마을금고 본점,Incheon West Saemaul Geumgo  Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
28578,계양새마을금고 병방지점,Gyeyang Saemaeul Geumgo Bill Prevention Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
29003,IBK기업은행 작전역,IBK Industrial Bank Jakjeon Station,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
30158,IBK기업은행 갈산역,IBK Industrial Bank Galsan Station,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
30312,서인천새마을금고청라지점,Seoincheon Saemaul Geumgo Cheongna Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
31190,인주새마을금고 본점,Inju Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
31526,주안새마을금고 5동지점,Juan Saemaul Geumgo 5 Dong Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
32182,도화1동새마을금고 수봉공원점,Dohwa 1-dong Saemaeul Geumgo Subong Park Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
32590,영종새마을금고 운서지점,Yeongjong Saemaul Geumgo Unseo Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
32762,산곡십정새마을금고 철마지점,Sangok Sipjeong Saemaul Geumgo Cheolma Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
32877,도화1동새마을금고 본점,Dohwa 1-dong Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
33618,부평동부새마을금고부개2지점,Bupyeong East Saemaul Geumgo Bugae 2 Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
34169,제물포새마을금고 숭의3동점,Jemulpo Saemaul Geumgo Sungui 3-dong,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
34364,인주새마을금고 양지점,Inju Saemaul Geumgo Yang Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
34975,미추홀새마을금고 본점,Michuhol Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
38086,NH농협은행 옹진군청출장소,NH Nonghyup Bank Ongjin-gun Office,"('출장소', 'Convenience Branch')",Shops and Service,Bank
38256,우리은행 인하대학교 출장소,Woori Bank Inha University Branch Office,"('출장소', 'Convenience Branch')",Shops and Service,Bank
39315,주안새마을금고 본점,Juan Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
39523,관교문학동새마을금고 선학지점,Gwangyo Munhak-dong Saemaeul Geumgo Seonhak Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
42157,희망새마을금고금송지점,Hope Saemaul Geumgo Geumsong Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
42303,석바위새마을금고1지점,Seokbawi Saemaul Geumgo 1 Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
43423,산곡십정새마을금고 부흥지점,Sangok Sipjeong Saemaul Geumgo revival branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
44046,상인천새마을금고구월지점,Sangincheon Saemaul Geumgo Guwol Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
45858,신한은행 인천도시공사출장소,Shinhan Bank Incheon City Corporation Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
46052,KB국민은행 한국지엠출장소,KB Kookmin Bank GM Korea Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
46079,송도새마을금고 센트럴파크지점,Songdo Saemaul Geumgo Central Park Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
46131,산곡십정새마을금고 산곡지점,Sangok Sipjeong Saemaeul Geumgo Sangok Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
47426,만수새마을금고 본점,Mansu Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
48226,IBK기업은행 만수동,IBK Industrial Bank of Mansu-dong,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
48571,하나은행 신현동출장소,Hana Bank Shinhyeon-dong Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
49970,NH농협은행 강화군청출장소,NH Nonghyup Bank Ganghwa-gun Office Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
50357,서인천새마을금고 본점,Seoincheon Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
51177,부평동부새마을금고 본점,Bupyeong Dongbu Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
51393,정서진새마을금고 청라지점,Incheon Seobu Saemaul Geumgo Cheongna Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
51541,서인천새마을금고 연희지점,Seoincheon Saemaul Geumgo Yeonhui Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
52511,강화새마을금고본점,Ganghwa Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
52725,송화새마을금고송현지점,Songhwa Saemaeul Geumgo Songhyeon Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
53409,부평동부새마을금고 부개1점,Bupyeong Dongbu Saemaul Geumgo Bugae 1 point,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
55095,우리은행 석남동지점,Woori Bank Seoknam-dong Branch,"('남동', 'Namdong')",Shops and Service,Bank
57086,하나은행 가좌동출장소,Hana Bank Gajwa-dong Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
57176,신한은행 부평중앙지점,Shinhan Bank Bupyeong Central Branch,"('중앙', 'Jungang')",Shops and Service,Bank
57939,부평새마을금고 삼산1동점,Bupyeong Saemaul Geumgo Samsan 1-dong,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
58707,계양새마을금고 본점,Gyeyang Saemaul Geumgo Headquarters,"('본점', 'Main Branch')",Shops and Service,Bank
59152,인주새마을금고논현지점,Inju Saemaul Geumgo Nonhyeon Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
59630,서인천새마을금고 검암지점,Seoincheon Saemaul Geumgo Geomam Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
60269,하나은행 인하대병원출장소,Hana Bank Inha University Hospital Branch,"('출장소', 'Convenience Branch')",Shops and Service,Bank
60626,구월남촌새마을금고 남촌지점,Guwol Namchon Saemaul Geumgo Namchon Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
60644,IBK기업은행 석남동,IBK Industrial Bank Seoknam-dong,"('남동', 'Namdong')",Shops and Service,Bank
61589,남동새마을금고 주안지점,Namdong Saemaul Geumgo Juan Branch,"('새마을금고', 'MG Community Credit Cooperatives')",Shops and Service,Bank
62561,IBK기업은행 인천북항,IBK Industrial Bank Incheon North Port,"('기업은행', 'Industrial Bank of Korea')",Shops and Service,Bank
