,name,name_eng,problems
750,토종한우전문점,Local Korean beef restaurant,"[('한우', 'Hanwoo')]"
1107,무궁화정육점,Mugunghwa Butcher Shop,"[('정육', 'Fresh meat')]"
1606,부원정육점,Buwon Butcher Shop,"[('정육', 'Fresh meat')]"
1847,최고집착한정육,The most obsessive meat,"[('정육', 'Fresh meat')]"
2578,도매정육점,wholesale butcher shop,"[('정육', 'Fresh meat')]"
2821,환희정육도매,Hwanhee Meat Wholesale,"[('정육', 'Fresh meat')]"
3077,소문난정육,famous meat,"[('정육', 'Fresh meat')]"
3314,대동정육점,Daedong Butcher Shop,"[('정육', 'Fresh meat')]"
3636,통큰정육점,Tongkeun Butcher,"[('정육', 'Fresh meat')]"
5773,목우촌웰빙마을 인천송도점,Mokwoochon Wellness Village Incheon Songdo Branch,"[('인천', 'Inchone')]"
6406,고향생고기정육점,Hometown raw meat butcher shop,"[('정육', 'Fresh meat')]"
6457,두총각네축산 구월2호점,Two Bachelor's Livestock Farm Guwol 2nd Branch,"[('총각', 'Chonggak')]"
6560,싱싱축산정육점,fresh livestock butcher shop,"[('정육', 'Fresh meat')]"
7064,무등정육점,Mudeung Butcher,"[('정육', 'Fresh meat')]"
7548,한우고기공판장,Korean beef  market,"[('한우', 'Hanwoo'), ('고기', 'Meat')]"
7694,인천축산,Incheon Livestock,"[('인천', 'Inchone')]"
7890,한국계란유통협회 인천지부,Korea Egg Distribution Association Incheon Branch,"[('인천', 'Inchone')]"
8492,우가돈정육점,Ugadon butcher shop,"[('정육', 'Fresh meat')]"
8526,알뜰정육점,thrifty butcher shop,"[('정육', 'Fresh meat')]"
8796,신흥정육점,Shinheung Butcher,"[('정육', 'Fresh meat')]"
8947,한우정육백화점,Hanwoo Beef Department Store,"[('정육', 'Fresh meat')]"
9183,고기총각,meat bachelor,"[('총각', 'Chonggak')]"
9901,신신수입쇠고기전문점,Newly imported beef restaurant,"[('고기', 'Meat')]"
9914,싱싱정육점,fresh butcher shop,"[('정육', 'Fresh meat')]"
10312,한우마을정육점,Hanwoo Village Butcher Shop,"[('정육', 'Fresh meat')]"
11598,코오롱정육점,Kolon Butcher Shop,"[('정육', 'Fresh meat')]"
11615,인천광역계란유통센터,Incheon Metropolitan Egg Distribution Center,"[('인천', 'Inchone')]"
13203,뚱보섭이네정육점,Fat Seop's Butcher Shop,"[('정육', 'Fresh meat')]"
13543,강남한우직판장,Gangnam Korean Beef Direct Market,"[('한우', 'Hanwoo')]"
14334,현대정육점,Hyundai Butcher,"[('정육', 'Fresh meat')]"
14634,삼보정육점,Sambo Butcher Shop,"[('정육', 'Fresh meat')]"
14859,우리총각네정육점 작전점,Our Bachelor's Butcher's Operation Store,"[('우리', 'Uri'), ('정육', 'Fresh meat'), ('총각', 'Chonggak')]"
14971,정미고깃간한우한돈전문,Specialized in Korean beef and pork,"[('한우', 'Hanwoo')]"
14999,한마음정육점,Hanmaeum Butcher,"[('정육', 'Fresh meat')]"
15486,한국계란유통협회 인천지부,Korea Egg Distribution Association Incheon Branch,"[('인천', 'Inchone')]"
15648,싱싱한우촌,Fresh Korean Beef Village,"[('한우', 'Hanwoo')]"
16360,누리미트,nurimit,"[('미트', 'Meat')]"
16369,영춘정육점,Youngchun Butcher,"[('정육', 'Fresh meat')]"
16720,시장정육점,market butcher shop,"[('정육', 'Fresh meat')]"
17017,송림정육점,Songlim Butcher Shop,"[('정육', 'Fresh meat')]"
18694,풍경채축산,landscape harvesting,"[('축산', 'Livestock')]"
19383,유천정육점,Yucheon Butcher Shop,"[('정육', 'Fresh meat')]"
19543,태산정육점,Taesan Butcher Shop,"[('정육', 'Fresh meat')]"
19557,우리동네고깃간,Our Neighborhood Meat Gan,"[('우리', 'Uri')]"
20934,참조은한우정육점,See Eun Hanwoo Butcher Shop,"[('정육', 'Fresh meat')]"
21234,아빠정육점,Dad's Butcher,"[('정육', 'Fresh meat')]"
21406,현대정육점,Hyundai Butcher,"[('정육', 'Fresh meat')]"
21640,우리축산물직거래장터,Woori Livestock Products Direct Trading Market,"[('우리', 'Uri')]"
21892,골드축산정육점,Gold Livestock butcher shop,"[('정육', 'Fresh meat')]"
22628,시장정육점,market butcher shop,"[('정육', 'Fresh meat')]"
22817,명품한우정육점,Luxury Korean Beef Butcher Shop,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
24235,왕손정육점,Wangson Butcher Shop,"[('정육', 'Fresh meat')]"
24615,고기조아정육점,Meat Joa Butcher Shop,"[('정육', 'Fresh meat')]"
25214,정직한총각네축산석남점,Honest Bachelor 4 Livestock Farm Seoknam Branch,"[('총각', 'Chonggak')]"
25279,금강산정육점,Geumgangsan Butcher Shop,"[('정육', 'Fresh meat')]"
25335,두총각네축산 구월점,Two Bachelors Four Livestock  Guwol Branch,"[('총각', 'Chonggak')]"
25347,인하정육,Inha Meat,"[('정육', 'Fresh meat')]"
27156,광명한우촌,Gwangmyeong Korean Beef Village,"[('한우', 'Hanwoo')]"
27497,대덕정육점,Daedeok Butcher Shop,"[('정육', 'Fresh meat')]"
28167,인천정육백화점,Incheon Butcher's Department Store,"[('인천', 'Inchone'), ('정육', 'Fresh meat')]"
29122,참조은정육점,See Eun Butcher,"[('정육', 'Fresh meat')]"
29656,천지정육점,Cheonji Butcher Shop,"[('정육', 'Fresh meat')]"
30469,원풍정육점,Wonpung Butcher,"[('정육', 'Fresh meat')]"
31143,한우리축산,Hanwoori Livestock,"[('우리', 'Uri')]"
32353,세이브정육,save meat,"[('정육', 'Fresh meat')]"
32826,형아고기정육점,hyungah butcher shop,"[('고기', 'Meat'), ('정육', 'Fresh meat')]"
33056,조아미트,joamit,"[('미트', 'Meat')]"
33731,충남정육점,Chungnam Butcher Shop,"[('정육', 'Fresh meat')]"
34120,대영정육점,Daeyoung Butcher Shop,"[('정육', 'Fresh meat')]"
34646,대원정육점,Daewon Butcher Shop,"[('정육', 'Fresh meat')]"
36081,대명정육축산,Daemyung Butchers,"[('축산', 'Livestock'), ('정육', 'Fresh meat')]"
36150,윤성정육점,Yunseong Butcher,"[('정육', 'Fresh meat')]"
37018,총각네정육점,Bachelor's butcher shop,"[('정육', 'Fresh meat'), ('총각', 'Chonggak')]"
37279,단 고기정육점,sweet butcher shop,"[('고기', 'Meat'), ('정육', 'Fresh meat')]"
37438,에이미트인천남부총판,Amit Incheon Southern Distributor,"[('미트', 'Meat'), ('인천', 'Inchone')]"
37808,삼선정육점,Samseon Butcher,"[('정육', 'Fresh meat')]"
38369,송이한우미트,Songi Korean Beef Meat,"[('한우', 'Hanwoo')]"
38646,솔터우물정육점,salt well butcher shop,"[('정육', 'Fresh meat')]"
38693,신신정육점,Shinshin butcher shop,"[('정육', 'Fresh meat')]"
39151,우리한우도매센터 청천점,Woori Korean Beef Wholesale Center Cheongcheon Branch,"[('한우', 'Hanwoo'), ('우리', 'Uri')]"
39211,우리한우우리돼지,"Our Korean Beef, Our Pig","[('한우', 'Hanwoo'), ('우리', 'Uri')]"
39992,서인천축산,Seoincheon Livestock,"[('인천', 'Inchone')]"
40127,주영정육점,Jooyoung Butcher Shop,"[('정육', 'Fresh meat')]"
40988,대동생고기정육점,Daedongsaengmeat butcher shop,"[('정육', 'Fresh meat')]"
41530,홍성광천한우,Hongseong Gwangcheon Korean Beef,"[('한우', 'Hanwoo')]"
42032,유천정육,Yoochun Butcher,"[('정육', 'Fresh meat')]"
42495,승리정육점,Victory Butcher,"[('정육', 'Fresh meat')]"
42768,신개념한우직판장 연안점,New concept Korean beef direct market Yeonan Branch,"[('한우', 'Hanwoo')]"
42983,아빠정육점,Dad's Butcher,"[('정육', 'Fresh meat')]"
43687,믿음정육점,Faith Butcher,"[('정육', 'Fresh meat')]"
43923,서호미트,Seohomet,"[('미트', 'Meat')]"
44008,조아미트,joamit,"[('미트', 'Meat')]"
44061,정육마트,Butcher Mart,"[('정육', 'Fresh meat')]"
44950,총각네정육점 스타미트,Bachelor's butcher shop Star Meat,"[('정육', 'Fresh meat'), ('총각', 'Chonggak')]"
45222,두총각네축산 만수점,"Two Bachelors, Four Livestock","[('총각', 'Chonggak')]"
45475,두총각네축산학익점,Two Bachelors Four Livestock Hakikjeom,"[('총각', 'Chonggak')]"
45668,으뜸정육점,top butcher shop,"[('정육', 'Fresh meat')]"
46299,찬승훈정육점,Chan Seung-hoon Butcher Shop,"[('정육', 'Fresh meat')]"
46552,우리동네고기촌,Our Neighborhood Meat Village,"[('우리', 'Uri')]"
48130,올바른 정육점,the right butcher,"[('정육', 'Fresh meat')]"
48210,시민정육점,Citizen Butcher Shop,"[('정육', 'Fresh meat')]"
48430,신포정육점,SinpoButcher Shop,"[('정육', 'Fresh meat')]"
48493,대영정육마트,Daeyoung Meat Mart,"[('정육', 'Fresh meat')]"
48690,맑은농장 정육점,Sunny Farm Butcher,"[('정육', 'Fresh meat')]"
48695,두총각네축산 검암점,Two Bachelors Four Livestock  Geomam Branch,"[('총각', 'Chonggak')]"
49382,마니마니정육점,Mani Mani butcher shop,"[('정육', 'Fresh meat')]"
50027,한우리축산,Hanwoori Livestock,"[('우리', 'Uri')]"
51324,오뚜기정육점,Ottogi Butcher Shop,"[('정육', 'Fresh meat')]"
51657,선진포크 인천북부대리점,Sunjin Fork  Incheon Bukbu Agency,"[('인천', 'Inchone')]"
51673,까치정육점,magpie butcher shop,"[('정육', 'Fresh meat')]"
52303,부흥정육점,Buheung Butcher Shop,"[('정육', 'Fresh meat')]"
52533,정일품정육점,Jung Il Pum Butcher Shop,"[('정육', 'Fresh meat')]"
52682,남대문정육점,NamdaemunButcher Shop,"[('정육', 'Fresh meat')]"
52722,그린정육,green meat,"[('정육', 'Fresh meat')]"
52952,미추홀축산물도소매 동인천점,Michuhol Livestock Wholesale and Retail  Dongincheon Branch,"[('인천', 'Inchone')]"
53738,연안정육점,Coastal Butcher Shop,"[('정육', 'Fresh meat')]"
55533,우리돈축산정육점,Woori pork butcher shop,"[('축산', 'Livestock'), ('우리', 'Uri'), ('정육', 'Fresh meat')]"
55812,제이미트,Jamiet,"[('미트', 'Meat')]"
56569,정육돈쓰리,3 meat pork,"[('정육', 'Fresh meat')]"
