,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
23495,23496,6212295,인천민속과자,,Incheon Folk Sweets,Shops and Service,Candy Store,126.72521580408896,37.54279632350342,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,주부토로543번길,27,953-5,2022-05-01 12:37:48,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
28405,28406,27234826,세계과자할인점,,World confectionery discount store,Shops and Service,Candy Store,126.64993030219748,37.42601377762131,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,한나루로105번길,68,637-1,2022-08-16 16:52:33,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
29610,29611,5703887,글로리아 만수점,,Gloria Mansu,Shops and Service,Candy Store,126.72849206296192,37.46098975447969,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수서로37번길,47,109-64,2022-08-24 14:41:06,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
48885,48886,3337773,민속과자,,folk sweets,Shops and Service,Candy Store,126.65329497461092,37.45844586959606,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,용삼길,69-1,492-55,2021-12-23 15:49:18,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
57866,57867,2156190,충남유통,,Chungnam Distribution,Shops and Service,Candy Store,126.72799347939493,37.51931620642281,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로,280,64-2,2022-08-08 10:29:42,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
76708,76709,20026760,내이브로,,nav,Shops and Service,Candy Store,126.69605359999991,37.399385499999774,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,청능대로340번길,40,671-5,2022-05-01 12:37:48,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
91905,91906,1264069,서울제과,,Seoul Confectionery,Shops and Service,Candy Store,126.70290874690988,37.46292351035567,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,석산로101번길,59,440-6,2022-08-16 16:52:33,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
93122,93123,5708188,옛추억민속제과,옛추억제과,Old memories folk confectionery,Shops and Service,Candy Store,126.7039074103279,37.51038276542079,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,362,320-26,2022-08-24 14:41:06,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
95209,95210,1264082,대박과자백화점,대박과자점,Daebak Sweets Department Store,Shops and Service,Candy Store,126.70525658049291,37.444195512062976,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,성말로44번길,24,1170-5,2022-08-18 12:00:50,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
103802,103803,6223616,올인원마켓,,All-in-one market,Shops and Service,Candy Store,126.68036771292287,37.42593866547156,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,함박로,27,496-10,2022-08-12 13:15:03,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
104456,104457,27183823,자연건강식품,,natural health food,Shops and Service,Candy Store,126.71998329999995,37.45381878999979,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로800번길,13,1264-33,2022-05-01 12:37:48,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
137825,137826,27085922,과자공장,,confectionery factory,Shops and Service,Candy Store,126.69697855277488,37.5229428713652,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,부평북로,37,376-3,2022-05-01 12:37:48,"쇼핑,편의||식료품||가공식품||과자,사탕,초코렛||과자,사탕,초코렛-일반",False
