,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2942,2943,27095265,롤리키즈,,lolly kids,Shops and Service,Childrens Apparel,126.73366460455593,37.57949942804401,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,황어로,115,137,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
3232,3233,27173525,키즈랜드 뉴코아아울렛 인천논현점,,Kids Land New Core Outlet Incheon Nonhyeon Branch,Shops and Service,Childrens Apparel,126.72592962488191,37.40077472477856,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
6149,6150,27047999,알로앤루 뉴코아아울렛 인천점,,Allo & Lo New Core Outlet Incheon Branch,Shops and Service,Childrens Apparel,126.70075684679388,37.44424741183226,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||프랜차이즈||알로앤루",False
7059,7060,27047945,모이몰른 홈플러스연수점,,Moimoln Homeplus Yeonsu Branch,Shops and Service,Childrens Apparel,126.6835082999999,37.40607529999975,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청능대로,210,926,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
7321,7322,27219225,쁘띠앙팡 2001아울렛 부평점,,Petit Enfang 2001 Outlet Bupyeong Branch,Shops and Service,Childrens Apparel,126.7105007979659,37.49060771621339,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
7935,7936,27195268,페리미츠 인천모다아울렛클로젯포점,,Permits Incheon Moda Outlet Closet Po,Shops and Service,Childrens Apparel,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||프랜차이즈||페리미츠",False
8681,8682,27240153,스탭키즈 뉴코아논현점,,Staff Kids New Core Nonhyeon,Shops and Service,Childrens Apparel,126.72564859999991,37.40062139999976,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
8876,8877,27216503,리틀브랜 2001아울렛 부평점,,Little Brand 2001 Outlet Bupyeong,Shops and Service,Childrens Apparel,126.71033749855386,37.490536816447694,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
10378,10379,27254257,제이씨비 뉴코아아울렛인천점,,JCB New Core Outlet Incheon Branch,Shops and Service,Childrens Apparel,126.70070699999988,37.444021599999765,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
10627,10628,27021307,레이스프릴 롯데백화점인천점,,Lace frill Lotte Department Store Incheon,Shops and Service,Childrens Apparel,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||유아,아동||유아동복||유아동복-일반",False
