,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
246,247,6218821,구제조아,,rescue child,Shops and Service,Clothing Store,126.69649620177591,37.42591081745916,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,학나래로,55,404-2,2020-01-14 0:00:00,"쇼핑,편의||패션||구제의류",False
1227,1228,20473955,티나명품구제,,Tina luxury goods relief,Shops and Service,Clothing Store,126.66985435602292,37.49657025558052,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,건지로250번길,27,139-17,2022-08-24 14:41:06,"쇼핑,편의||패션||구제의류",False
1479,1480,3127175,더비틀즈구제,THEBEATLES구제,The Beatles Rescue,Shops and Service,Clothing Store,126.67489601217092,37.54904234374151,대한민국,KOR,KOR,인천광역시,서구,,연희동,,승학로,304,689-35,2020-01-14 0:00:00,"쇼핑,편의||패션||구제의류",False
1959,1960,27219084,M.할리데이 2001아울렛 부평점,,M.Holiday 2001 Outlet Bupyeong,Shops and Service,Clothing Store,126.71044759819885,37.490551016645895,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||캐주얼웨어-일반",False
1996,1997,27490512,구제2030,,Relief 2030,Shops and Service,Clothing Store,126.6862436309629,37.49183713674909,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,장고개로,327,46-2,2022-08-19 9:48:28,"쇼핑,편의||패션||구제의류",False
2445,2446,27219352,클라이드 앤 뉴코아아울렛 인천점,,Clyde & New Core Outlet Incheon Branch,Shops and Service,Clothing Store,126.70070404689888,37.444027311420164,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||캐주얼웨어-일반",False
2674,2675,5718102,루이까스텔 부평역,LOUISCASTEL부평역점,Louis Castel Bupyeong Station,Shops and Service,Clothing Store,126.7221668635376,37.49654189501745,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,57,543-3,2022-08-12 13:15:03,"쇼핑,편의||패션||스포츠의류||골프웨어||루이까스텔",False
2870,2871,27195837,레드페이스 모다아울렛인천점,,Red Face Moda Outlet Incheon,Shops and Service,Clothing Store,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||레드페이스",False
2934,2935,4326875,올포유 인천용현점,,All For You Incheon Yonghyeon Branch,Shops and Service,Clothing Store,126.64945501260888,37.458020021364874,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독배로432번길,4,459-1,2022-08-16 16:52:33,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||올포유",False
3390,3391,27173599,폴햄 뉴코아아울렛 인천논현점,,Pohlham New Core Outlet Incheon Nonhyeon Branch,Shops and Service,Clothing Store,126.72561972539592,37.40045962519866,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-06-07 17:23:36,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||폴햄",False
3662,3663,3121646,티지패션 인천간석점,,TG Fashion Incheon Ganseok Branch,Shops and Service,Clothing Store,126.70747697609488,37.46751266911268,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,백범로,396,216-10,2022-08-16 16:52:33,"쇼핑,편의||패션||종합패션||종합패션-일반",False
3708,3709,27241175,JDX 홈플러스작전점,,JDX Homeplus Operation Branch,Shops and Service,Clothing Store,126.72156249999988,37.52630829999979,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,27,448-7,2022-05-01 12:37:48,"쇼핑,편의||패션||스포츠의류||골프웨어||JDX",False
3807,3808,5661808,빅마마의류,,big Mama Clothing,Shops and Service,Clothing Store,126.67656055195188,37.467383437738974,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석정로,369,13-29,2021-12-23 15:49:18,"쇼핑,편의||패션||보세의류||보세의류-일반",False
4326,4327,27220913,블랙야크 모다인천점,,Black Yak Moda Incheon Branch,Shops and Service,Clothing Store,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||블랙야크",False
4354,4355,27128091,베이직하우스 인천연수LF점,,Basic House Incheon Yeonsu LF Branch,Shops and Service,Clothing Store,126.66902787802488,37.41864372149574,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청능대로23번길,11,455,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||베이직하우스",False
4436,4437,6223973,명동의류,,Myeongdong Clothing,Shops and Service,Clothing Store,126.68976241571292,37.45865623829347,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경원대로,848,956-1,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||캐주얼웨어-일반",False
4914,4915,6221156,조아구제,,Early relief,Shops and Service,Clothing Store,126.64195319854088,37.47484304361068,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송림로,62,115-1,2022-08-24 14:41:06,"쇼핑,편의||패션||구제의류",False
4924,4925,27021635,구호 롯데백화점 인천점,,Guho Lotte Department Store Incheon Branch,Shops and Service,Clothing Store,126.70137839999995,37.442485299999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-06-13 10:44:13,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||구호",False
4973,4974,3677243,컬럼비아 부평아이즈빌점,COLUMBIA부평아이즈빌,Columbia Bupyeong Eyesville Branch,Shops and Service,Clothing Store,126.7035533075729,37.52178917291929,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,489,386,2022-08-16 16:52:33,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||컬럼비아",False
5004,5005,27036846,어울림구제,,Oullim relief,Shops and Service,Clothing Store,126.67927432845096,37.454909684435776,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로354번길,79,490-1,2022-05-01 12:37:48,"쇼핑,편의||패션||구제의류",False
5068,5069,27051498,TROUBADOUR 부평점,트루바두르 부평점,TROUBADOR Bupyeong Branch,Shops and Service,Clothing Store,126.72404536301993,37.493309323275085,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로20번길,17,201-20,2022-08-12 13:15:03,"쇼핑,편의||패션||캐주얼웨어||캐주얼웨어-일반",False
5170,5171,27021342,컬럼비아 롯데백화점 인천점,,Columbia Lotte Department Store Incheon Branch,Shops and Service,Clothing Store,126.70157160999987,37.44231729999978,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-08-16 16:52:33,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||컬럼비아",False
5609,5610,27021519,온앤온 롯데백화점인천점,,ON&ON Lotte Department Store Incheon,Shops and Service,Clothing Store,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||온앤온",False
5634,5635,27162794,스마트학생복 연수점,,Smart school uniform training shop,Shops and Service,Clothing Store,126.67256829999997,37.407500799999774,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,262,936-8,2022-05-01 12:37:48,"쇼핑,편의||패션||유니폼,단체복||교복||스마트",False
6523,6524,3676114,레드페이스 이천일부평점,REDFACE이천일부평점,Red Face 2 thousand points,Shops and Service,Clothing Store,126.7101706982679,37.49053801603027,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||레드페이스",False
6788,6789,3676303,아이더 부평아이즈빌점,EIDER부평아이즈빌점,Eider Bupyeong Eyesville Branch,Shops and Service,Clothing Store,126.7035533075729,37.52178917291929,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,489,386,2022-08-16 16:52:33,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||아이더",False
6853,6854,27215077,올포유 뉴코아아울렛 인천점,,All4U New Core Outlet Incheon Branch,Shops and Service,Clothing Store,126.70075684679388,37.44424741183226,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||올포유",False
7051,7052,27021456,스피치오 롯데백화점인천점,,Spicio Lotte Department Store Incheon,Shops and Service,Clothing Store,126.7011629399999,37.44290134999979,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||종합패션||종합패션-일반",False
7057,7058,27021619,비오비 롯데백화점 인천점,,Biobi Lotte Department Store Incheon Branch,Shops and Service,Clothing Store,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-06-29 11:25:35,"쇼핑,편의||패션||캐주얼웨어||프랜차이즈||비오비",False
7270,7271,27021564,내셔널지오그래픽 롯데백화점인천점,,National Geographic Lotte Department Store Incheon,Shops and Service,Clothing Store,126.70110444999987,37.44258140999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||내셔널지오그래픽",False
7410,7411,27196034,토탈패션 멋쟁이,,total fashion fashion,Shops and Service,Clothing Store,126.73305091420293,37.50532635422199,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,길주남로101번길,25,481-5,2022-05-01 12:37:48,"쇼핑,편의||패션||보세의류||보세의류-일반",False
7829,7830,27183445,네파 인천계양점,네파 인천계양점,Nepa Incheon Gyeyang Branch,Shops and Service,Clothing Store,126.72287853921615,37.53308956830296,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,104,854-19,2022-08-16 16:52:33,"쇼핑,편의||패션||스포츠의류||등산,아웃도어||네파",False
