,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1764,1765,27182470,지이가전제품,,GE Appliances,Shops and Service,Consumer Electronics Store,126.73103187828193,37.500404941413,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,168,124-18,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||수입가전||수입가전-일반",False
2888,2889,5712373,삼산중고알뜰매장,삼산중고매장,Samsan second-hand store,Shops and Service,Consumer Electronics Store,126.73116075113388,37.502742162625495,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로190번길,3,10-783,2019-11-14 0:00:00,"쇼핑,편의||전자,가전||중고가전",False
3280,3281,2527672,쿠쿠서비스센터 서인천점,쿠쿠A/S서인천점,Cuckoo Homesys  Seoincheon Branch,Shops and Service,Consumer Electronics Store,126.67731284629888,37.5489965231469,대한민국,KOR,KOR,인천광역시,서구,,연희동,,서곶로,352-1,711-1,2022-08-26 9:52:19,"쇼핑,편의||전자,가전||주방가전||프랜차이즈||쿠쿠홈시스",False
3733,3734,3115764,명진전자시스템,명진시스템,Myungjin Electronics system,Shops and Service,Consumer Electronics Store,126.69331844747488,37.42386353107246,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,비류대로529번길,15,373-4,2022-08-16 16:52:33,"쇼핑,편의||전자,가전||중고가전",False
3828,3829,2611370,종합중고전자,알뜰매장중고,General Used Electronics,Shops and Service,Consumer Electronics Store,126.67281952836692,37.452038374247095,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로,327,1417-63,2022-08-19 9:48:28,"쇼핑,편의||전자,가전||중고가전",False
3852,3853,3131631,가전종합알뜰매장,가전알뜰매장,Consumer electronics general store,Shops and Service,Consumer Electronics Store,126.65347074449588,37.59493072098961,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,봉수대로,1354-1,167-2,2021-12-23 15:49:18,"쇼핑,편의||전자,가전||종합가전||종합가전-일반",False
4289,4290,2599618,아주전자,,Aju Electronics,Shops and Service,Consumer Electronics Store,126.63066642035086,37.475614920160176,대한민국,KOR,KOR,인천광역시,중구,,인현동,,참외전로,118-11,12-1,2022-08-24 14:41:06,"쇼핑,편의||전자,가전||종합가전||종합가전-일반",False
5413,5414,27225447,만물종합전자,,All-in-one electronics,Shops and Service,Consumer Electronics Store,126.7066137320259,37.44708519262457,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,남동대로725번길,5,1157-3,2022-08-12 13:15:03,"쇼핑,편의||전자,가전||종합가전||종합가전-일반",False
6029,6030,1869905,LG전자베스트샵 만수점,엘지전자베스트샵만수점,LG Electronics Best Shop  Mansu,Shops and Service,Consumer Electronics Store,126.72661594165793,37.45920640489828,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,백범로,199,897-4,2022-09-06 15:18:26,"쇼핑,편의||전자,가전||종합가전||프랜차이즈||LG베스트샵",False
6674,6675,4333420,중고가전매장,,second hand store,Shops and Service,Consumer Electronics Store,126.71850272448592,37.450902558521896,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,767,1240-11,2019-11-14 23:06:52,"쇼핑,편의||전자,가전||중고가전",False
