,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
24,25,3140703,효성전기,,Hyosung Electric,Shops and Service,Electrical,126.68405000039488,37.591383300014925,대한민국,KOR,KOR,인천광역시,서구,,마전동,,,,534-2,2022-08-04 10:04:43,"산업,유통||제조업||전자,전기||전자,전기-일반",False
370,371,27114601,한솔전기,,Hansol Electric,Shops and Service,Electrical,126.74150473721294,37.555318848165534,대한민국,KOR,KOR,인천광역시,계양구,,박촌동,,장제로997번길,33,78-51,2022-08-08 10:29:42,"산업,유통||제조업||전자,전기||절연선,케이블제조",False
589,590,27209353,에스피테크,,SP Tech,Shops and Service,Electrical,126.6742551999999,37.49085799999979,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가남로,99,158-7,2022-05-01 12:37:48,"산업,유통||제조업||전자,전기||전자부품제조",False
823,824,5717541,수봉종합전기,수봉전기,Subong Electric,Shops and Service,Electrical,126.6551691556006,37.458035725036765,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,독정이로16번길,15,456-69,2022-08-16 16:52:33,"산업,유통||제조업||전자,전기||전자,전기-일반",False
932,933,27211250,주연전자,,star electronics,Shops and Service,Electrical,126.7010880489479,37.39752728290336,대한민국,KOR,KOR,인천광역시,남동구,,고잔동,,남동동로154번길,32,664-4,2022-05-01 12:37:48,"산업,유통||제조업||전자,전기||전자부품제조",False
1825,1826,27264350,뉴탑에너지,,New Top Energy,Shops and Service,Electrical,126.72906669999996,37.53775269999981,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산새로,7,480-7,2022-05-09 18:01:21,"산업,유통||전기,가스,수도||가스||가스제조,공급-일반",False
1839,1840,27429908,엔엘코리아,,NL Korea,Shops and Service,Electrical,126.6767353500109,37.470428917377774,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,염전로,330,5-2,2022-08-08 10:29:42,"산업,유통||제조업||전자,전기||반도체제조",False
2256,2257,20895,진성하이테크,진성하이테크(주),Jinsung hi-tech,Shops and Service,Electrical,126.64956792355687,37.51497770072799,대한민국,KOR,KOR,인천광역시,서구,,원창동,,중봉대로396번길,3,382-40,2021-12-23 15:49:18,"산업,유통||제조업||전자,전기||가정용전기기기제조",False
2678,2679,4336259,영화전기,,film biography,Shops and Service,Electrical,126.68491064553388,37.48666656216897,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,고래울로28번길,6-1,349-6,2021-12-23 15:49:18,"산업,유통||제조업||전자,전기||전자,전기-일반",False
2834,2835,27200926,디케이티,,Decay,Shops and Service,Electrical,126.71206579999996,37.51821869999981,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,평천로199번길,25,422-1,2022-05-01 12:37:48,"산업,유통||제조업||전자,전기||전자부품제조",False
