,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
2144,2145,20358217,위플레이스포츠,,We Play Sports,Shops and Service,Fitness Center,126.66500829999995,37.501596399999805,대한민국,KOR,KOR,인천광역시,서구,,석남동,,석남로,31,223-618,2022-08-16 16:52:33,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
3716,3717,20184555,남동다목적실내체육관,남동실내체육관,Namdong Multipurpose Indoor Gymnasium,Shops and Service,Fitness Center,126.73594461290097,37.43717996843016,대한민국,KOR,KOR,인천광역시,남동구,,수산동,,소래로,540,601,2022-05-18 1:14:04,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
4324,4325,3550682,남촌동다목적체육센터(2022년12월예정),남촌동체육센터,Namchon-dong Multipurpose Sports Center,Shops and Service,Fitness Center,126.71637040682948,37.43350242402524,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,남촌동로16번길,64,374,2022-08-12 13:15:03,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
5078,5079,660697,인천삼산월드체육관,삼산월드체육관,Incheon Samsan World Gymnasium,Shops and Service,Fitness Center,126.73789650000184,37.50770490000101,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,60,458-1,2022-08-26 9:52:19,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
6267,6268,5727482,인천서구검단다목적체육관,검단복지회관다목적체육관,Incheon Seo-gu Geomdanda Purpose Gymnasium,Shops and Service,Fitness Center,126.6663533274759,37.600524852006814,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로92번길,18,998-5,2022-05-01 12:37:48,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
9377,9378,20377843,아곤스포츠클럽,,Agon Sports Club,Shops and Service,Fitness Center,126.64678949999995,37.54672489999982,대한민국,KOR,KOR,인천광역시,서구,,경서동,,호두산로10번길,42,350-45,2022-08-12 13:15:03,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
9591,9592,4585727,장기황어체육관,,Janggi Hwangfish Gym,Shops and Service,Fitness Center,126.73776599984492,37.57958710059773,대한민국,KOR,KOR,인천광역시,계양구,,장기동,,황어로148번길,9,3,2022-05-01 12:37:48,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
13999,14000,6497215,드림배드민턴전용체육관,,Dream badminton gym,Shops and Service,Fitness Center,126.64085219999993,37.591687199999846,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,검단로326번길,45-1,64-253,2021-12-23 15:49:18,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
15014,15015,26810814,점프업 줄넘기센터 마전동,,Jump Up Jump Rope Center Majeon-dong,Shops and Service,Fitness Center,126.67350079999994,37.596270399999845,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로64번길,64,1006-11,2022-08-16 16:52:33,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
15597,15598,5872247,송도 예거스 주짓수,,Songdo Jaegus Ju-Jitsu,Shops and Service,Fitness Center,126.66390439999996,37.38727979999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로27번길,55,149,2022-08-24 14:41:06,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
16175,16176,26868212,국제펜싱클럽,,International Fencing Club,Shops and Service,Fitness Center,126.6387081004941,37.52584924478968,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로,163,173-1,2022-08-12 13:15:03,"레져,체육||헬스,요가,필라테스||체육관||실내체육관",False
