,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1184,1185,4326816,파티파라나,,party parana,Shops and Service,Food and Beverage Shop,126.6411789999999,37.394084599999765,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,센트럴로,194,23-4,2022-08-12 13:15:03,음식||뷔페||종합뷔페||종합뷔페-일반,False
2056,2057,27048545,김강산뷔페레스토랑,,Gimgangsan Buffet Restaurant,Shops and Service,Food and Beverage Shop,126.49223474657067,37.49483457102983,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종대로,118,2806-1,2022-08-16 16:52:33,음식||뷔페||종합뷔페||종합뷔페-일반,False
10191,10192,3110846,명진컨벤션웨딩부페,명진컨벤션웨딩뷔페,Myungjin Convention Wedding Buffet,Shops and Service,Food and Beverage Shop,126.47534539999867,37.730718999995325,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,남산리,충렬사로,138,482-3,2022-08-08 10:29:42,음식||뷔페||종합뷔페||종합뷔페-일반,False
19829,19830,3135943,대성식당,,Daesung Restaurant,Shops and Service,Food and Beverage Shop,126.62706545448184,37.58484546923392,대한민국,KOR,KOR,인천광역시,서구,,오류동,,길무로177번길,33,434-256,2022-08-16 16:52:33,음식||뷔페||종합뷔페||종합뷔페-일반,False
25679,25680,27073479,네스트호텔 플라츠,,Nest Hotel Platz,Shops and Service,Food and Beverage Shop,126.42764250329881,37.42470069388715,대한민국,KOR,KOR,인천광역시,중구,,운서동,,,,2877-1,2022-07-05 16:31:26,음식||뷔페||종합뷔페||종합뷔페-일반,False
27298,27299,27451212,부페식전주식당,,buffet restaurant,Shops and Service,Food and Beverage Shop,126.63531103066796,37.45622155461009,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,아암대로,57,624-55,2022-08-12 13:15:03,음식||뷔페||종합뷔페||종합뷔페-일반,False
28753,28754,3419005,김정현의 스타파티홀 주안점,,Kim Jung-hyun's Star Party Hall Main Point,Shops and Service,Food and Beverage Shop,126.67942168902788,37.46454464223617,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로,89,238-1,2019-11-14 23:29:41,음식||뷔페||종합뷔페||종합뷔페-일반,False
31629,31630,4342479,홍실한식뷔폐,,Hongsil Korean buffet,Shops and Service,Food and Beverage Shop,126.53572877139776,37.48627541250316,대한민국,KOR,KOR,인천광역시,중구,,운남동,,운남로82번길,27,195,2022-08-16 16:52:33,음식||뷔페||종합뷔페||종합뷔페-일반,False
45198,45199,35418,한남부페,,Hannam Buffet,Shops and Service,Food and Beverage Shop,126.72577414666593,37.493978089052185,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,시장로,33,192-6,2019-11-14 23:28:27,음식||뷔페||종합뷔페||종합뷔페-일반,False
46860,46861,4341326,더블스타,,double star,Shops and Service,Food and Beverage Shop,126.65573734032688,37.601968771256914,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,검단로459번길,4,640-4,2020-01-14 23:24:59,음식||뷔페||종합뷔페||종합뷔페-일반,False
55144,55145,27102795,천유향 샤브샤브훠궈뷔페,,Cheon Yuhyang Shabu-Shabu Hotpot Buffet,Shops and Service,Food and Beverage Shop,126.65096109222387,37.39570523938854,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로,69,3-1,2022-08-16 16:52:33,음식||뷔페||종합뷔페||종합뷔페-일반,False
60130,60131,3119653,우마루뷔페식당,,Umaru buffet restaurant,Shops and Service,Food and Beverage Shop,126.45056599095663,37.24302331846981,대한민국,KOR,KOR,인천광역시,옹진군,,영흥면,외리,영흥남로293번길,20,910-4,2022-08-16 16:52:33,음식||뷔페||고기뷔페||고기뷔페-일반,False
64395,64396,259070,공장식당,공장뷔페,factory restaurant,Shops and Service,Food and Beverage Shop,126.71896819253588,37.47064741180739,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,만월북로44번길,8-5,1-411,2022-08-12 13:15:03,음식||뷔페||종합뷔페||종합뷔페-일반,False
76189,76190,27184511,천유향 샤브샤브훠궈뷔페 본점,,Cheon Yuhyang Shabu-Shabu Hotpot Buffet Main Store,Shops and Service,Food and Beverage Shop,126.72530769299192,37.487327188430505,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경인로,952,645-11,2022-08-16 16:52:33,음식||뷔페||종합뷔페||종합뷔페-일반,False
102804,102805,430364,벌말기사부페,벌말부페 본점,Bee Horse Knight Buffet,Shops and Service,Food and Beverage Shop,126.7785879,37.57965139999983,대한민국,KOR,KOR,인천광역시,계양구,,상야동,,벌말로573번길,3-1,16-1,2022-05-24 13:48:55,음식||뷔페||종합뷔페||종합뷔페-일반,False
