,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
710,711,3109542,이지워크제화,,easy work shoe,Shops and Service,Footwear,126.64694899999996,37.4767479999998,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송림로,113,49-13,2022-08-24 14:41:06,"쇼핑,편의||패션||신발||신발-일반",False
1232,1233,27426919,아이러브플랫 주안점,,I love flat point,Shops and Service,Footwear,126.67975847999996,37.4639917899998,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,,,234,2022-08-08 10:29:42,"쇼핑,편의||패션||신발||수제화||수제화-일반",False
2513,2514,27021487,크록스키즈 롯데백화점인천점,,Crocs Kids Lotte Department Store Incheon,Shops and Service,Footwear,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||크록스",False
3105,3106,2605344,수제화맞춤코너,,Handmade shoe custom corner,Shops and Service,Footwear,126.72375647011292,37.49475700051882,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로38번길,14,211-73,2019-11-14 23:28:00,"쇼핑,편의||패션||신발||수제화||수제화-일반",False
4516,4517,5722197,e조은수제화,,e Jo Eun handmade shoes,Shops and Service,Footwear,126.65839177066088,37.60162203963033,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,완정로,159,662-6,2022-08-16 16:52:33,"쇼핑,편의||패션||신발||수제화||수제화-일반",False
5779,5780,27021313,크록스 롯데백화점인천점,,Crocs Lotte Department Store Incheon,Shops and Service,Footwear,126.7015532499999,37.442140239999766,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||크록스",False
6020,6021,2157319,중앙신발,,central shoes,Shops and Service,Footwear,126.2799872999996,37.78264189999991,대한민국,KOR,KOR,인천광역시,강화군,,교동면,대룡리,대룡안길54번길,48-1,508-2,2017-09-13 10:10:10,"쇼핑,편의||패션||신발||신발-일반",False
7313,7314,27173613,무크 뉴코아아울렛 인천논현점,,Mook New Core Outlet Incheon Nonhyeon Branch,Shops and Service,Footwear,126.72561972539592,37.40045962519866,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
7641,7642,27021579,탠디 롯데백화점인천점,,Tandy Lotte Department Store Incheon,Shops and Service,Footwear,126.70110420999988,37.44235797999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-06-29 11:25:35,"쇼핑,편의||패션||신발||프랜차이즈||탠디",False
8236,8237,27231145,중심코어워킹화,,Core core working shoes,Shops and Service,Footwear,126.68438357873757,37.41285520225956,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,원인재로,180,634,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||건강신발||건강신발-일반",False
8473,8474,5696996,미소수제화,,smile handmade,Shops and Service,Footwear,126.67535975881589,37.5422720370576,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,심곡로49번길,2,254-6,2022-08-24 14:41:06,"쇼핑,편의||패션||신발||숙녀화",False
9648,9649,27021636,쿠에른 롯데백화점 인천점,,Quern Lotte Department Store Incheon Branch,Shops and Service,Footwear,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-08-04 10:04:43,"쇼핑,편의||패션||신발||신발-일반",False
9963,9964,20473853,이레제화,,Ire Jehwa,Shops and Service,Footwear,126.72750579672096,37.51849960405461,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,주부토로262번길,7,71,2022-08-24 14:41:06,"쇼핑,편의||패션||신발||신발-일반",False
10221,10222,27069357,에뜨랑제화,,Etrangje shoes,Shops and Service,Footwear,126.72679059999996,37.4946669999998,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,시장로,42,126-10,2022-08-08 10:29:42,"쇼핑,편의||패션||신발||신발-일반",False
11495,11496,5658947,슈즈파크,ShoesPark,shoe park,Shops and Service,Footwear,126.7196332624992,37.459164519263815,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,859,1248-45,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
14309,14310,5657519,이테리제화,,iterizing,Shops and Service,Footwear,126.72291141152093,37.54019341804222,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양대로,184,956-8,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
14388,14389,6252235,중심코어부평센터,중심코어부평센터,central core Bupyeong Center,Shops and Service,Footwear,126.72504797834893,37.496703404017,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,주부토로22번길,6,370-77,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
18330,18331,27021521,금강제화 롯데백화점 인천점,,Geumgang Jehwa Lotte Department Store Incheon Branch,Shops and Service,Footwear,126.70137839999995,37.442485299999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-02 21:16:34,"쇼핑,편의||패션||신발||프랜차이즈||금강제화",False
19796,19797,27212435,튀는아이,,bouncing child,Shops and Service,Footwear,126.66754011698691,37.48994731507419,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가정로77번길,50-3,150-76,2022-08-16 16:52:33,"쇼핑,편의||패션||신발||신발-일반",False
20983,20984,27021651,락포트 롯데백화점인천점,,Lockport Lotte Department Store Incheon,Shops and Service,Footwear,126.70098205999987,37.44217759999976,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
21933,21934,27068849,에스콰이어 뉴코아아울렛 인천점,,Esquire New Core Outlet Incheon Branch,Shops and Service,Footwear,126.70070404689888,37.444027311420164,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||에스콰이아",False
22021,22022,27129041,에스마켓코리아 홈플러스인천간석점,,S Market Korea Homeplus Incheon Ganseok Branch,Shops and Service,Footwear,126.68910859999988,37.46952009999976,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경원대로,971,616-3,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
22163,22164,26960438,카비슈즈 인천용현점,,Carbi Shoes Incheon Yonghyeon Branch,Shops and Service,Footwear,126.63916160573288,37.45266048256148,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,토금중로51번길,13,611-44,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||건강신발||건강신발-일반",False
24313,24314,27219257,미셸by탠디 2001아울렛 부평점,,Michelle by Tandy 2001 Outlet Bupyeong,Shops and Service,Footwear,126.7103736979829,37.490586616202485,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||탠디",False
25239,25240,27021565,미소페 롯데백화점인천점,,Misofe Lotte Department Store Incheon,Shops and Service,Footwear,126.70102306999988,37.44236496999976,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
25505,25506,27181845,슈마커 뉴코아아울렛 인천점,,Shoemaker New Core Outlet Incheon Branch,Shops and Service,Footwear,126.70070404689888,37.444027311420164,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-18 11:21:23,"쇼핑,편의||패션||신발||프랜차이즈||슈마커",False
26873,26874,27021656,스케쳐스 롯데백화점인천점,,Sketchers Lotte Department Store Incheon,Shops and Service,Footwear,126.70152529999994,37.442460999999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-04-11 0:00:00,"쇼핑,편의||패션||신발||운동화",False
27265,27266,27179404,대동월드 월드신발,,Daedong World World Shoes,Shops and Service,Footwear,126.68139689999995,37.41328339999978,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,용담로,153,633,2022-08-16 16:52:33,"쇼핑,편의||패션||신발||신발-일반",False
27332,27333,3118047,대박신발,,great shoes,Shops and Service,Footwear,126.72292358560712,37.53879157515926,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양대로,168,968-2,2022-08-26 9:52:19,"쇼핑,편의||패션||신발||신발-일반",False
28193,28194,27021404,세라 롯데백화점인천점,,Sera Lotte Department Store Incheon Branch,Shops and Service,Footwear,126.70103957999991,37.44224668999976,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||숙녀화",False
32850,32851,27067105,엠베테코리아 인천남동구점,,Mbete Korea Incheon Namdong-gu Branch,Shops and Service,Footwear,126.70846787305489,37.46356456325347,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로,910,210-9,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||마사이워킹센터",False
39259,39260,27021316,소다 마나스 롯데백화점인천점,,Soda Manas Lotte Department Store Incheon,Shops and Service,Footwear,126.7012445799999,37.442295519999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||프랜차이즈||소다",False
39333,39334,1984817,앤제화,,Angela,Shops and Service,Footwear,126.67351559999994,37.54893309999982,대한민국,KOR,KOR,인천광역시,서구,,연희동,,연희로33번길,5,740-13,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
41832,41833,3124308,신광신발가방,신광가방,Shin Kwang Shoe Bag,Shops and Service,Footwear,126.71083644605288,37.52749371230201,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,안남로,497,320-2,2022-05-01 12:37:48,"쇼핑,편의||패션||신발||신발-일반",False
