,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1873,1874,3964381,GS칼텍스 보문주유소,GS셀프 보문주유소,GS Caltex Bomun Gas Station,Shops and Service,Gas Station,126.70066029999992,37.4626091999998,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,558,542-1,2022-09-06 15:18:26,"산업,유통||자동차||주유소||GS칼텍스주유소||GS칼텍스",False
1883,1884,1254607,인천LPG충전소,E1LPG 인천충전소,Incheon LPG Charging Station,Shops and Service,Gas Station,126.65357500023391,37.44566790121807,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,매소홀로271번길,19,401-66,2020-04-21 23:05:40,"산업,유통||자동차||충전소||LPG충전소||LPG충전소-일반",False
1967,1968,27422933,SK엔크린 드림파크주유소,SK셀프 드림파크주유소,SK enclean dream park gas station,Shops and Service,Gas Station,126.66108309999996,37.58793319999983,대한민국,KOR,KOR,인천광역시,서구,,왕길동,,봉수대로,1248,30,2022-08-12 13:15:03,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
1995,1996,790665,SK엔크린 강남셀프주유소,SK셀프 강남주유소,SK EnClean Gangnam self-service gas station,Shops and Service,Gas Station,126.66142909999996,37.49185879999981,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,봉수대로,184,178-265,2022-08-30 9:43:30,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
2153,2154,863756,GS칼텍스 대박주유소,GS 대박주유소,GS Caltex Jaebak Gas Station,Shops and Service,Gas Station,126.65115869999993,37.482855299999805,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송미로,50,8-547,2022-08-12 13:15:03,"산업,유통||자동차||주유소||GS칼텍스주유소||GS칼텍스",False
2348,2349,5472536,송림체육관 전기차충전소,,Songnim CheyuggwanElectric Car Charging Station,Shops and Service,Gas Station,126.64730259999996,37.48558969999981,대한민국,KOR,KOR,인천광역시,동구,,송림동,,염전로,30,344,2022-07-19 20:20:05,"산업,유통||자동차||충전소||전기차충전소||전기차충전소-일반",False
2696,2697,830901,S-OIL 신화삼정주유소,S-OIL셀프 신화삼정주유소,S-OIL Shinhwa Samjeong Gas Station,Shops and Service,Gas Station,126.73224539999995,37.519402599999815,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,장제로,379,225-6,2022-08-30 9:43:30,"산업,유통||자동차||주유소||S-OIL주유소||S-OIL",False
3071,3072,566109,SK엔크린 인하주유소,SK셀프 인하주유소,SK Enclean Inha gas station,Shops and Service,Gas Station,126.66249129999996,37.44946459999978,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로,130,81-1,2022-08-16 16:52:33,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
3263,3264,847428,SK엔크린 KH에너지직영 삼성주유소,SK KH에너지직영 삼성주유소,SK EnClean KH Energy Direct Management Samsung Gas Station,Shops and Service,Gas Station,126.44533559999984,37.70683259999987,대한민국,KOR,KOR,인천광역시,강화군,,불은면,삼성리,,,814-8,2022-08-04 10:04:43,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
3643,3644,197839,SK엔크린 유성주유소,SK 유성주유소,SK Enclean Yuseong Gas Station,Shops and Service,Gas Station,126.4236424999998,37.772769299999915,대한민국,KOR,KOR,인천광역시,강화군,,하점면,장정리,,,679-4,2022-08-18 12:00:50,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
3690,3691,777679,SK엔크린 명진제1주유소,SK셀프 명진제1주유소,SK EnClean Myungjin 1st gas station,Shops and Service,Gas Station,126.65451249999995,37.55229619999982,대한민국,KOR,KOR,인천광역시,서구,,경서동,,경명대로,420,249-67,2022-08-18 12:00:50,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
3731,3732,27366694,SK엔크린 양갑주유소,,SK enclean Yanggap gas station,Shops and Service,Gas Station,126.2506460999991,37.773485499999474,대한민국,KOR,KOR,인천광역시,강화군,,교동면,양갑리,교동서로,274,273-3,2022-07-04 23:00:16,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
3878,3879,1104076,GS칼텍스 수산주유소,GS수산주유소,GS Caltex Soosan Gas Station,Shops and Service,Gas Station,126.7182859313274,37.437774297023765,대한민국,KOR,KOR,인천광역시,남동구,,수산동,,호구포로,622,206-5,2022-09-06 15:18:26,"산업,유통||자동차||주유소||GS칼텍스주유소||GS칼텍스",False
4133,4134,5832656,인천광역시 동북아무역센터(송도) 전기차충전소,DC차데모,Incheon Dongbuka Trade Center(Songdo) Electric Car Charging Station,Shops and Service,Gas Station,126.64444256559995,37.389140527829774,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로,165,6-10,2022-07-19 20:20:05,"산업,유통||자동차||충전소||전기차충전소||전기차충전소-일반",False
4290,4291,1255658,SK엔크린 남강주유소,SK셀프 남강주유소,SK Enclean Namgang gas station,Shops and Service,Gas Station,126.64279219999995,37.459612499999785,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,인주대로,43,341-17,2022-08-18 12:00:50,"산업,유통||자동차||주유소||SK주유소||SK엔크린",False
