,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
879,880,2597432,은혜슈퍼,,Eunhye Super,Shops and Service,Grocery,126.6679015420199,37.462556145650375,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,경인로252번안길,23,541-3,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
1146,1147,1272676,터널슈퍼,,Tunnel Super,Shops and Service,Grocery,126.70133233734688,37.509016885565785,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,산청로,2,10-37,2022-08-24 14:41:06,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
2058,2059,27200328,명지슈퍼,,Myongji Super,Shops and Service,Grocery,126.66829059258488,37.41748237771986,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청능말로,12,458-7,2022-08-16 16:52:33,"쇼핑,편의||종합판매점||슈퍼,마트||프랜차이즈||나들가게",False
2470,2471,3604024,나들가게 N M N 편의점,NMN편의점,Outing Store N M N Convenience Store,Shops and Service,Grocery,126.67002495740878,37.45519910415747,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,한나루로,548,608-2,2022-08-16 16:52:33,"쇼핑,편의||종합판매점||슈퍼,마트||프랜차이즈||나들가게",False
2784,2785,3135902,그린슈퍼,그린수퍼,Green Super,Shops and Service,Grocery,126.7064507773819,37.51727143226689,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,청중로84번길,2,174-17,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
3273,3274,272365,나들가게마리산마트,,Nadulgae Marisan Mart,Shops and Service,Grocery,126.41840659999956,37.633338099999456,대한민국,KOR,KOR,인천광역시,강화군,,화도면,상방리,가능포로,1,808-18,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||슈퍼,마트||프랜차이즈||나들가게",False
3665,3666,1266874,대흥슈퍼,,Daeheung Super,Shops and Service,Grocery,126.72886641435392,37.5100870414985,대한민국,KOR,KOR,인천광역시,부평구,,갈산동,,갈월동로,33,370-8,2022-08-24 14:41:06,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
4490,4491,5654554,제일슈퍼,,Jeil Super,Shops and Service,Grocery,126.67797061378057,37.445430827025255,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주승로69번길,24,1342-29,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
4569,4570,1853212,나들가게생큐마트벽산점,생큐마트벽산점,Nadulgae Saengq-Mart Byeoksan Branch,Shops and Service,Grocery,126.64664999999997,37.42250959999978,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,한나루로79번길,12,630-1,2017-09-01 10:10:10,"쇼핑,편의||종합판매점||슈퍼,마트||프랜차이즈||나들가게",False
5251,5252,3130862,역전슈퍼,역전수퍼,reverse super,Shops and Service,Grocery,126.70149233390792,37.47056759729768,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로,26,408-8,2022-08-24 14:41:06,"쇼핑,편의||종합판매점||슈퍼,마트||슈퍼,마트-일반",False
