,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
66,67,3657951,한샘주택건설,,Hanssem Housing Construction,Shops and Service,Home Improvement Store,126.74550916696091,37.537104261528405,대한민국,KOR,KOR,인천광역시,계양구,,서운동,,살라리로,9,180-4,2019-11-14 23:25:16,"산업,유통||건설업||종합건설업||건물건설||주택건설",False
159,160,5655559,베스타산업,,Besta Industry,Shops and Service,Home Improvement Store,126.67498408519188,37.418740043144965,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,벚꽃로82번길,16,491-5,2021-12-23 15:49:18,"산업,유통||건설업||전문건설업||전문건설업-일반",False
349,350,27227100,신성철물,,sacred hardware,Shops and Service,Home Improvement Store,126.66119570441587,37.48423306921048,대한민국,KOR,KOR,인천광역시,동구,,송림동,,봉수대로,98,296,2022-08-16 16:52:33,"쇼핑,편의||건축||철물점",False
928,929,6208396,가율전기철물,가율철물,Gayul Electric Hardware,Shops and Service,Home Improvement Store,126.67381611324288,37.49347240648128,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,가정로98번길,19-2,143-162,2022-08-24 14:41:06,"쇼핑,편의||건축||철물점",False
1066,1067,5665786,주영철물,,cast iron,Shops and Service,Home Improvement Store,126.68432693757292,37.45133407556838,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인주대로,429,1482-11,2022-08-24 14:41:06,"쇼핑,편의||건축||철물점",False
1379,1380,4351620,부강공구철물,,buoyant tool hardware,Shops and Service,Home Improvement Store,126.70385110312787,37.514666263498206,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,407,181-32,2022-08-24 14:41:06,"쇼핑,편의||건축||철물점",False
1511,1512,4325945,동래철물,,dongrae hardware,Shops and Service,Home Improvement Store,126.64484299014288,37.47344640457489,대한민국,KOR,KOR,인천광역시,동구,,송림동,,금곡로,91-1,67-10,2019-06-11 23:00:35,"쇼핑,편의||건축||철물점",False
1562,1563,134886,장수철물,,longevity hardware,Shops and Service,Home Improvement Store,126.75218791658592,37.45069196805698,대한민국,KOR,KOR,인천광역시,남동구,,장수동,,장자로,24,787-5,2022-08-24 14:41:06,"쇼핑,편의||건축||철물점",False
1647,1648,5545634,현대전기철물,,modern electric hardware,Shops and Service,Home Improvement Store,126.67038449999995,37.509134399999816,대한민국,KOR,KOR,인천광역시,서구,,석남동,,길주로75번길,29,522-13,2022-08-16 16:52:33,"쇼핑,편의||건축||철물점",False
1650,1651,6525402,락희건설,,Lak Hee Construction,Shops and Service,Home Improvement Store,126.66169255270889,37.46753682523118,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로228번길,11-34,93-32,2022-05-01 12:37:48,"산업,유통||건설업||건설업-일반",False
