,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1728,1729,27111179,윤쥬얼리,,Yoon Jewelry,Shops and Service,Jewelry,126.72752769999995,37.397536599999775,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,61,747-1,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||귀금속,시계||금제품전문||금제품전문-일반",False
3058,3059,6209576,골드거래소,,gold exchange,Shops and Service,Jewelry,126.73024871716991,37.48999754919001,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로52번길,8,502-2,2019-11-14 0:00:00,"쇼핑,편의||패션잡화||귀금속,시계||금제품전문||금매매",False
4395,4396,6227229,레드쥬얼리,,red jewelry,Shops and Service,Jewelry,126.7222023923659,37.50106790288961,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로,108,439-2,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||귀금속,시계||귀금속||귀금속-일반",False
6530,6531,3646661,티파니,TIFFANY,Tiffany,Shops and Service,Jewelry,126.72233551128588,37.4910436850612,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로,1382,534-27,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||귀금속,시계||귀금속,시계-일반",False
6610,6611,27021529,파슬 WSI 롯데백화점인천점,,Fossil WSI Lotte Department Store Incheon,Shops and Service,Jewelry,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||귀금속,시계||시계||WSI",False
8555,8556,27021446,파네라이 롯데백화점 인천점,,Panerai Lotte Department Store Incheon Branch,Shops and Service,Jewelry,126.7015252999999,37.44246189999975,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||귀금속,시계||시계||파네라이",False
9281,9282,2620477,골드원,,gold one,Shops and Service,Jewelry,126.63373130107884,37.475642295917766,대한민국,KOR,KOR,인천광역시,동구,,송현동,,화도진로35번길,7-2,98-24,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||귀금속,시계||귀금속||귀금속-일반",False
11115,11116,4338260,미광보석,,glimmering jewels,Shops and Service,Jewelry,126.64450908146642,37.42398599538575,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,독배로,35,194-4,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||귀금속,시계||귀금속||귀금속-일반",False
11127,11128,27494531,황금거래소,,golden exchange,Shops and Service,Jewelry,126.72303425036296,37.537662801920014,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산로,97,968-37,2022-08-26 9:52:19,"쇼핑,편의||패션잡화||귀금속,시계||금제품전문||금제품전문-일반",False
11618,11619,27130682,귀금속도매 예림보석,,Precious Metal Wholesale Yerim Jewelry,Shops and Service,Jewelry,126.6743784576859,37.593354082541,대한민국,KOR,KOR,인천광역시,서구,,당하동,,원당대로,660,1092-1,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||귀금속,시계||귀금속,시계-일반",False
