,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
16,17,1080604,옥련시장,,ongnyeon market,Shops and Service,Market,126.64683488944488,37.42483866016944,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,,,462-164,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
18,19,1871157,작전시장,,market of operations,Shops and Service,Market,126.72422499999993,37.53264169999979,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,,,879,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
303,304,609938,토지금고시장,,land deposit market,Shops and Service,Market,126.63783750006893,37.4514240996384,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,,,617-70,2022-08-12 13:15:03,"쇼핑,편의||종합판매점||시장||시장-일반",False
524,525,410689,용남시장,,Yongnam Market,Shops and Service,Market,126.66544529962988,37.45168999976287,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,,,12,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
1042,1043,20427510,산곡시장,,Sangok Market,Shops and Service,Market,126.70128694750588,37.50617609736439,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,길주로346번길,32,87-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
5626,5627,3128122,소래씨랜드회타운,씨랜드회타운,Sorae Sea Land Sashimi Town,Shops and Service,Market,126.73676532904994,37.39967948818735,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,장도로,64,678-4,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
6134,6135,20430060,신거북시장,,new turtle market,Shops and Service,Market,126.67318267625748,37.503119487262566,대한민국,KOR,KOR,인천광역시,서구,,석남동,,,,618,2021-01-26 17:59:38,"쇼핑,편의||종합판매점||시장||시장-일반",False
6498,6499,1259880,도화종합시장,도화시장,Dohwa General Market,Shops and Service,Market,126.66618799999688,37.46879999999778,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,석정로,275-17,104-28,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
7070,7071,1076919,장승백이 전통시장,장승백이시장,Jang Seung-baek Yi Traditional Market,Shops and Service,Market,126.735784000234,37.44608799973199,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,,,1109-4,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
7246,7247,730319,일신종합시장,일신시장,Ilshin General Market,Shops and Service,Market,126.74367159961396,37.48499210126858,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,경인로1118번길,8,105-11,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
10923,10924,20427509,동부시장,,Eastern Market,Shops and Service,Market,126.64532084898286,37.47719562853828,대한민국,KOR,KOR,인천광역시,동구,,송림동,,,,50-97,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
13995,13996,766803,간석자유시장,간석시장,Ganseok Free Market,Shops and Service,Market,126.71534317369589,37.463920209803966,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,백범로,312-1,41-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
27216,27217,398899,거북시장,,turtle market,Shops and Service,Market,126.67478029999997,37.5033728999998,대한민국,KOR,KOR,인천광역시,서구,,석남동,,거북로,117,548-7,2022-08-24 14:41:06,"쇼핑,편의||종합판매점||시장||시장-일반",False
27769,27770,597167,나룻부리항시장,,Narutburi Port Market,Shops and Service,Market,126.36703800023444,37.693118000553135,대한민국,KOR,KOR,인천광역시,강화군,,삼산면,석포리,삼산북로,11,511-73,2021-12-23 15:49:18,"쇼핑,편의||종합판매점||시장||시장-일반",False
27827,27828,3485740,인천축산물시장,,Incheon Livestock Market,Shops and Service,Market,126.68813100008391,37.47900799966889,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,,,516,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||시장||시장-일반",False
