,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1965,1966,1872275,서광모드 부평점,,Seogwang Mode Bupyeong,Shops and Service,Mens Apparel,126.73082746115992,37.50538759050511,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로221번길,6,10-571,2022-08-16 16:52:33,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
3267,3268,2621403,맨투맨양복점,MANTOMAN양복점,man-to-man clothing store,Shops and Service,Mens Apparel,126.68010039468088,37.46386478541089,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,주안로,94,228-1,2022-08-12 13:15:03,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
3508,3509,4338697,클래시 테일러샵,Classy Tailor샵,clash taylor shop,Shops and Service,Mens Apparel,126.72226682292892,37.500757780260095,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로104번길,1,439-18,2022-05-23 11:08:19,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
3537,3538,3132624,아카데미양복점,,academy tailor shop,Shops and Service,Mens Apparel,126.7044933767949,37.51717354191,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,438,174-3,2022-08-18 12:00:50,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
5621,5622,3114245,황해양복점,,Hwanghae Tailor Shop,Shops and Service,Mens Apparel,126.64538899999997,37.47355599999978,대한민국,KOR,KOR,인천광역시,동구,,송림동,,금곡로,90-1,70-14,2021-12-23 15:49:18,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
6969,6970,27021380,헨리코튼 롯데백화점 인천점,,Henry Cotton Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70151859999989,37.44250619999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
14753,14754,3259585,보스트로 구월점,VOSTRO 구월점,Vostro Guwol,Shops and Service,Mens Apparel,126.71898234264978,37.44939876982776,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,752,1285-10,2022-08-12 13:15:03,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
15789,15790,27021500,카운테스마라셔츠 롯데백화점인천점,,Countes Mara Shirt Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70070312999988,37.44283777999978,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
22367,22368,27021469,빨질레리 롯데백화점인천점,,Palgilery Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
24855,24856,5710795,살로토 인천점,SALOTTO인천점,Saloto Incheon Branch,Shops and Service,Mens Apparel,126.71760629999994,37.449460899999785,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인주대로,723,1235-15,2022-09-06 15:18:26,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
28139,28140,27021730,띠어리남성 롯데백화점 인천점,,Theory Namseong Lotte Department Store Incheon Branch,Shops and Service,Mens Apparel,126.70137839999995,37.442485299999774,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-06-13 10:44:13,"쇼핑,편의||패션||남성의류||프랜차이즈||띠어리남성",False
30346,30347,27217903,예작 LF스퀘어 인천점,,Yejak LF Square Incheon,Shops and Service,Mens Apparel,126.66902787802488,37.41864372149574,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,청능대로23번길,11,455,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
31219,31220,27091520,예작 모다아울렛인천점,,Yejak Moda Outlet Incheon,Shops and Service,Mens Apparel,126.64776761073487,37.510303193855584,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
31335,31336,27021394,시스템옴므 롯데백화점인천점,,System Homme Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||남성캐주얼||남성캐주얼-일반",False
31624,31625,1870932,뉴욕양복점,,New York tailor shop,Shops and Service,Mens Apparel,126.72289859999997,37.53742459999982,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계양대로,152,988,2022-08-16 16:52:33,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
33257,33258,27216552,제너럴 리퍼블릭 2001아울렛 부평점,,General Republic 2001 Outlet Bupyeong,Shops and Service,Mens Apparel,126.71040509815688,37.490557516119495,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
33624,33625,27218944,바찌 2001아울렛 부평점,,Bachi 2001 Outlet Bupyeong Branch,Shops and Service,Mens Apparel,126.71041159840388,37.490483216570894,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
35796,35797,27128955,알티자노 테일러,,Altizano Taylor,Shops and Service,Mens Apparel,126.7200142069139,37.491044698569695,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로,1360,534-61,2022-08-12 13:15:03,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
35993,35994,5691233,명동양복점,,Myeongdong Tailor Shop,Shops and Service,Mens Apparel,126.67970199990988,37.467688401400174,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,길파로,22,15-15,2019-11-14 23:25:05,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
36445,36446,27220996,지오지아 모다아울렛인천점,,Geogeia Moda Outlet Incheon Branch,Shops and Service,Mens Apparel,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
37027,37028,27021412,솔리드옴므 롯데백화점인천점,,Solid Homme Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.7011730599999,37.44290414999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
37087,37088,5674416,중앙양복점,,Jungang Tailor Shop,Shops and Service,Mens Apparel,126.63586291024484,37.47352651972996,대한민국,KOR,KOR,인천광역시,동구,,금곡동,,화도진로5번길,12,3-20,2022-08-24 14:41:06,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
37176,37177,27221122,마에스트로블루라운지 모다아울렛인천점,,Maestro Blue Lounge Moda Outlet Incheon Branch,Shops and Service,Mens Apparel,126.64772471015787,37.509934893689376,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
42760,42761,27061465,바쏘옴므 모다아울렛 부평점,,Basso Homme Moda Outlet Bupyeong Branch,Shops and Service,Mens Apparel,126.7195891999999,37.493550699999794,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,35,70-127,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
42799,42800,27053787,코모도스퀘어 모다아울렛인천,,Komodo Square Moda Outlet Incheon,Shops and Service,Mens Apparel,126.64776761073487,37.510303193855584,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
43698,43699,27074481,바쏘옴므 모다 인천점,,Basso Homme Moda Incheon Branch,Shops and Service,Mens Apparel,126.64776761073487,37.510303193855584,대한민국,KOR,KOR,인천광역시,서구,,원창동,,북항로32번안길,50,381-69,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
47481,47482,27021502,캠브리지 롯데백화점인천점,,Cambridge Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70060166999988,37.44276038999976,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||남성캐주얼||남성캐주얼-일반",False
52242,52243,27189236,브렌우드 뉴코아아울렛 인천점,,Brenwood New Core Outlet Incheon Branch,Shops and Service,Mens Apparel,126.70070404689888,37.444027311420164,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
64572,64573,27145689,인디안 모다아울렛 부평점,,Indian Moda Outlet Bupyeong,Shops and Service,Mens Apparel,126.71958789999988,37.4935506999998,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,35,70-127,2022-05-01 12:37:48,"쇼핑,편의||패션||남성의류||남성의류-일반",False
65583,65584,27069166,하이사양복점,,high-end clothing store,Shops and Service,Mens Apparel,126.72227489803592,37.5339840402586,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,113,853-26,2022-08-16 16:52:33,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
65794,65795,27021741,IMZ프리미엄 롯데백화점인천점,,IMZ Premium Lotte Department Store Incheon,Shops and Service,Mens Apparel,126.70156149999993,37.44222959999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-05-01 12:37:48,"쇼핑,편의||패션||캐주얼웨어||남성캐주얼||남성캐주얼-일반",False
68488,68489,27128344,맨자인 테일러,,man jain taylor,Shops and Service,Mens Apparel,126.72504329391592,37.49105502525988,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,경원대로,1404,185-8,2022-08-08 10:29:42,"쇼핑,편의||패션||정장||남성정장||맞춤양복",False
69818,69819,5666777,제왕양복점,,King's Tailor Shop,Shops and Service,Mens Apparel,126.63090357577384,37.47189700960388,대한민국,KOR,KOR,인천광역시,중구,,경동,,개항로,75,232-6,2022-08-16 16:52:33,"쇼핑,편의||패션||정장||남성정장||남성정장-일반",False
