,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
556,557,5677993,HF모바일,에이치에프모바일 논현1점,HF Mobile,Shops and Service,Mobile Phone Shop,126.72234959463192,37.401753141691536,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로123번길,35,632-1,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
1718,1719,27092854,다인컴퍼니,,Dine Company,Shops and Service,Mobile Phone Shop,126.6713826397559,37.59547470659612,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로,26,1002-5,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
2035,2036,27097388,문스타모바일,,Moonstar Mobile,Shops and Service,Mobile Phone Shop,126.67285407943388,37.54428507531151,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,승학로,244,242-7,2022-08-16 16:52:33,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
3188,3189,27181099,요셉모바일,,Joseph Mobile,Shops and Service,Mobile Phone Shop,126.70560174447888,37.44909199203185,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,남동대로747번길,29,201-39,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
3382,3383,20476235,싸요텔레콤,,Sayo Telecom,Shops and Service,Mobile Phone Shop,126.69642759845397,37.4742000736884,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로87번길,29-1,300-7,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
3464,3465,6216305,양심휴대폰,,conscience mobile phone,Shops and Service,Mobile Phone Shop,126.56072327392879,37.48966732396585,대한민국,KOR,KOR,인천광역시,중구,,중산동,,하늘중앙로195번길,14,1884-1,2021-12-23 15:49:18,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
3711,3712,5671426,테마모바일,Themamobile,Theme Mobile,Shops and Service,Mobile Phone Shop,126.68070172337688,37.49371452407019,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로,75,129-39,2022-09-06 15:18:26,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
3862,3863,27044283,매직모바일 서구점,,Magic Mobile Seogu,Shops and Service,Mobile Phone Shop,126.6729399239379,37.5135877980494,대한민국,KOR,KOR,인천광역시,서구,,가정동,,가정로,322,525-1,2022-08-16 16:52:33,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
4416,4417,20475194,빅토리휴대폰가게,,Victory cell phone shop,Shops and Service,Mobile Phone Shop,126.6753959061709,37.42202204307356,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,새말로,37,556-10,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
4533,4534,3457151,한빛이동통신,,Hanbit Mobile,Shops and Service,Mobile Phone Shop,126.69710471465189,37.59292049924833,대한민국,KOR,KOR,인천광역시,서구,,당하동,,고산후로95번안길,21,1030-1,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
4545,4546,27495218,친절한핸드폰매장,,friendly cell phone store,Shops and Service,Mobile Phone Shop,126.67550203391096,37.507695183187806,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가남로291번길,6,496-18,2022-08-24 14:41:06,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
5237,5238,20761260,지앤모바일 대진21호,,G&Mobile Daejin 21,Shops and Service,Mobile Phone Shop,126.70416157161088,37.47108501952688,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,동암남로,5,516-3,2022-05-18 1:20:59,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
5883,5884,2597956,우리모바일,,our mobile,Shops and Service,Mobile Phone Shop,126.72519086420915,37.50150316126586,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부흥북로,29,433-114,2022-08-24 14:41:06,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
6223,6224,27186631,글로벌통신,,global communication,Shops and Service,Mobile Phone Shop,126.64173828113186,37.532445729878496,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라루비로,76,155-7,2022-05-01 12:37:48,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
6757,6758,5691575,아름다운통신,,beautiful communication,Shops and Service,Mobile Phone Shop,126.63972466850883,37.45435854801147,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,낙섬중로,76-4,577-51,2022-08-24 14:41:06,"쇼핑,편의||전자,가전||휴대폰||휴대폰-일반",False
