,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
1972,1973,3117351,글라스 고운눈 안경&콘택트,GLASSSTORY석바위점,Glasses Fine Eyes Glasses & Contacts,Shops and Service,Optical,126.68918969972488,37.45820420064525,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경원대로,843,1005-6,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
2759,2760,3120422,밝은안경콘택트,밝은콘택트,bright glasses contact,Shops and Service,Optical,126.71551788480788,37.463588686032274,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,백범로,312-79,41-79,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
4461,4462,5655709,글라스바바안경 부평시장역점,,Glass Baba Glasses Bupyeong Market Station Branch,Shops and Service,Optical,126.72217765851724,37.49692566593401,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평대로63번길,5,543-1,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||글라스바바안경",False
4618,4619,2601152,엘림안경콘택트,,Elim Glasses Contact,Shops and Service,Optical,126.6961952738999,37.4733109451366,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,배곶로,59,320,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
4784,4785,1264225,베네치아안경원,,venetian optician,Shops and Service,Optical,126.72469141197497,37.45573627274749,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,구월로,305,908-18,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
5448,5449,5712499,송도안경아울렛,송도안경송도점,Songdo Glasses Outlet,Shops and Service,Optical,126.64614437404487,37.39645887979895,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,해돋이로,168-15,21-9,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
6716,6717,765671,밝은눈안경 계산역점,,bright eye glasses,Shops and Service,Optical,126.72863708711643,37.54304783482295,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1096,880,2022-08-26 9:52:19,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
6811,6812,862083,글라스팩토리 옥련점,,Glass Factory Oknyeon,Shops and Service,Optical,126.64442572199384,37.42513611911736,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,독배로,49,194-42,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||글라스스토리",False
6974,6975,5694844,글라스닥터&렌즈아이,,Glass Doctor & Lens Eye,Shops and Service,Optical,126.67506451428316,37.565250223214846,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로,498,610-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
7474,7475,4331580,다인안경원,,dain optician,Shops and Service,Optical,126.6783043066259,37.467193393766486,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,석정로,383-6,14-24,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
